input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_self_signed,tls_mismatched
0n-6-1-2234.datacamp.com,,404,48,0n-6-1-2234.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,0n-6-1-2234.datacamp.com,cloudflare,443,https://0n-6-1-2234.datacamp.com:443,https,cloudflare,application/json,GET,172.64.153.58,/,834205737,104.18.34.198,Cloudflare Bot Management,1,False,True,,,,
10westeuropeproduction.datacamp.com,,404,48,10westeuropeproduction.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,10westeuropeproduction.datacamp.com,cloudflare,443,https://10westeuropeproduction.datacamp.com:443,https,cloudflare,application/json,GET,172.64.153.58,/,834205737,104.18.34.198,Cloudflare Bot Management,1,False,True,,,,
11-sysamerica.datacamp.com,,404,48,11-sysamerica.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,11-sysamerica.datacamp.com,cloudflare,443,https://11-sysamerica.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
110248g48.datacamp.com,,404,48,110248g48.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,110248g48.datacamp.com,cloudflare,443,https://110248g48.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
112-95.datacamp.com,,404,48,112-95.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,112-95.datacamp.com,cloudflare,443,https://112-95.datacamp.com:443,https,cloudflare,application/json,GET,172.64.153.58,/,834205737,104.18.34.198,Cloudflare Bot Management,1,False,True,,,,
1212035.datacamp.com,,404,48,1212035.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,1212035.datacamp.com,cloudflare,443,https://1212035.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
137.datacamp.com,,404,48,137.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,137.datacamp.com,cloudflare,443,https://137.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
13in.datacamp.com,,404,48,13in.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,13in.datacamp.com,cloudflare,443,https://13in.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
155-9-192-49.datacamp.com,,404,48,155-9-192-49.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,155-9-192-49.datacamp.com,cloudflare,443,https://155-9-192-49.datacamp.com:443,https,cloudflare,application/json,GET,104.18.34.198,/,834205737,172.64.153.58,Cloudflare Bot Management,1,False,True,,,,
155-9-241-90.datacamp.com,,404,48,155-9-241-90.datacamp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-22T00:00:00Z,2023-06-21T23:59:59Z,"CN=datacamp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",datacamp.com,"Cloudflare, Inc.",*.datacamp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e6d3936f644ad3a0eb11c82d611ce2d5,168eba480916b99404bb3cbf4653e860cc71adc649ca58ce78f978d30a3182ed,True,ctls,155-9-241-90.datacamp.com,cloudflare,443,https://155-9-241-90.datacamp.com:443,https,cloudflare,application/json,GET,172.64.153.58,/,834205737,104.18.34.198,Cloudflare Bot Management,1,False,True,,,,
