new,host,soa,status_code,a,aaaa,cname,cdn,cdn-name,ns,mx,txt,has_internal_ips,internal_ips
[x],accountmgmt-stress1.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.2.247, 104.18.3.247","2606:4700::6812:2f7, 2606:4700::6812:3f7","ews.stress.finra.org, ews.stress.finra.org.cdn.cloudflare.net",True,cloudflare,,,,,
[x],accountmgmt.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.30.111, 104.18.31.111","2606:4700::6812:1f6f, 2606:4700::6812:1e6f",accountmgmt.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],acquia.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.31.87, 104.18.30.87","2606:4700::6812:1e57, 2606:4700::6812:1f57",acquia.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],acquia.syndication.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.88.21, 104.18.87.21","2606:4700::6812:5815, 2606:4700::6812:5715",acquia.syndication.finra.org.cdn.cloudflare.net,True,cloudflare,,,,,
[x],acquiadata.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,172.30.3.155,,,,,,,,True,172.30.3.155
[x],adf.finra.org,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.18.1.161, 104.18.0.161","2606:4700::6812:a1, 2606:4700::6812:1a1","regsho.finra.org, regsho.finra.org.cdn.cloudflare.net",True,cloudflare,,,,,
[x],adfs.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,75.98.60.13,,,,,,,,,
[x],adfs2.finra.org,"edns1.ultradns.com, premiumdns.support.neustar",NOERROR,75.98.60.19,,,,,,,,,
[x],alps.finra.org,"gns1.finra.org, hostmaster.gns1.finra.org",NOERROR,75.98.61.95,,alps.wipe.finra.org,,,,,,,
[x],alps.wipe.finra.org,"gns1.finra.org, hostmaster.gns1.finra.org",NOERROR,75.98.61.95,,,,,,,,,
[x],anoncrdtesting.crd.finra.org,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"52.203.115.103, 34.225.99.59, 34.235.200.42",,"webcrdtesting.crd.finra.org, awsalberampejj11-387251195.us-east-1.elb.amazonaws.com",,,,,,,
