input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,method,host,path,favicon,a_,lines,failed,cdn_name,webserver,content_type,tech_,cdn,csp_domains_,final_url
*.amazonaws.com,Cloud Computing Services - Amazon Web Services (AWS),200,285199,aws.amazon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-08T00:00:00Z,2024-03-07T23:59:59Z,CN=aws.amazon.com,aws.amazon.com,,1.aws-lbr.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,142203600fa2c4d1b20831103811f8d6,54108acd24884070f6280ba1133869ead976599d259f036c681587b6a5f081f5,,ctls,aws.amazon.com,80,http://amazonaws.com:80,http,GET,207.171.166.22,/,1089792020,72.21.210.29,3059,False,,Server,text/html,Handlebars,,https://d36cz9buwru1tt.cloudfront.net,https://aws.amazon.com/
*.cloudflareinsights.com,,200,498,cloudflareinsights.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.cloudflareinsights.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4e0bf2db15a4f004e02b1f87abe0a034,4a2187c4f351a5ae145ebe9f5fa421ced6a00ee1d2d3144822cba053d702d362,True,ctls,cloudflareinsights.com,443,https://cloudflareinsights.com:443,https,GET,104.16.56.101,/,1139640750,2606:4700::6810:3865,10,False,cloudflare,cloudflare,text/html,Cloudflare,True,,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,443,https://google-analytics.com:443,https,GET,142.250.184.228,/,302920777,2a00:1450:4001:80b::2004,1831,False,,sffe,text/html,HTTP/3,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/
*.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,True,ctls,googletagmanager.com,443,https://googletagmanager.com:443,https,GET,142.250.186.168,/,302920777,2a00:1450:4001:831::2008,12,False,,Google Tag Manager,text/html,HTTP/3,,,
*.youtube.com,YouTube,200,265558,m.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,m.youtube.com,443,https://youtube.com:443,https,GET,142.250.186.46,/,1179099333,2a00:1450:4001:827::200e,13,False,,ESF,text/html,HTTP/3,,,https://m.youtube.com/
api.billing.b.dev.octopus.com,,200,44,api.billing.b.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-02T00:00:00Z,2023-08-02T23:59:59Z,CN=api.billing.b.dev.octopus.com,api.billing.b.dev.octopus.com,,api.billing.b.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",1887d823826c474c45766160f63efb86,8b86fe2feae7f81cd391c14caef90d6aabf045ccbc69c2bf62be3554f01228ea,,ctls,api.billing.b.dev.octopus.com,443,https://api.billing.b.dev.octopus.com:443,https,GET,13.107.226.45,/,-1840324437,2620:1ec:29:1::45,1,False,,,application/json,HSTS,,,
api.billing.preprod.octopus.com,,200,44,api.billing.preprod.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-08T00:00:00Z,2023-08-08T23:59:59Z,CN=api.billing.preprod.octopus.com,api.billing.preprod.octopus.com,,api.billing.preprod.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",2aeb7908ffc9fb2c69d66ad46aeb790c,f9bf338c3723bbf097db5e2d6139a26bc0ccf327e547e650e8708003df94be98,,ctls,api.billing.preprod.octopus.com,443,https://api.billing.preprod.octopus.com:443,https,GET,13.107.253.45,/,-1840324437,2620:1ec:48:1::45,1,False,,,application/json,HSTS,,,
atlas.octopus.com,,400,198,atlas.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-04-20T10:26:00Z,2024-04-14T10:26:00Z,"CN=*.azureedge.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azureedge.net,Microsoft Corporation,*.streaming.mediaservices.windows.net,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,1cf60e102bec7fce7f39e618a6491cd9,f3b7f233a835735a9539a9fe92a3fdfb197264097ea4a61575badffa784239c1,True,ctls,atlas.octopus.com,443,https://atlas.octopus.com:443,https,GET,13.107.226.45,/,-2069409350,2620:1ec:48:1::45,1,False,,,,,,,
b.dev.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,72454,b.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-02-07T00:00:00Z,2023-08-07T23:59:59Z,CN=b.dev.octopus.com,b.dev.octopus.com,,b.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",503e5b048a7ce14fc627a1bc7d8f5610,81a64be5910734523f49880dd98c33a4c799dd639be9722d23c10309916311df,,ctls,b.dev.octopus.com,443,https://b.dev.octopus.com:443,https,GET,13.107.237.45,/,911076741,2620:1ec:29:1::45,1643,False,,,text/html,Microsoft ASP.NET,,,
billing.octopus.com,Octopus Billing,200,3831,billing.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-27T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,,octopus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,649b28c98342c2bcb66c780cab845cb7,af2d96176219f3dabebc19167f13e367b5bf08c351649818f75c5e0e0efb3d29,True,ctls,billing.octopus.com,443,https://billing.octopus.com:443,https,GET,13.107.253.45,/,-266780419,2620:1ec:4f:1::45,110,False,,,text/html,HSTS,,,
