new,host,a,aaaa,cname,mx,soa,ns,txt,status_code,caa,cdn,cdn-name
,billing.b.dev.octopus.com,"13.107.237.45, 13.107.238.45","2620:1ec:29:1::45, 2620:1ec:48:1::45","comm-bill-dev-b-endpoint-eeekecgjc3ape3bf.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net",,"ns1.fb-t-msedge.net, msnhst.microsoft.com",,,NOERROR,,,
,billing.octopus.com,"13.107.226.45, 13.107.253.45","2620:1ec:4e:1::45, 2620:1ec:4f:1::45","comm-bill-prod-endpoint-acd6h6dsauhmfnd6.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net",,"ns1.fb-t-msedge.net, msnhst.microsoft.com, ns1.fdv2-t-msedge.net",,,NOERROR,,,
,billing.preprod.octopus.com,"13.107.238.44, 13.107.237.44","2620:1ec:4f:1::44, 2620:1ec:4e:1::44","comm-bill-preprod-endpoint-defsgvabfza0cqad.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0016.t-0009.fdv2-t-msedge.net, part-0016.t-0009.fdv2-t-msedge.net",,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com",,,NOERROR,,,
,books.octopus.com,"104.18.2.117, 104.18.3.117","2606:4700::6812:375, 2606:4700::6812:275","hosting.gitbook.com, hosting.gitbook.io",,"dahlia.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"pki.goog, letsencrypt.org, digicert.com",True,cloudflare
,bounce.octopus.com,"205.251.192.163, 205.251.195.226, 205.251.197.124, 205.251.199.216",,custom-email-domain.stripe.com,feedback-smtp.us-west-2.amazonses.com,"ns-994.awsdns-60.net, awsdns-hostmaster.amazon.com","ns-994.awsdns-60.net, ns-2008.awsdns-59.co.uk, ns-163.awsdns-20.com, ns-1404.awsdns-47.org",v=spf1 include:amazonses.com ~all,NOERROR,,,
,c.dev.octopus.com,"13.107.253.45, 13.107.226.45","2620:1ec:4f:1::45, 2620:1ec:4e:1::45","octo-public-dev-c-endpoint-cjedcqczhggfhsbb.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net",,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com",,,NOERROR,,,
,checkout.viraloctopus.com.dns.foxycart.com,"52.222.139.129, 52.222.139.30, 52.222.139.128, 52.222.139.103",,,,"ns-1351.awsdns-40.org, awsdns-hostmaster.amazon.com",,,NOERROR,,True,cloudfront
,deactivatedcloudinstance.octopus.com,"13.107.253.45, 13.107.226.45","2620:1ec:48:1::45, 2620:1ec:29:1::45",octopus.com,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","ns1.dnsimple.com, admin.dnsimple.com","ns1.dnsimple.com, ns2.dnsimple.com, ns3.dnsimple.com, ns4.dnsimple-edge.org","ALIAS for octo-public-prod-endpoint-f2e5gmecbdf3bfg9.z01.azurefd.net, MS=ms61150237, atlassian-domain-verification=fdTudDbP7jSq4+NtWDU/VnkcZNLZ3X6aFH85IK15J+fQGRgNUbPzYuhm4xSOQtWH, box-domain-verification=c99e5318794e20b4f92d23fd11892b39399b195c647a617058459fcea9db3b1d, docusign=85bbc996-26d7-4d67-b649-ae6ae60c88c9, dropbox-domain-verification=93uf5do9y11a, f5EgUvIlOYGdM93FLqrBbnS-YZo, google-site-verification=B3mLmqSdP53jayKc_9XLXOBCB7iDFhfEbXBB30lHCWs, google-site-verification=eFiX0LHWfBKj_xMSdjQVFlzZ_xK7wU2BVgZQbhXDyvE, octofront-prod-public-webapp-a.azurewebsites.net, octofront-prod-public-webapp-b.azurewebsites.net, octofront-prod-public-webapp-c.azurewebsites.net, octofront-prod-public-webapp-d.azurewebsites.net, onetrust-domain-verification=a56b316bd9934b7bb14279fb2d5a0337, stripe-verification=b4d0e1fc502dcd537bc6b6185dc32c80243c87cc0aa1311149fc62e101b3d524, stripe-verification=cef34ee75fafecc271b635833b7751793c35525d98e2563f91afca7d81bc8e7d, v=spf1 ip4:104.130.122.0/23 ip4:146.20.112.0/26 ip4:141.193.32.0/23 ip4:209.61.151.0/24 ip4:166.78.68.0/22 ip4:198.61.254.0/23 ip4:192.237.158.0/23 ip4:23.253.182.0/23 ip4:104.130.96.0/28 ip4:146.20.113.0/24 include:sendgrid.net include:mail.zendesk.com i, nclude:_spf.google.com  include:spfa.octopus.com -all",NOERROR,,,
,demo.octopus.com,"13.107.237.40, 13.107.238.40","2620:1ec:4e:1::40, 2620:1ec:4f:1::40","demo-octopus-com-btaxfffwfge3hsa5.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0012.t-0009.fdv2-t-msedge.net, part-0012.t-0009.fdv2-t-msedge.net",,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com",,,NOERROR,,,
,dev.octopus.com,,,,,"ns1-01.azure-dns.com, azuredns-hostmaster.microsoft.com","ns1-01.azure-dns.com, ns2-01.azure-dns.net, ns3-01.azure-dns.org, ns4-01.azure-dns.info",,NOERROR,,,
,extensions.octopus.com,"108.157.214.110, 108.157.214.9, 108.157.214.47, 108.157.214.115","2600:9000:2156:a00:13:a3a2:c40:93a1, 2600:9000:2156:1c00:13:a3a2:c40:93a1, 2600:9000:2156:c200:13:a3a2:c40:93a1, 2600:9000:2156:4c00:13:a3a2:c40:93a1, 2600:9000:2156:3e00:13:a3a2:c40:93a1, 2600:9000:2156:6e00:13:a3a2:c40:93a1, 2600:9000:2156:2000:13:a3a2:c40:93a1, 2600:9000:2156:ac00:13:a3a2:c40:93a1",dit1npoyv2435.cloudfront.net,,"ns-1277.awsdns-31.org, awsdns-hostmaster.amazon.com","ns-1277.awsdns-31.org, ns-1593.awsdns-07.co.uk, ns-295.awsdns-36.com, ns-576.awsdns-08.net",,NOERROR,,True,cloudfront
,get.octopus.com,"104.17.71.206, 104.17.70.206, 104.17.74.206, 104.17.73.206, 104.17.72.206",,"octopusdeploy.mktoweb.com, nld104.mktossl.com",,"bart.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare
,githubactionsworkflowgenerator.octopus.com,"13.56.202.215, 54.183.153.5",,d-bs0bnlp2u8.execute-api.us-west-1.amazonaws.com,,"ns-49.awsdns-06.com, awsdns-hostmaster.amazon.com","ns-1307.awsdns-35.org, ns-1925.awsdns-48.co.uk, ns-49.awsdns-06.com, ns-646.awsdns-16.net",,NOERROR,,,
,handbook.octopus.com,"104.18.3.117, 104.18.2.117","2606:4700::6812:275, 2606:4700::6812:375","hosting.gitbook.com, hosting.gitbook.io",,"dahlia.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"letsencrypt.org, pki.goog, digicert.com",True,cloudflare
,hatch.octopus.com,20.211.64.12,,"octopus-hatch-production.azurewebsites.net, waws-prod-sy3-089.sip.azurewebsites.windows.net, waws-prod-sy3-089-d993.australiaeast.cloudapp.azure.com",,"ns1-06.azure-dns.com, msnhst.microsoft.com",,,NOERROR,,,
,hello.octopus.com,"54.149.247.91, 52.41.190.196, 44.228.158.230",,"5e17930f-7497-4156-9e92-d2574587df36.outrch.com, app1e.outrch.com",,"ns-2.awsdns-00.com, awsdns-hostmaster.amazon.com",,,NOERROR,letsencrypt.org,,
,help-dev.octopus.com,"34.209.145.31, 35.161.26.127",,alb-discourse-dev-299307204.us-west-2.elb.amazonaws.com,,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,
,help.octopus.com,"52.40.233.0, 35.83.55.150",,alb-discourse-prod-838691552.us-west-2.elb.amazonaws.com,,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,
,i.octopus.com,"13.32.27.58, 13.32.27.61, 13.32.27.128, 13.32.27.27","2600:9000:211e:5000:19:882b:f440:93a1, 2600:9000:211e:8c00:19:882b:f440:93a1, 2600:9000:211e:9200:19:882b:f440:93a1, 2600:9000:211e:a000:19:882b:f440:93a1, 2600:9000:211e:a200:19:882b:f440:93a1, 2600:9000:211e:d000:19:882b:f440:93a1, 2600:9000:211e:fe00:19:882b:f440:93a1, 2600:9000:211e:1a00:19:882b:f440:93a1",d140kd8wswor81.cloudfront.net,,"ns-1821.awsdns-35.co.uk, awsdns-hostmaster.amazon.com","ns-38.awsdns-04.com, ns-906.awsdns-49.net, ns-1430.awsdns-50.org, ns-1821.awsdns-35.co.uk",,NOERROR,,True,cloudfront
,jenkinspipelinegenerator.octopus.com,"54.219.159.23, 54.177.119.119",,d-kt489q7095.execute-api.us-west-1.amazonaws.com,,"ns-49.awsdns-06.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,
,jiraconnectapp.octopus.com,,,octopus-jiraconnectapp-prod.azurewebsites.net,,,,,NOERROR,,True,azure
,legacydocs.octopus.com,"13.107.238.45, 13.107.237.45","2620:1ec:4f:1::45, 2620:1ec:4e:1::45","legacydocs-octopus-com-g8c4dqe9ayfkdcec.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net",,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.fb-t-msedge.net",,,NOERROR,,,
,library.octopus.com,40.112.143.214,,"library-prod-webapp.azurewebsites.net, waws-prod-bay-041.vip.azurewebsites.windows.net, waws-prod-bay-041.cloudapp.net",,"ns1-201.azure-dns.com, msnhst.microsoft.com",,,NOERROR,,True,azure
,link.octopus.com,"104.17.74.206, 104.17.70.206, 104.17.73.206, 104.17.71.206, 104.17.72.206",,mkto-nld1040056.com,,"ns1.marketo.com, ops.localhost","ns2.mktdns.com, ns1.marketo.com",,NOERROR,,True,cloudflare
,octopus.com,"13.107.253.67, 13.107.226.67","2620:1ec:48:1::67, 2620:1ec:29:1::67",,"aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com","ns1.dnsimple.com, admin.dnsimple.com","ns4.dnsimple-edge.org, ns1.dnsimple.com, ns2.dnsimple.com, ns3.dnsimple.com","octofront-prod-public-webapp-a.azurewebsites.net, ALIAS for octo-public-prod-endpoint-f2e5gmecbdf3bfg9.z01.azurefd.net, v=spf1 ip4:104.130.122.0/23 ip4:146.20.112.0/26 ip4:141.193.32.0/23 ip4:209.61.151.0/24 ip4:166.78.68.0/22 ip4:198.61.254.0/23 ip4:192.237.158.0/23 ip4:23.253.182.0/23 ip4:104.130.96.0/28 ip4:146.20.113.0/24 include:sendgrid.net include:mail.zendesk.com i, nclude:_spf.google.com  include:spfa.octopus.com -all, atlassian-domain-verification=fdTudDbP7jSq4+NtWDU/VnkcZNLZ3X6aFH85IK15J+fQGRgNUbPzYuhm4xSOQtWH, MS=ms61150237, onetrust-domain-verification=a56b316bd9934b7bb14279fb2d5a0337, dropbox-domain-verification=93uf5do9y11a, docusign=85bbc996-26d7-4d67-b649-ae6ae60c88c9, octofront-prod-public-webapp-b.azurewebsites.net, stripe-verification=b4d0e1fc502dcd537bc6b6185dc32c80243c87cc0aa1311149fc62e101b3d524, google-site-verification=eFiX0LHWfBKj_xMSdjQVFlzZ_xK7wU2BVgZQbhXDyvE, google-site-verification=B3mLmqSdP53jayKc_9XLXOBCB7iDFhfEbXBB30lHCWs, octofront-prod-public-webapp-c.azurewebsites.net, octofront-prod-public-webapp-d.azurewebsites.net, stripe-verification=cef34ee75fafecc271b635833b7751793c35525d98e2563f91afca7d81bc8e7d, box-domain-verification=c99e5318794e20b4f92d23fd11892b39399b195c647a617058459fcea9db3b1d, f5EgUvIlOYGdM93FLqrBbnS-YZo",NOERROR,,,
,octopusworkflowbuilder-test.octopus.com,"54.176.195.45, 52.8.91.31",,d-8me0xss9n4.execute-api.us-west-1.amazonaws.com,,"ns-49.awsdns-06.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,
,octopusworkflowbuilder.octopus.com,"52.9.56.9, 54.176.192.53",,d-umolkmcn56.execute-api.us-west-1.amazonaws.com,,"ns-49.awsdns-06.com, awsdns-hostmaster.amazon.com",,,NOERROR,,,
,partners.octopus.com,,,cd3.allbound.eu,,"ns-2023.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,
,preprod.octopus.com,"13.107.226.67, 13.107.253.67",,,,"ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com","ns3-08.azure-dns.org, ns2-08.azure-dns.net, ns1-08.azure-dns.com, ns4-08.azure-dns.info",,NOERROR,,,
,prerelease.apt.octopus.com,"13.225.78.51, 13.225.78.16, 13.225.78.45, 13.225.78.33","2600:9000:21f3:9600:11:327b:6dc0:93a1, 2600:9000:21f3:cc00:11:327b:6dc0:93a1, 2600:9000:21f3:e00:11:327b:6dc0:93a1, 2600:9000:21f3:8600:11:327b:6dc0:93a1, 2600:9000:21f3:5400:11:327b:6dc0:93a1, 2600:9000:21f3:e400:11:327b:6dc0:93a1, 2600:9000:21f3:a00:11:327b:6dc0:93a1, 2600:9000:21f3:9400:11:327b:6dc0:93a1",dd6mtzb8cru7r.cloudfront.net,,"ns-357.awsdns-44.com, awsdns-hostmaster.amazon.com","ns-908.awsdns-49.net, ns-1506.awsdns-60.org, ns-1708.awsdns-21.co.uk, ns-357.awsdns-44.com",,NOERROR,,True,cloudfront
