new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,caa
[x],kusama.lido.fi,"104.22.17.201, 172.67.6.192, 104.22.16.201","2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],lego.lido.fi,"104.22.17.201, 104.22.16.201, 172.67.6.192","2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],loki.lido.fi,"172.67.6.192, 104.22.16.201, 104.22.17.201","2606:4700:10::ac43:6c0, 2606:4700:10::6816:10c9, 2606:4700:10::6816:11c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],matomo.lido.fi,"104.22.16.201, 104.22.17.201, 172.67.6.192","2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0, 2606:4700:10::6816:11c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],merch.lido.fi,23.227.38.74,,"dns1.p06.nsone.net, hostmaster.nsone.net, ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,,shops.myshopify.com,"digicert.com, globalsign.com, letsencrypt.org"
[x],operatorportal.lido.fi,"76.76.21.164, 76.76.21.98",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"cname.super.so, cname.vercel-dns.com","letsencrypt.org, globalsign.com, sectigo.com"
[x],operators.lido.fi,"172.67.6.192, 104.22.16.201, 104.22.17.201","2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],polkadot.lido.fi,"104.22.17.201, 104.22.16.201, 172.67.6.192","2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],polygon.lido.fi,"104.22.16.201, 172.67.6.192, 104.22.17.201","2606:4700:10::ac43:6c0, 2606:4700:10::6816:10c9, 2606:4700:10::6816:11c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],prometheus-polkadot.lido.fi,"104.22.17.201, 104.22.16.201, 172.67.6.192","2606:4700:10::6816:10c9, 2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],prometheus-polygon.lido.fi,"172.67.6.192, 104.22.16.201, 104.22.17.201","2606:4700:10::ac43:6c0, 2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],prometheus-solana.lido.fi,"172.67.6.192, 104.22.17.201, 104.22.16.201","2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0, 2606:4700:10::6816:11c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],prometheus.lido.fi,"172.67.6.192, 104.22.17.201, 104.22.16.201","2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],referral.lido.fi,"172.67.6.192, 104.22.17.201, 104.22.16.201","2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0, 2606:4700:10::6816:11c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],research.lido.fi,"104.22.17.201, 172.67.6.192, 104.22.16.201","2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],scorecard.lido.fi,"104.22.16.201, 104.22.17.201, 172.67.6.192","2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],sol-api-pub.lido.fi,"104.22.16.201, 104.22.17.201, 172.67.6.192","2606:4700:10::ac43:6c0, 2606:4700:10::6816:10c9, 2606:4700:10::6816:11c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],solana.lido.fi,"104.22.17.201, 104.22.16.201, 172.67.6.192","2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],stake.lido.fi,"172.67.6.192, 104.22.17.201, 104.22.16.201","2606:4700:10::ac43:6c0, 2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],static.lido.fi,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8001::153, 2606:50c0:8000::153","dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,lidofinance.github.io,"digicert.com, letsencrypt.org"
[x],terra.lido.fi,"104.22.16.201, 104.22.17.201, 172.67.6.192",,"jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],ui.lido.fi,"185.199.110.153, 185.199.111.153, 185.199.108.153, 185.199.109.153","2606:50c0:8003::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8000::153","ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,lidofinance.github.io,"digicert.com, letsencrypt.org"
[x],vote.lido.fi,"104.22.16.201, 104.22.17.201, 172.67.6.192","2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
[x],www.lido.fi,"172.67.6.192, 104.22.16.201, 104.22.17.201","2606:4700:10::ac43:6c0, 2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,
