new,host,a,cname,soa,ns,status_code,aaaa,txt,cdn,cdn-name,has_internal_ips,internal_ips,mx,caa
[x],155-9-206-49.smtpmail.didichuxing.com,"123.207.209.17, 123.207.209.134, 123.207.209.16, 123.207.209.133",gz01.router.public.diditaxi.com.cn,"ns1.didiwuxian.com, sys.didiwuxian.com",,NOERROR,,,,,,,,
[x],155-9-208-47.smtpmail.didichuxing.com,"123.207.209.17, 123.207.209.134, 123.207.209.16, 123.207.209.133",gz01.router.public.diditaxi.com.cn,"ns1.didiwuxian.com, sys.didiwuxian.com",,NOERROR,,,,,,,,
[x],155-9-208-63.smtpmail.didichuxing.com,"123.207.209.133, 123.207.209.17, 123.207.209.134, 123.207.209.16",gz01.router.public.diditaxi.com.cn,"ns1.didiwuxian.com, sys.didiwuxian.com",,NOERROR,,,,,,,,
[x],155-9-210-62.smtpmail.didichuxing.com,,gz01.router.public.diditaxi.com.cn,"ns1.didiwuxian.com, sys.didiwuxian.com",,NOERROR,,,,,,,,
[x],155-9-211-45.smtpmail.didichuxing.com,"123.207.209.16, 123.207.209.17, 123.207.209.133, 123.207.209.134",gz01.router.public.diditaxi.com.cn,"ns1.didiwuxian.com, sys.didiwuxian.com",,NOERROR,,,,,,,,
[x],155-9-211-60.intra.didichuxing.com,"123.207.209.16, 123.207.209.134, 123.207.209.17, 123.207.209.133",gz01.router.public.diditaxi.com.cn,"ns1.didiwuxian.com, sys.didiwuxian.com",,NOERROR,,,,,,,,
[x],155-9-212-25.smtpmail.didichuxing.com,"123.207.209.134, 123.207.209.17, 123.207.209.16, 123.207.209.133",gz01.router.public.diditaxi.com.cn,"ns1.didiwuxian.com, sys.didiwuxian.com",,NOERROR,,,,,,,,
[x],155-9-213-28.smtpmail.didichuxing.com,"123.207.209.17, 123.207.209.16, 123.207.209.134, 123.207.209.133",gz01.router.public.diditaxi.com.cn,"ns1.didiwuxian.com, sys.didiwuxian.com",,NOERROR,,,,,,,,
[x],155-9-213-58.smtpmail.didichuxing.com,"123.207.209.16, 123.207.209.133, 123.207.209.17, 123.207.209.134",gz01.router.public.diditaxi.com.cn,"ns1.didiwuxian.com, sys.didiwuxian.com",,NOERROR,,,,,,,,
[x],155-9-214-60.lyncdiscover.didichuxing.com,,gz01.router.public.diditaxi.com.cn,"ns1.didiwuxian.com, sys.didiwuxian.com",,NOERROR,,,,,,,,
