input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,csp_domains_
*.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,223817,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,,ctls,www.mapbox.com,fastly,443,https://mapbox.com:443,https,,text/html,GET,151.101.64.143,/,1556104729,151.101.0.143,Webflow,2201,False,True,https://www.mapbox.com/,,
*.mixpanel.com,"Mixpanel: Event Analytics for Mobile, Web & More",200,887442,mixpanel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.mixpanel.com,*.mixpanel.com,,mixpanel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9de3177e2f0aeca9d197e5cfb99d784a,d0d3af37fb07a2a39f463802f3ef15b06b258c5068a987d54cbd37b5843906f5,True,ctls,mixpanel.com,google,443,https://mixpanel.com:443,https,nginx,text/html,GET,34.96.97.101,/,-1134128844,34.96.97.101,Nginx,1,False,True,,,
*.tiles.mapbox.com,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,223817,www.mapbox.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-27T22:42:13Z,2023-10-29T22:42:12Z,CN=www.mapbox.com,www.mapbox.com,,www.mapbox.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,73a43d4f038cdb00bd4fa9f650f62444,c5fa624e111e897adc6c5555b352ae5527cca50157f8cb61903eb8fd8aca9ed9,,ctls,www.mapbox.com,fastly,443,https://tiles.mapbox.com:443,https,,text/html,GET,146.75.120.143,/,71544021,146.75.120.143,Webflow,2201,False,True,https://www.mapbox.com,,
account.hy-vee.com,Attention Required! | Cloudflare,403,4512,account.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,True,ctls,account.hy-vee.com,cloudflare,443,https://account.hy-vee.com:443,https,cloudflare,text/html,GET,104.18.226.188,/,516140229,2606:4700::6812:e1bc,Cloudflare Bot Management,94,False,True,,,
api-173e333e.duosecurity.com,Multi-Factor Authentication & Single Sign-On | Duo Security,200,77426,duo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-10-21T23:59:59Z,CN=www.duosecurity.com,www.duosecurity.com,,duosecurity.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,43ebb26ebdc9f2de685624c126ca1552,0d863756b277ca2067fbb57e444d2b47a31b2dedf71a2e34e12987f95c32ff49,,ctls,duo.com,,443,https://api-173e333e.duosecurity.com:443,https,Duo/1.0,text/html,GET,54.241.191.146,/,374378023,54.241.191.146,Vue.js,3041,False,,https://duo.com/,,https://learn-cloudsecurity.cisco.com
apiqa.hy-vee.com,,403,16,apiqa.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,True,ctls,apiqa.hy-vee.com,cloudflare,443,https://apiqa.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.228.188,/,1268003052,2606:4700::6812:e1bc,Cloudflare Bot Management,1,False,True,,,
app.pendo.io,pendo.io,200,3122,app.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T23:31:07Z,2023-07-19T00:21:59Z,CN=pendo.io,pendo.io,,*.pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,e04a48c3138127ae538ea9f0a36c2229,e9bc1f48c632c79288d25aa968322ab77e40c6a21378249e2cb0b21e73078039,True,ctls,app.pendo.io,google,443,https://app.pendo.io:443,https,Google Frontend,text/html,GET,34.107.204.85,/,406012577,34.107.204.85,HTTP/3,1,False,True,,,
cdn.pendo.io,,403,300,cdn.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2023-08-28T23:59:59Z,CN=cdn.pendo.io,cdn.pendo.io,,cdn.pendo.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6aeb08edf1d8d2fe98a2996959cc28d7,8ca58b5b1f832ea9af924b02ba686e54db2e86d409e1f32ecc6fa2866740add4,,ctls,cdn.pendo.io,cloudfront,443,https://cdn.pendo.io:443,https,UploadServer,application/xml,GET,18.66.112.14,/,501560377,2600:9000:223f:3000:1f:aa31:7740:93a1,Amazon Web Services,1,False,True,,,
celebrate.hy-vee.com,Italian Cooking Guide | Hy-Vee,200,192832,www.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,True,ctls,www.hy-vee.com,cloudflare,443,https://celebrate.hy-vee.com:443,https,cloudflare,text/html,GET,104.18.229.188,/,2089909943,2606:4700::6812:e5bc,React,3,False,True,https://www.hy-vee.com/recipes-ideas/advice-how-tos/cooking-guides/italian-cooking-food-guide,,
celebratedev.hy-vee.com,,403,16,celebratedev.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,True,ctls,celebratedev.hy-vee.com,cloudflare,443,https://celebratedev.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.229.188,/,1268003052,2606:4700::6812:e4bc,Cloudflare Bot Management,1,False,True,,,
