input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,final_url,a_,tech_,lines,failed,cdn_name,favicon,cdn,csp_domains_,tls_mismatched
0.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227091,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://0.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,235772656,,http://*.google-analytics.com,
00000.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227091,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://00000.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,-456294516,,*.googletagmanager.com,
007tiqiuwang.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227091,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://007tiqiuwang.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,-162496720,,*.doubleclick.net,
01.ecs-lb.breadcrumb.com,Restaurant POS System | Lightspeed Point of Sale Software,200,315454,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://01.ecs-lb.breadcrumb.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/pos/restaurant/,34.231.80.4,WordPress,4416,False,,,,,
010.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227083,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://010.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,489100388,,http://*.googleadservices.com,
016.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227083,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://016.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,1247997532,,http://*.bizible.com,
018e64b5c92845b0bc152a3caa2debfc.js.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227582,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://018e64b5c92845b0bc152a3caa2debfc.js.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2994,False,,1079173285,,http://*.googleadservices.com,
019.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227083,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://019.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,1144381452,,http://*.hs-scripts.com,
02.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227083,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://02.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,-1417009646,,http://*.outbrain.com,
020.upserve.com,Upserve POS is Now Lightspeed Restaurant (U-Series),200,227083,www.lightspeedhq.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-28T00:00:00Z,2024-04-27T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",lightspeedhq.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9a9d2f59b01d5fd443e5e6d85071521c,dd8fb3701c6ca24a5f24c95aeb5e7dab38ea71ddf96a95bfdacbabf7e8405082,True,ctls,www.lightspeedhq.com,443,https://020.upserve.com:443,https,cloudflare,text/html,GET,34.231.80.4,/,https://www.lightspeedhq.com/upserve/,34.231.80.4,WordPress,2988,False,,90081913,,http://*.outbrain.com,
