new,host,a,soa,status_code,aaaa,cdn,cdn-name,mx,ns,txt
[x],bridge-s1-preprod.polkalokr.com,18.169.214.221,"lars.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],bridge-s1.polkalokr.com,18.170.236.184,"lars.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,
[x],bridgr-testnet.polkalokr.com,"104.21.87.143, 172.67.169.227","lars.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3121::3, 2a06:98c1:3120::3",True,cloudflare,,,
[x],dev.polkalokr.com,"188.114.96.4, 188.114.97.4","lars.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2a06:98c1:3120::3, 2a06:98c1:3121::3",True,cloudflare,,,
[x],polkalokr.com,76.76.21.21,"lars.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, alt4.aspmx.l.google.com","lars.ns.cloudflare.com, penny.ns.cloudflare.com","Y56J9D7ABMWY73A9Z5VEVNTHQXSYGTU8, v=spf1 include:_spf.google.com ~all, google-site-verification=QNW5hDk11LoaN0G_N3jv-hrZ4S46ivmiHeJ6_PmhQhY"
[x],www.polkalokr.com,"172.67.169.227, 104.21.87.143","lars.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:3033::ac43:a9e3, 2606:4700:3031::6815:578f",True,cloudflare,,,
