new,host,a,soa,txt,status_code,cdn,cdn-name,mx,ns,aaaa,cname
[x],azena.com,"143.204.89.26, 143.204.89.2, 143.204.89.126, 143.204.89.89","ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com","google-site-verification=gdIwVC9B9V_tv_AgA8k3V4ptArFPYBXbbcKyX6FTiSk, v=spf1 include:amazonses.com include:mail.zendesk.com include:4890158.spf06.hubspotemail.net -all, adobe-idp-site-verification=e13fd7b27a30ca44261bc7ad3f0b2e0994b724830fe8afc38a6565a40d81bde4, google-site-verification=eeCPH1pBJ2ATLzrR5fEk3yQjXcs5JOT8O-CvX_o4cPk",NOERROR,True,cloudfront,inbound-smtp.eu-west-1.amazonaws.com,"ns-492.awsdns-61.com, ns-555.awsdns-05.net, ns-1462.awsdns-54.org, ns-1956.awsdns-52.co.uk",,
[x],b02b0abe-53cc-4d20-9e6d-cf72ee9c6e90.sessions.connect.azena.com,"3.120.216.170, 3.73.245.14","ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=default,external-dns/resource=service/default/devicerelay-external",NOERROR,,,,,,
[x],b0672e4b-f95a-4f0e-b859-209698440dc0.sessions.connect.azena.com,"3.73.245.14, 3.120.216.170","ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=default,external-dns/resource=service/default/devicerelay-external",NOERROR,,,,,,
[x],b2e7ea68-d889-40bb-a1e3-9b4cef3f419f.sessions.connect.azena.com,"3.120.216.170, 3.73.245.14","ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=default,external-dns/resource=service/default/devicerelay-external",NOERROR,,,,,,
[x],b55f64aa-6c9d-4681-9c8d-f1290153290c.sessions.connect.azena.com,"3.73.245.14, 3.120.216.170","ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=default,external-dns/resource=service/default/devicerelay-external",NOERROR,,,,,,
[x],b82434ae-0ac4-4d03-b742-50f2657a8648.sessions.connect.azena.com,"3.73.245.14, 3.120.216.170","ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=default,external-dns/resource=service/default/devicerelay-external",NOERROR,,,,,,
[x],b8464170-9b6b-436e-9b4f-f6b770a09e8c.sessions.connect.azena.com,"3.73.245.14, 3.120.216.170","ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=default,external-dns/resource=service/default/devicerelay-external",NOERROR,,,,"ns-1462.awsdns-54.org, ns-1956.awsdns-52.co.uk, ns-492.awsdns-61.com, ns-555.awsdns-05.net",,
[x],b93b9440-01f2-4584-89e1-2be2814cec5a.sessions.connect.azena.com,"3.120.216.170, 3.73.245.14","ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=default,external-dns/resource=service/default/devicerelay-external",NOERROR,,,,,,
[x],bastion.azena.com,3.122.219.119,"ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,
[x],bfcdc928-fc30-4eb6-85c5-2763db1ee78f.sessions.connect.azena.com,"3.120.216.170, 3.73.245.14","ns-1462.awsdns-54.org, awsdns-hostmaster.amazon.com","heritage=external-dns,external-dns/owner=default,external-dns/resource=service/default/devicerelay-external",NOERROR,,,,,,
