new,host,a,aaaa,cname,soa,status_code,txt,cdn,cdn-name,ns,mx,caa
[x],www.ad.nl,"23.53.43.27, 23.53.43.16","2a02:26f0:7100::210:111, 2a02:26f0:7100::210:149","dpp-ad-wc.edgekey.net, e15537.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,
,chat-gateway196-prod-gws-rds-external-readonly-uat.snappublisher.snapchat.com,172.217.16.19,2a00:1450:401b:804::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
,click-gac-rds-external-readonly.snappublisher.snapchat.com,172.217.18.19,2a00:1450:4001:82a::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
,datamart-nk11-readonly.apple.com,,,,"usmsc2-extxfr-001.dns.apple.com, hostmaster.apple.com",NOERROR,v=spf1 redirect=_spf.apple.com,,,,"mx-in-mdn.apple.com, mx-in.g.apple.com, mx-in-vib.apple.com, mx-in-hfd.apple.com, mx-in-rno.apple.com",
,download.nlm.nih.gov,130.14.16.113,2607:f220:41e:1016::113,download.wip.nlm.nih.gov,"gslb03.nlm.nih.gov, hostmaster.gslb03.nlm.nih.gov",NOERROR,,,,,,
,eagle-prodgac-rds-external-readonly-preprod.snappublisher.snapchat.com,142.251.16.121,2607:f8b0:4004:c17::79,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
,gac-rds-external-readonly-preprod.api.binance.com,"52.69.115.184, 18.179.180.215, 18.180.80.251",,,"ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,dobbmei4jnjlh.cloudfront.net,,,,,
,gac-rds-external-readonly-preprod.app.acorns.com,"18.66.122.111, 18.66.122.104, 18.66.122.27, 18.66.122.128",,,"ns-119.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,
,gac-rds-external-readonly-preprod.directly.com,"52.7.171.31, 54.146.201.247, 3.223.245.124, 34.239.229.38",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,gac-rds-external-readonly-preprod.donations.livestream.com,"151.101.2.29, 151.101.66.29, 151.101.130.29, 151.101.194.29",,livestream.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,True,fastly,,,
