input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,cdn_name,tech_,cdn,csp_domains_,location,tls_mismatched,tls_self_signed,tls_expired,final_url
gac-rds-external-readonly-preprod.innocraft.cloud,Matomo › Error,404,1648,gac-rds-external-readonly-preprod.innocraft.cloud,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-08-18T23:59:59Z,CN=*.innocraft.cloud,*.innocraft.cloud,,*.innocraft.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,eb4533c3d60f56a440629021afa422e8,8fd6da1a4855807dd005c4f011b1e2973112339b870fd30a3fe74645a97dc6a4,True,ctls,gac-rds-external-readonly-preprod.innocraft.cloud,443,https://gac-rds-external-readonly-preprod.innocraft.cloud:443,https,text/html,GET,3.126.133.169,/,-1840324437,18.157.122.248,38,False,Apache,,Apache,,,,,,,
gac-rds-external-readonly-preprod.quora.com,"Quora - Quora, wo man Wissen miteinander austauscht und die Welt besser verstehen kann",200,154005,de.quora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T16:14:07Z,2023-07-15T16:14:06Z,CN=quora.com,quora.com,,quora.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,17280cfc4ac28b38cd5cbd961fc89688,a07ae6d7380e9e34600726331b14919beba608877648979da75fc85cf852b709,True,ctls,de.quora.com,443,https://gac-rds-external-readonly-preprod.quora.com:443,https,text/html,GET,162.159.152.17,/,-1958196763,162.159.153.247,52,False,cloudflare,cloudflare,PayPal,True,https://app.adjust.com,,True,,,https://de.quora.com/
gac-rds-external-readonly-preprod.sandbox.directly.com,Sign up | Directly,200,10530,gac-rds-external-readonly-preprod.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,gac-rds-external-readonly-preprod.sandbox.directly.com,443,https://gac-rds-external-readonly-preprod.sandbox.directly.com:443,https,text/html,GET,54.208.171.77,/,1899044793,52.45.238.149,283,False,Apache,,Pure CSS,,*.licdn.com,,,,,https://gac-rds-external-readonly-preprod.sandbox.directly.com/login/auth
gac-rds-external-readonly-preprod.snappublisher.snapchat.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://gac-rds-external-readonly-preprod.snappublisher.snapchat.com:80,http,text/html,GET,172.217.16.211,/,302920777,2a00:1450:4001:82a::2013,12,False,ghs,,,,,,,,,
gac-rds-external-readonly-preprod.stage.twilio.com,ERROR: The request could not be satisfied,403,919,gac-rds-external-readonly-preprod.stage.twilio.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-07-11T23:59:59Z,CN=*.stage.twilio.com,*.stage.twilio.com,,stage.twilio.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7f19924c5b19296db5ca31ca73e10275,fcdf3196449bbbfd932304ebb150172e33211ace148eb1beb1e172510376e1da,True,ctls,gac-rds-external-readonly-preprod.stage.twilio.com,443,https://gac-rds-external-readonly-preprod.stage.twilio.com:443,https,text/html,GET,13.32.99.92,/,1512580753,13.32.99.43,20,False,CloudFront,cloudfront,Amazon Web Services,True,,,,,,
gac-rds-external-readonly-preprod.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,True,ctls,alt.staging-airtableblocks.com,443,https://gac-rds-external-readonly-preprod.staging-airtableblocks.com:443,https,text/html,GET,52.54.41.182,/,-304007040,184.73.80.41,29,False,nginx,,Nginx,,,,True,,,https://alt.staging-airtableblocks.com:443/
gac-rds-external-readonly-preprod.tianma-prd-in.vivo.com,403 Forbidden,403,146,gac-rds-external-readonly-preprod.tianma-prd-in.vivo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-01T00:00:00Z,2023-12-02T23:59:59Z,"CN=*.tianma-prd-in.vivo.com, O=vivo Mobile Communication Co.\, Ltd., L=Dongguan, ST=Guangdong Province, C=CN",*.tianma-prd-in.vivo.com,"vivo Mobile Communication Co., Ltd.",*.tianma-prd-in.vivo.com,"CN=Secure Site CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site CA G2,DigiCert Inc,e9e8432b3ca8671e3edaf95c1361f3c5,9771e622205c39200c8fec707d64b52d11979b54e1e5b711492f9845ecabbddd,True,ctls,gac-rds-external-readonly-preprod.tianma-prd-in.vivo.com,443,https://gac-rds-external-readonly-preprod.tianma-prd-in.vivo.com:443,https,text/html,GET,129.227.254.190,/,-25188483,129.227.254.190,8,False,nginx,,Nginx,,,,,,,
gac-rds-external-readonly-preprod.unified.seek.com,,403,16,,,,,,,,,,,,,,,,,,,,80,http://gac-rds-external-readonly-preprod.unified.seek.com:80,http,text/plain,GET,104.18.23.53,/,1253481126,104.18.22.53,1,False,cloudflare,cloudflare,Cloudflare Bot Management,True,,,,,,
gac-rds-external-readonly-preprod.vellum-stg.sc-corp.net,,403,111,gac-rds-external-readonly-preprod.vellum-stg.sc-corp.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T18:12:19Z,2023-08-05T19:04:52Z,CN=vellum-stg.sc-corp.net,vellum-stg.sc-corp.net,,vellum-stg.sc-corp.net,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,c5eb97442c68e5c4228bca53ac68c4d1,281541e10d17316c95f0c72e6f6e4af45a1a238def998cd1d91c7bc957d9541f,,ctls,gac-rds-external-readonly-preprod.vellum-stg.sc-corp.net,443,https://gac-rds-external-readonly-preprod.vellum-stg.sc-corp.net:443,https,application/xml,GET,35.190.22.64,/,1343071695,35.190.22.64,1,False,UploadServer,google,HTTP/3,True,,,True,,,
gac-rds-external-readonly.api.binance.com,"Binance - Cryptocurrency Exchange for Bitcoin, Ethereum & Altcoins",200,360094,www.binance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-16T23:59:59Z,"CN=*.binance.com, O=Binance Holdings Limited, L=West Bay, C=KY",*.binance.com,Binance Holdings Limited,binance.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,b41bee1f9c411051c5a7b723ba661ced,9307deddaf3a78771db1b7683e9f188e2883aea1775887d45cf6f9c8711a7249,True,ctls,www.binance.com,80,http://gac-rds-external-readonly.api.binance.com:80,http,text/html,GET,13.115.154.44,/,1953363046,52.197.14.13,15,False,Tengine,,Tengine,,*.google.so,,,,,https://www.binance.com/en
gac-rds-external-readonly.app.sandbox.directly.com,Sign up | Directly,200,10530,gac-rds-external-readonly.app.sandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-08-01T23:59:59Z,CN=*.sandbox.directly.com,*.sandbox.directly.com,,sandbox.directly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8c1320cadbb50eba871d441b68b57227,60a9f529e1797339f521c9bca32b89870a708fa4de9d4518131ece5faaf4e597,True,ctls,gac-rds-external-readonly.app.sandbox.directly.com,443,https://gac-rds-external-readonly.app.sandbox.directly.com:443,https,text/html,GET,52.45.238.149,/,1899044793,54.208.171.77,283,False,Apache,,Pure CSS,,connect.facebook.net,,True,,,https://gac-rds-external-readonly.app.sandbox.directly.com/login/auth
gac-rds-external-readonly.binance.com,"Binance - Cryptocurrency Exchange for Bitcoin, Ethereum & Altcoins",200,360345,www.binance.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2024-02-16T23:59:59Z,"CN=*.binance.com, O=Binance Holdings Limited, L=West Bay, C=KY",*.binance.com,Binance Holdings Limited,binance.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,b41bee1f9c411051c5a7b723ba661ced,9307deddaf3a78771db1b7683e9f188e2883aea1775887d45cf6f9c8711a7249,True,ctls,www.binance.com,80,http://gac-rds-external-readonly.binance.com:80,http,text/html,GET,13.115.154.44,/,-2007549597,52.197.14.13,15,False,Tengine,,Tengine,,*.google.tt,,,,,https://www.binance.com/en
gac-rds-external-readonly.donations.livestream.com,Login to Livestream,200,24760,livestream.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-19T00:00:00Z,2023-10-18T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",40f0a7164beb42f54b00d60ce0f61f93,3be2a8749710a618e778b6353b40352ba45ab232d4f22bbc40de3c7a89c1733e,,ctls,livestream.com,443,https://gac-rds-external-readonly.donations.livestream.com:443,https,text/html,GET,151.101.2.29,/,973546752,151.101.194.29,557,False,cloudflare,fastly,Varnish,True,,,,,,https://livestream.com/session/new
gac-rds-external-readonly.proxy.brave.com,,404,9,gac-rds-external-readonly.proxy.brave.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T00:00:00Z,2024-04-12T23:59:59Z,CN=*.proxy.brave.com,*.proxy.brave.com,,*.proxy.brave.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,992619a18c247722165a33539d9dbd43,3eadd33c7b5c552a3227482040de80826f85d04128c291cf47f04ae267547d91,True,ctls,gac-rds-external-readonly.proxy.brave.com,443,https://gac-rds-external-readonly.proxy.brave.com:443,https,text/plain,GET,18.66.112.126,/,-738705486,2600:9000:223f:600:b:dfaf:7b40:93a1,1,False,nginx,cloudfront,Nginx,True,,,,,,
gac-rds-external-readonly.sg-dev.seek.com,,418,31,gac-rds-external-readonly.sg-dev.seek.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:11:51Z,2023-07-11T00:54:39Z,CN=*.sg-dev.seek.com,*.sg-dev.seek.com,,*.sg-dev.seek.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,62957cde799fbb44d2a6cb2f7ed2bc95,8bc3458824dc5e1c9f6b5aa5b6dcdf2affba1d6e51a06d8688a63893cfa672df,True,ctls,gac-rds-external-readonly.sg-dev.seek.com,443,https://gac-rds-external-readonly.sg-dev.seek.com:443,https,text/plain,GET,104.18.0.110,/,-2113662151,2606:4700::6812:16e,2,False,cloudflare,cloudflare,HSTS,True,,,,,,
gac-rds-external-readonly.snappublisher.snapchat.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://gac-rds-external-readonly.snappublisher.snapchat.com:80,http,text/html,GET,172.217.16.147,/,302920777,2a00:1450:4001:808::2013,12,False,ghs,,,,,,,,,
gac-rds-external-readonly.stage.twilio.com,ERROR: The request could not be satisfied,403,919,gac-rds-external-readonly.stage.twilio.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-07-11T23:59:59Z,CN=*.stage.twilio.com,*.stage.twilio.com,,stage.twilio.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7f19924c5b19296db5ca31ca73e10275,fcdf3196449bbbfd932304ebb150172e33211ace148eb1beb1e172510376e1da,True,ctls,gac-rds-external-readonly.stage.twilio.com,443,https://gac-rds-external-readonly.stage.twilio.com:443,https,text/html,GET,13.32.99.92,/,820208808,13.32.99.111,20,False,CloudFront,cloudfront,Amazon Web Services,True,,,,,,
gac-rds-external-readonly.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,True,ctls,alt.staging-airtableblocks.com,443,https://gac-rds-external-readonly.staging-airtableblocks.com:443,https,text/html,GET,52.54.41.182,/,-304007040,184.73.80.41,29,False,nginx,,Nginx,,,,True,,,https://alt.staging-airtableblocks.com:443/
gac-rds-external-readonly.tianma-prd-in.vivo.com,403 Forbidden,403,548,gac-rds-external-readonly.tianma-prd-in.vivo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-01T00:00:00Z,2023-12-02T23:59:59Z,"CN=*.tianma-prd-in.vivo.com, O=vivo Mobile Communication Co.\, Ltd., L=Dongguan, ST=Guangdong Province, C=CN",*.tianma-prd-in.vivo.com,"vivo Mobile Communication Co., Ltd.",*.tianma-prd-in.vivo.com,"CN=Secure Site CA G2, OU=www.digicert.com, O=DigiCert Inc, C=US",Secure Site CA G2,DigiCert Inc,e9e8432b3ca8671e3edaf95c1361f3c5,9771e622205c39200c8fec707d64b52d11979b54e1e5b711492f9845ecabbddd,True,ctls,gac-rds-external-readonly.tianma-prd-in.vivo.com,443,https://gac-rds-external-readonly.tianma-prd-in.vivo.com:443,https,text/html,GET,129.227.254.190,/,-1219531008,129.227.254.190,14,False,nginx,,Nginx,,,,,,,
gac-rds-external-readonly.websitebuilder.easyname.com,"easyname - Webhosting, Website Builder und Domains",200,147557,www.easyname.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T07:19:25Z,2023-07-18T07:19:24Z,CN=easyname.de,easyname.de,,www.easyname.de,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dfe10670788eb266f63d6656e7aeb1ed,ca968455da93bf4044c3c6e89ce6a62cd8ae47cc3ed53fc36818d65d3cc31010,,ctls,www.easyname.de,443,https://gac-rds-external-readonly.websitebuilder.easyname.com:443,https,text/html,GET,185.51.8.148,/,1494302000,185.51.8.148,2111,False,nginx,,React,,,,,,,https://www.easyname.de/de
geheimvanrotterdam.ad.nl,DPG Media Privacy Gate,200,8803,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://geheimvanrotterdam.ad.nl:443,https,text/html,GET,146.185.53.23,/,2022006080,146.185.53.23,278,False,,,Google Tag Manager,,,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=V9f6VUvlHxq9wKIN&callbackUrl=https%3A%2F%2Fwww.ad.nl%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F
geldwijzer.ad.nl,Geldmeter,200,53472,geldwijzer.ad.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-10-14T23:59:59Z,CN=geldwijzer.ad.nl,geldwijzer.ad.nl,,*.geldwijzer.ad.nl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,10bb9adaaad1a4967eae2d9ef57cb2cf,ae06023165647608ddc88cbb47b952db3ed3f73c164ea0c92f4c694472b5f720,True,ctls,geldwijzer.ad.nl,443,https://geldwijzer.ad.nl:443,https,text/html,GET,13.32.121.115,/,-1840324437,13.32.121.9,202,False,,cloudfront,HSTS,True,https:,,,,,
gws-rds-external-readonly-uat-coinbaselax1sandbox-worker0.directly.com,Sign up | Directly,200,10530,gws-rds-external-readonly-uat-coinbaselax1sandbox-worker0.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-02T23:59:59Z,CN=*.directly.com,*.directly.com,,directly.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0aebf4de38b4749e2ac7e2e8df561338,9820943a05e57ab6bfe64896bd7422a5ab68e5ce5f9d908f51e4daa72b19a6b0,True,ctls,gws-rds-external-readonly-uat-coinbaselax1sandbox-worker0.directly.com,443,https://gws-rds-external-readonly-uat-coinbaselax1sandbox-worker0.directly.com:443,https,text/html,GET,34.239.229.38,/,1899044793,52.7.171.31,283,False,Apache,,Pure CSS,,*.adroll.com,,,,,https://gws-rds-external-readonly-uat-coinbaselax1sandbox-worker0.directly.com/login/auth
gws-rds-external-readonly-uat.directly.com,Sign up | Directly,200,10530,gws-rds-external-readonly-uat.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-02T23:59:59Z,CN=*.directly.com,*.directly.com,,directly.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0aebf4de38b4749e2ac7e2e8df561338,9820943a05e57ab6bfe64896bd7422a5ab68e5ce5f9d908f51e4daa72b19a6b0,True,ctls,gws-rds-external-readonly-uat.directly.com,443,https://gws-rds-external-readonly-uat.directly.com:443,https,text/html,GET,3.223.245.124,/,1899044793,54.146.201.247,283,False,Apache,,Pure CSS,,www.googleadservices.com,,,,,https://gws-rds-external-readonly-uat.directly.com/login/auth
gws-rds-external-readonly-uat.donations.livestream.com,Login to Livestream,200,24760,livestream.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-19T00:00:00Z,2023-10-18T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",40f0a7164beb42f54b00d60ce0f61f93,3be2a8749710a618e778b6353b40352ba45ab232d4f22bbc40de3c7a89c1733e,,ctls,livestream.com,443,https://gws-rds-external-readonly-uat.donations.livestream.com:443,https,text/html,GET,151.101.2.29,/,973546752,151.101.194.29,557,False,cloudflare,fastly,Varnish,True,,,,,,https://livestream.com/session/new
gws-rds-external-readonly-uat.quora.com,"Quora - Quora, wo man Wissen miteinander austauscht und die Welt besser verstehen kann",200,153719,de.quora.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T16:14:07Z,2023-07-15T16:14:06Z,CN=quora.com,quora.com,,quora.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,17280cfc4ac28b38cd5cbd961fc89688,a07ae6d7380e9e34600726331b14919beba608877648979da75fc85cf852b709,True,ctls,de.quora.com,443,https://gws-rds-external-readonly-uat.quora.com:443,https,text/html,GET,162.159.153.247,/,-1958196763,162.159.152.17,52,False,cloudflare,cloudflare,PayPal,True,https://control.kochava.com,,True,,,https://de.quora.com/
gws-rds-external-readonly-uat.snappublisher.snapchat.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://gws-rds-external-readonly-uat.snappublisher.snapchat.com:80,http,text/html,GET,142.250.186.83,/,302920777,2a00:1450:4001:806::2013,12,False,ghs,,,,,,,,,
gws-rds-external-readonly-uat.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,True,ctls,alt.staging-airtableblocks.com,443,https://gws-rds-external-readonly-uat.staging-airtableblocks.com:443,https,text/html,GET,184.73.80.41,/,-304007040,52.54.41.182,29,False,nginx,,Nginx,,,,True,,,https://alt.staging-airtableblocks.com:443/
gws-rds-external-readonly-uat.unified.seek.com,,403,16,,,,,,,,,,,,,,,,,,,,80,http://gws-rds-external-readonly-uat.unified.seek.com:80,http,text/plain,GET,104.18.22.53,/,1253481126,104.18.23.53,1,False,cloudflare,cloudflare,Cloudflare Bot Management,True,,,,,,
horoscoop.ad.nl,,200,44,horoscoop.ad.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2024-04-26T23:59:59Z,CN=*.cobytes.io,*.cobytes.io,,cobytes.io,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10fe39e7d0cc7005a58a85edcb481286,70d206198cafcd9da0a10cdffd2d970b5256fb3b6a070b30b0a17995262ee8d4,True,ctls,horoscoop.ad.nl,443,https://horoscoop.ad.nl:443,https,text/html,GET,185.71.61.104,/,-1812417198,2a03:38a0:61:104::1,2,False,Apache/2,,HSTS,,,,True,,,
horoscoop.www.ad.nl,,200,44,horoscoop.www.ad.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2024-04-26T23:59:59Z,CN=*.cobytes.io,*.cobytes.io,,cobytes.io,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,10fe39e7d0cc7005a58a85edcb481286,70d206198cafcd9da0a10cdffd2d970b5256fb3b6a070b30b0a17995262ee8d4,True,ctls,horoscoop.www.ad.nl,443,https://horoscoop.www.ad.nl:443,https,text/html,GET,185.71.61.104,/,-1812417198,2a03:38a0:61:104::1,2,False,Apache/2,,HSTS,,,,True,,,
ikstaindekrant.ad.nl,DPG Media Privacy Gate,200,8803,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://ikstaindekrant.ad.nl:443,https,text/html,GET,146.185.53.23,/,2022006080,146.185.53.23,278,False,,,Google Tag Manager,,,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=V9f6VUvlHxq9wKIN&callbackUrl=https%3A%2F%2Fwww.ad.nl%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F
img-acc.ad.nl,,403,42,img-acc.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-08T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.ad.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.ad.nl,DPG Media Services NV,ad.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8e330642eabb01f46083bbb83492f7e9,43bf37116106b8113fa5be9e62cc5f0396e21960dfe26cfdfa639eef841ab23c,True,ctls,img-acc.ad.nl,443,https://img-acc.ad.nl:443,https,application/json,GET,2.23.209.2,/,768769774,2a02:26f0:480:25::1726:621c,1,False,,,,,,,,,,
ims.ad.nl,,200,113,ims.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-08T00:00:00Z,2024-02-09T23:59:59Z,"CN=*.ad.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.ad.nl,DPG Media Services NV,ad.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8e330642eabb01f46083bbb83492f7e9,43bf37116106b8113fa5be9e62cc5f0396e21960dfe26cfdfa639eef841ab23c,True,ctls,ims.ad.nl,443,https://ims.ad.nl:443,https,text/html,GET,2.17.100.163,/,1631801191,2a02:26f0:480:23::1726:62ab,1,False,Microsoft-IIS/10.0,,Windows Server,,,,,,,
infostrada.ad.nl,DPG Media Privacy Gate,200,8803,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://infostrada.ad.nl:443,https,text/html,GET,146.185.53.23,/,2022006080,146.185.53.23,278,False,,,Google Tag Manager,,,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=V9f6VUvlHxq9wKIN&callbackUrl=https%3A%2F%2Fwww.ad.nl%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F
kortingscodes.ad.nl,Kortingscodes en deals voor mei 2023 I AD kortingscodes,200,379418,kortingscodes.ad.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-02-09T23:59:59Z,CN=kortingscodes.ad.nl,kortingscodes.ad.nl,,kortingscodes.ad.nl,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65a9af00fd16af95a5ff09f548baba35,9ae2a0c4947db966b18ae3ac5c6647f189a5f8d7e19145ed0e5de3ac45abaec2,,ctls,kortingscodes.ad.nl,443,https://kortingscodes.ad.nl:443,https,text/html,GET,18.66.97.49,/,1090126134,18.66.97.55,1566,False,CloudFront,cloudfront,webpack,True,,,,,,
