input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,webserver,cdn_name,tech_,cdn,csp_domains_,location,tls_mismatched,tls_self_signed,tls_expired,final_url
accounts.nieuw-demo.ad.nl,,200,,accounts.nieuw-demo.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,CN=accounts.persgroep.nl,accounts.persgroep.nl,,social.volkskrant.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3f3039929bd7e3a154638178dd28b2d2,070e06f614f39e7264de842fe97efda4a8fe5f7226694e8933595229380a2dd0,,ctls,accounts.nieuw-demo.ad.nl,443,https://accounts.nieuw-demo.ad.nl:443,https,text/html,GET,52.19.57.181,/,-1516177449,52.19.57.181,1,False,,,,,,,,,,
ad.nl,DPG Media Privacy Gate,200,8803,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://ad.nl:443,https,text/html,GET,2.16.186.227,/,2022006080,2a02:26f0:ab00::214:8e68,278,False,,,Google Tag Manager,,,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=V9f6VUvlHxq9wKIN&callbackUrl=https%3A%2F%2Fwww.ad.nl%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F
autotrack.ad.nl,DPG Media Privacy Gate,200,8803,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://autotrack.ad.nl:443,https,text/html,GET,146.185.53.23,/,2022006080,146.185.53.23,278,False,,,Google Tag Manager,,,,,,,https://myprivacy.dpgmedia.nl/consent?siteKey=V9f6VUvlHxq9wKIN&callbackUrl=https%3A%2F%2Fwww.ad.nl%2Fprivacy-gate%2Faccept-tcf2%3FredirectUri%3D%252F
brandedcontent.ad.nl,DPG Media Branded Content -,200,16458,brandedcontent.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-29T22:58:08Z,2023-06-27T22:58:07Z,CN=ad.nl,ad.nl,,www.gemeentekieswijzer.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e19e528aad2274272273f65aa3c33475,940a5a669f847fee6407cee72a2c4956fe5666b4fb4e87321cd0ac54ae56658f,,ctls,brandedcontent.ad.nl,443,https://brandedcontent.ad.nl:443,https,text/html,GET,2.16.186.178,/,885188052,2a02:26f0:ab00::5c7a:d730,114,False,Apache,,Yoast SEO:19.12,,,,,,,
chat-gateway196-prod-gws-rds-external-readonly-uat.snappublisher.snapchat.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://chat-gateway196-prod-gws-rds-external-readonly-uat.snappublisher.snapchat.com:80,http,text/html,GET,172.217.16.211,/,302920777,2a00:1450:4001:810::2013,12,False,ghs,,,,,,,,,
chronisch.ad.nl,404 - Not Found ... yet,200,992,chronisch.ad.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-04T03:15:20Z,2024-05-03T03:15:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,67262fd162aa23be4edb7e38633b26b6,db07f0a74701b79e23105a491b8861bbc2e7be589a1636c83dae932f60d843b6,,ctls,chronisch.ad.nl,443,https://chronisch.ad.nl:443,https,text/html,GET,34.91.151.1,/,-1314325192,34.91.151.1,29,False,,google,HSTS,True,,,True,True,,
circulation.ad.nl,,200,12,circulation.ad.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T06:21:45Z,2023-07-10T06:21:44Z,CN=circulation.ad.nl,circulation.ad.nl,,circulation.ad.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e26dbbbde6b1694706c05a98fd4b37aa,01efb73eadbd7ff13b7b07028ef418e71c74835ad8981d3cbe1b596db800699c,,ctls,circulation.ad.nl,443,https://circulation.ad.nl:443,https,text/html,GET,164.92.144.12,/,-1840324437,164.92.144.12,1,False,nginx/1.18.0 (Ubuntu),,Ubuntu,,,,,,,
click-gac-rds-external-readonly.snappublisher.snapchat.com,Error 404 (Not Found)!!1,404,1561,,,,,,,,,,,,,,,,,,,,80,http://click-gac-rds-external-readonly.snappublisher.snapchat.com:80,http,text/html,GET,172.217.16.147,/,302920777,2a00:1450:4001:82f::2013,12,False,ghs,,,,,,,,,
cmp.ad.nl,,403,243,cmp.ad.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T17:05:52Z,2023-07-29T17:05:51Z,CN=cmp.7sur7.be,cmp.7sur7.be,,cmp.willy.radio,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9c0c9d30bbfa4135baa012b2025be56d,bdd54d9c44b9b3f48b7e777a1ff86ce9c5c37c4e547ac52afde6c799e3b7190f,,ctls,cmp.ad.nl,443,https://cmp.ad.nl:443,https,application/xml,GET,13.32.121.85,/,-954916949,13.32.121.98,2,False,AmazonS3,cloudfront,Amazon Web Services,True,,,,,,
digitalekrant.ad.nl,E-Pages,200,696,digitalekrant.ad.nl,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-04-11T07:47:42Z,2023-10-07T21:59:00Z,CN=digitalekrant.ad.nl,digitalekrant.ad.nl,,digitalekrant.ad.nl,"CN=Buypass Class 2 CA 5, O=Buypass AS-983163327, C=NO",Buypass Class 2 CA 5,Buypass AS-983163327,12130f12b1923dab06f1ee98173d8ed8,2a231a5143d44d43fc128ce6069365446030adb850be9187203135200df50858,,ctls,digitalekrant.ad.nl,443,https://digitalekrant.ad.nl:443,https,text/html,GET,46.30.126.155,/,-1531841733,46.30.126.159,15,False,nginx,,PHP,,,,,,,https://digitalekrant.ad.nl/algemeendagblad/35835/
