new,host,a,cname,soa,ns,status_code,cdn,cdn-name,aaaa,txt
[x],api.localizestaging.com,"13.32.99.24, 13.32.99.67, 13.32.99.19, 13.32.99.102",dk28cbrjns6oo.cloudfront.net,"ns-1324.awsdns-37.org, awsdns-hostmaster.amazon.com","ns-1324.awsdns-37.org, ns-1551.awsdns-01.co.uk, ns-35.awsdns-04.com, ns-747.awsdns-29.net",NOERROR,True,cloudfront,,
[x],app.localizestaging.com,"52.84.195.124, 52.84.195.30, 52.84.195.40, 52.84.195.65, 205.251.197.237",d1fglvsoyfi40i.cloudfront.net,"ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com","ns-1517.awsdns-61.org, ns-808.awsdns-37.net, ns-393.awsdns-49.com, ns-1655.awsdns-14.co.uk",NOERROR,True,cloudfront,,
[x],assets.localizestaging.com,"108.138.7.67, 108.138.7.29, 108.138.7.12, 108.138.7.50",d1bg83ccumwu86.cloudfront.net,"ns-103.awsdns-12.com, awsdns-hostmaster.amazon.com","ns-103.awsdns-12.com, ns-1318.awsdns-36.org, ns-1991.awsdns-56.co.uk, ns-615.awsdns-12.net",NOERROR,True,cloudfront,"2600:9000:2490:a000:16:db4b:c180:93a1, 2600:9000:2490:2400:16:db4b:c180:93a1, 2600:9000:2490:a200:16:db4b:c180:93a1, 2600:9000:2490:7400:16:db4b:c180:93a1, 2600:9000:2490:5000:16:db4b:c180:93a1, 2600:9000:2490:4400:16:db4b:c180:93a1, 2600:9000:2490:4800:16:db4b:c180:93a1, 2600:9000:2490:5200:16:db4b:c180:93a1",
[x],localize.live,"188.114.96.13, 188.114.97.13",,"ruth.ns.cloudflare.com, dns.cloudflare.com","todd.ns.cloudflare.com, ruth.ns.cloudflare.com",NOERROR,True,cloudflare,"2a06:98c1:3120::d, 2a06:98c1:3121::d",google-site-verification=zMadKNNadAKGBcwnAN0hLJaEy_NjKjrF8TydcRlpzik
[x],localizestaging.com,"108.138.189.122, 108.138.189.26, 108.138.189.8, 108.138.189.41",,"ruth.ns.cloudflare.com, dns.cloudflare.com","todd.ns.cloudflare.com, ruth.ns.cloudflare.com",NOERROR,True,cloudfront,"2600:9000:238d:5600:19:cc98:5c00:93a1, 2600:9000:238d:6e00:19:cc98:5c00:93a1, 2600:9000:238d:c800:19:cc98:5c00:93a1, 2600:9000:238d:3c00:19:cc98:5c00:93a1, 2600:9000:238d:a600:19:cc98:5c00:93a1, 2600:9000:238d:a400:19:cc98:5c00:93a1, 2600:9000:238d:4c00:19:cc98:5c00:93a1, 2600:9000:238d:3e00:19:cc98:5c00:93a1",google-site-verification=LYIIJ6TZaCLxI8RNWY1MzDqAH4_ZtyRDUwjNqdQX8rk
[x],www.localize.live,,,"ruth.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,
[x],www.localizestaging.com,"18.160.41.26, 18.160.41.19, 18.160.41.13, 18.160.41.42, 205.251.193.74, 205.251.195.147, 205.251.196.132, 205.251.199.56",d3f8k51r5s7wq8.cloudfront.net,"ns-915.awsdns-50.net, awsdns-hostmaster.amazon.com","ns-1156.awsdns-16.org, ns-330.awsdns-41.com, ns-915.awsdns-50.net, ns-1848.awsdns-39.co.uk",NOERROR,True,cloudfront,"2600:9000:24f2:c00:19:cc98:5c00:93a1, 2600:9000:24f2:4400:19:cc98:5c00:93a1, 2600:9000:24f2:8600:19:cc98:5c00:93a1, 2600:9000:24f2:ea00:19:cc98:5c00:93a1, 2600:9000:24f2:ac00:19:cc98:5c00:93a1, 2600:9000:24f2:e000:19:cc98:5c00:93a1, 2600:9000:24f2:a200:19:cc98:5c00:93a1, 2600:9000:24f2:f800:19:cc98:5c00:93a1",
