input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,tech_,cdn,tls_expired,final_url,tls_mismatched,tls_wildcard_certificate,tls_self_signed,csp_domains_
25years.infotech.monash.edu,Bitnami WordPress Stack,200,5577,443,https://25years.infotech.monash.edu:443,https,Apache,text/html,GET,52.64.12.59,/,-1607644090,52.64.12.59,51,False,25years.infotech.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2017-08-04T12:07:52Z,2027-08-02T12:07:52Z,CN=www.example.com,www.example.com,,,CN=www.example.com,www.example.com,,6d3af228b4551f43b70556ebde68524d,b22eee512030096435f0ed10fabe9ca0728683c23e49ac0aabad0b035aa4e1fc,ctls,25years.infotech.monash.edu,,Google PageSpeed:0,,,,True,,True,
25years.it.monash.edu,"Sorry, the page or file you are looking for was not found (error 404) - Monash University",404,916198,443,https://25years.it.monash.edu:443,https,openresty,text/html,GET,52.64.12.59,/,1234926315,52.64.12.59,9902,False,www.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-09T00:00:00Z,2023-09-09T23:59:59Z,"CN=monash.edu, O=Monash University, ST=Victoria, C=AU",monash.edu,Monash University,www.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,dc0450457de4cefab8378429bf621b90,3c472e141b60d6820dba1472cfcb620d6b4415701bbf81a8940d03ea2eabb431,ctls,www.monash.edu,,Squiz Matrix,,,https://www.monash.edu/it/timeline,,,,
2sn.erc.monash.edu,Alexander Heger's Homepage,200,11140,443,https://2sn.erc.monash.edu:443,https,Apache/2.4.57 (Fedora Linux) OpenSSL/3.0.8,text/html,GET,118.138.242.215,/,-1481394475,118.138.242.215,295,False,2sn.erc.monash.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-04T00:00:00Z,2023-10-04T23:59:59Z,"CN=2sn.org, O=Monash University, ST=Victoria, C=AU",2sn.org,Monash University,2sn.sci.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d0c2a5b31d6285fd97941c33c90ceffe,2b59cd5fc2996eef4a016c43bc160ebfb206c19113ce6048377214c92c175677,ctls,2sn.erc.monash.edu,,OpenSSL:3.0.8,,,,,,,
aa-treviso-v02.ocio.monash.edu,IIS Windows Server,200,701,443,https://aa-treviso-v02.ocio.monash.edu:443,https,Microsoft-IIS/8.5,text/html,GET,130.194.22.205,/,1631801191,2001:388:608c:8c1:250:56ff:feb5:2f71,32,False,aa-treviso-v02.ocio.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-01-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=examscheduler.monash.edu, O=Monash University, ST=Victoria, C=AU",examscheduler.monash.edu,Monash University,www.examscheduler.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,c374b95a601790db8a47448e03640097,39262a011b3cf14b4cfb21505a0b921beeb76b331ef6865c0f95c708e5e16af9,ctls,aa-treviso-v02.ocio.monash.edu,,Windows Server,,,,True,,,
aad.infotech.monash.edu,Academic Allocation Database,200,9934,443,https://aad.infotech.monash.edu:443,https,Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2k-fips PHP/7.4.32,text/html,GET,108.138.17.87,/,-1309951014,2600:9000:2453:7800:2:a5c3:afc0:93a1,239,False,aad.infotech.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T00:00:00Z,2024-04-29T23:59:59Z,"CN=aad.infotech.monash.edu, O=Monash University, ST=Victoria, C=AU",aad.infotech.monash.edu,Monash University,fit-web58-v20.ocio.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,9a663ecfc6f2d28c9b1f5a126fda22a4,fefe2e28b88d3451d23f165f3dd91ecd0cffb3be44372e06af90c4b99453c252,ctls,aad.infotech.monash.edu,cloudfront,Red Hat,True,,https://aad.infotech.monash.edu/login,,,,
acbd-acrf.erc.monash.edu,Sequencing Facility,200,10782,80,http://acbd-acrf.erc.monash.edu:80,http,nginx/1.18.0 (Ubuntu),text/html,GET,118.138.233.107,/,-1805765277,118.138.233.107,347,False,mhtp-seq.erc.monash.edu.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=mhtp-seq.erc.monash.edu.au, O=Monash University, ST=Victoria, C=AU",mhtp-seq.erc.monash.edu.au,Monash University,mhtp-seq.erc.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,7c2cb466215321342198f419c8fc504c,1ed737e11e43acd07b07bbcea9a0a396684a39f26eced3d3e5e911e811cce468,ctls,mhtp-seq.erc.monash.edu.au,,Ubuntu,,,https://mhtp-seq.erc.monash.edu.au/,,,,https:
account-registration-qat.monash.edu,Monash Account Registration Service,200,11654,443,https://account-registration-qat.monash.edu:443,https,Jetty(9.4.15.v20190215),text/html,GET,18.66.122.37,/,313475311,18.66.122.92,187,False,account-registration-qat.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-17T00:00:00Z,2024-01-17T23:59:59Z,"CN=mars-qat.monash.edu, O=Monash University, ST=Victoria, C=AU",mars-qat.monash.edu,Monash University,mars-qat.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,02b6af1b4e405924d4c3e058da1bec14,dc20b0a0208af7c8bd73b7c8ad493bded8385d27560456d0d5a261b83e0a526b,ctls,account-registration-qat.monash.edu,cloudfront,Scala,True,,,,,,
adm.monash.edu,Structure - Monash University,200,922665,443,https://adm.monash.edu:443,https,openresty,text/html,GET,130.194.11.126,/,-521555956,2001:388:608c:88b::7e,10001,False,www.monash.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-09T00:00:00Z,2023-09-09T23:59:59Z,"CN=monash.edu, O=Monash University, ST=Victoria, C=AU",monash.edu,Monash University,www.monash.edu.au,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,dc0450457de4cefab8378429bf621b90,3c472e141b60d6820dba1472cfcb620d6b4415701bbf81a8940d03ea2eabb431,ctls,www.monash.edu,,Squiz Matrix,,,https://www.monash.edu/about/structure,,,,
agent-uat.apps.monash.edu,Monash Partner Portal,200,7965,443,https://agent-uat.apps.monash.edu:443,https,Google Frontend,text/html,GET,142.250.184.243,/,912648850,2a00:1450:4001:831::2013,138,False,agent-uat.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-01T00:00:00Z,2023-06-01T23:59:59Z,"CN=agent-uat.apps.monash.edu, O=Monash University, ST=Victoria, C=AU",agent-uat.apps.monash.edu,Monash University,www.agent-uat.apps.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,8cc82c4503733f843a2b969cb1eaa938,6fd6b9b9a2166886822e2aeb4bb061fa04fc3acd33cb041f6d0d41835e4d07ad,ctls,agent-uat.apps.monash.edu,,Java,,,https://agent-uat.apps.monash.edu/agent/sign-in,,,,
agent.apps.monash.edu,,200,212,443,https://agent.apps.monash.edu:443,https,,text/html,GET,45.60.34.202,/,740121691,45.60.34.202,8,False,agent.apps.monash.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-03-01T23:59:59Z,"CN=agent.apps.monash.edu, O=Monash University, ST=Victoria, C=AU",agent.apps.monash.edu,Monash University,www.agent.apps.monash.edu,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,71197a31c0f6cf3d5fa272a555ea2fbd,eebdf1eb8550808ed4a2e347df93d22adfee606c5de35af1721d7ed3297df175,ctls,agent.apps.monash.edu,incapsula,Imperva,True,,,,,,
