new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,has_internal_ips,internal_ips,caa,ns
[x],aardvark.takealot.com,,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],ads.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],api.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:ae3d, 2606:4700::6813:af3d",,,,,,
[x],backup.takealot.com,196.34.14.132,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],bamboo.takealot.com,41.164.240.175,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],beta.takealot.com,196.34.14.128,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],blitz.takealot.com,34.77.94.112,www.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],bounce.email.takealot.com,74.112.69.25,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,bounce.email.takealot.com,,,,
[x],cat.takealot.com,196.34.14.128,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],catadmin.takealot.com,104.199.105.60,office-ingress.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],chef-gcp.takealot.com,34.76.206.50,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],chef.takealot.com,196.34.14.37,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],click.mails.takealot.com,13.111.151.205,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cms.takealot.com,,office-ingress.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],console-ips.takealot.com,54.247.107.120,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],cwh.takealot.com,,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],dashboard.takealot.com,"104.19.174.61, 104.19.175.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],dctools.takealot.com,10.0.1.109,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,True,10.0.1.109,,
[x],e.takealot.com,74.112.69.23,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"reply.e.takealot.com, mail3353.e.takealot.com",,,,
[x],em.takealot.com,34.77.94.112,www.takealot.com,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,,
[x],email.takealot.com,66.18.18.11,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,"reply.email.takealot.com, mail3354.email.takealot.com",,,,
[x],hangtight.takealot.com,"52.215.9.182, 54.229.163.51, 52.48.39.58, 54.73.248.134, 52.18.153.65, 54.229.218.49",takealot.queue-it.net,"ns-793.awsdns-35.net, awsdns-hostmaster.amazon.com",NOERROR,,,,region:eu-west-1,,,,,
[x],help.takealot.com,"104.16.51.111, 104.16.53.111","takealot.ssl.zendesk.com, takealot.zendesk.com","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,,"pod=28, v=spf1 include:mail.zendesk.com ~all",mail-pod-28.int.zendesk.com,,,,
[x],helpform.takealot.com,,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],hq.takealot.com,,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],hybris.takealot.com,52.16.95.200,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],image.mails.takealot.com,"2.18.29.208, 2.18.29.187","akamai-san106.exacttarget.com.edgekey.net, e65000.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:d200::6855:f91a, 2a02:26f0:d200::6855:f93b",,,,,,
[x],images.takealot.com,196.34.14.129,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],img.takealot.com,196.34.14.129,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],img2.takealot.com,196.34.14.128,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],img99.takealot.com,"104.19.175.61, 104.19.174.61",,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6813:af3d, 2606:4700::6813:ae3d",,,,,,
[x],irc.takealot.com,41.164.240.169,,"gordon.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
