input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn
ads.takealot.com,,200,48,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,ads.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,ctls,ads.takealot.com,443,https://ads.takealot.com:443,https,cloudflare,text/plain,GET,104.19.175.61,/,-1840324437,2606:4700::6813:af3d,HSTS,1,False,True,cloudflare,True
hangtight.takealot.com,Error 404,404,1951,AS16509,AMAZON-02,US,54.228.0.0/15,hangtight.takealot.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-16T00:00:00Z,2023-09-25T23:59:59Z,CN=sslcertificate1.queue-it.net,sslcertificate1.queue-it.net,,waitingroom.adidas.co.id,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b3b2bbd5cfccbd41c7c17be748c5031a,67c083b2605dbb1cac2e4651f8e9fb6d282d96f9b766361327b048953d2c74e8,ctls,hangtight.takealot.com,443,https://hangtight.takealot.com:443,https,Kestrel,text/html,GET,54.229.218.49,/,-1378628694,52.215.9.182,Microsoft ASP.NET,56,False,,,
image.mails.takealot.com,Access Denied,403,276,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,image.mails.takealot.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-06-08T00:00:00Z,2023-07-09T23:59:59Z,"CN=akamai-san106.exacttarget.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",akamai-san106.exacttarget.com,"SALESFORCE.COM, INC.",image.bicevida.cl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e50e717f1c8004db24abec5d029f1522,47c384bd073e50debbd23e15baa7d02fb73c5bf2f81c4cee815731ef48553769,ctls,image.mails.takealot.com,443,https://image.mails.takealot.com:443,https,AkamaiGHost,text/html,GET,2.20.132.107,/,731997630,2a02:26f0:3500:1b::1724:a396,,10,False,,,
media2.takealot.com,,200,48,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,media2.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,ctls,media2.takealot.com,443,https://media2.takealot.com:443,https,cloudflare,text/plain,GET,104.19.175.61,/,-1840324437,2606:4700::6813:af3d,HSTS,1,False,True,cloudflare,True
media99.takealot.com,,200,48,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,,,,,,,,,,,,,,,,,,,80,http://media99.takealot.com:80,http,cloudflare,text/plain,GET,104.19.175.61,/,-1840324437,2606:4700::6813:af3d,Cloudflare Bot Management,1,False,,cloudflare,True
oshlzg.takealot.com,,404,91,AS44788,ASN-CRITEO-EUROPE,FR,178.250.0.0/23,oshlzg.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-15T00:00:00Z,2023-06-09T23:59:59Z,"CN=ukgfxw.satofull.jp, O=Criteo SA, L=Paris, ST=Île-de-France, C=FR",ukgfxw.satofull.jp,Criteo SA,ukgfxw.satofull.jp,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8b03c6d92541424f65ca5dba004ef56a,058faf8ebb7996c6a0d3b2fd228fb7ef6bce0edd47432ac27557707ed1286da5,ctls,oshlzg.takealot.com,443,https://oshlzg.takealot.com:443,https,Kestrel,text/html,GET,178.250.1.11,/,-1947197333,2a02:2638:3::c,Microsoft ASP.NET,1,False,,,
seller.takealot.com,Seller Portal,200,8392,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,seller.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,ctls,seller.takealot.com,443,https://seller.takealot.com:443,https,cloudflare,text/html,GET,104.19.175.61,/,1390416841,2606:4700::6813:ae3d,HSTS,156,False,True,cloudflare,True
sentry-ingress-gcp.takealot.com,,200,,AS396982,GOOGLE-CLOUD-PLATFORM,US,34.80.0.0/12,sentry-ingress-gcp.takealot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-19T11:28:39Z,2024-01-20T11:28:39Z,CN=*.takealot.com,*.takealot.com,,takealot.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",33ecfe378c9862d2b25e885d9350355b,3355c73017ecc2dde7c62e8ac48dfdbdde1359d7e7cb45b55a42226ad9148e5d,ctls,sentry-ingress-gcp.takealot.com,443,https://sentry-ingress-gcp.takealot.com:443,https,,application/octet-stream,GET,34.77.244.130,/,-1840324437,34.77.244.130,,1,False,True,google,True
zendesk3.takealot.com,,403,16,AS13335,CLOUDFLARENET,US,162.159.160.0/24,,,,,,,,,,,,,,,,,,,,80,http://zendesk3.takealot.com:80,http,cloudflare,text/plain,GET,162.159.128.7,/,,162.159.138.6,Cloudflare Bot Management,1,False,,cloudflare,True
