new,host,a,soa,status_code,aaaa,mx,ns,txt,cdn,cdn-name,cname
[x],salt.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],sebastian.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],sugarcrm.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],switch251.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],testdns.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],update.kiwi.ki,35.157.124.234,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,2a05:d014:a1b:c900:abfb:5d98:8f70:b7ec,,,,,,
[x],v2.kiwi.ki,18.159.220.35,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],versions.services.kiwi.ki,"3.67.130.160, 52.28.1.39, 52.29.88.116","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1326.awsdns-37.org, ns-1689.awsdns-19.co.uk, ns-417.awsdns-52.com, ns-613.awsdns-12.net",,,,a984b79a71c9b11e8b7e502b44d73d94-1916454253.eu-central-1.elb.amazonaws.com
[x],webmail.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.grafana-aws.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.grafana.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.icinga.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.icinga2.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.installers-api.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.installers-app.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.kibana-aws.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.kibana.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.mobile.kiwi.ki,"172.67.38.64, 104.22.14.22, 104.22.15.22","hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:10::ac43:2640, 2606:4700:10::6816:f16, 2606:4700:10::6816:e16",,,,True,cloudflare,
[x],www.monitor.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.versions.services.kiwi.ki,,"hugh.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
