new,host,a,soa,ns,status_code,txt,cdn,cdn-name,cname,mx,aaaa,caa,has_internal_ips,internal_ips
[x],pay-qa-sitef.br.satellite.cornershop.io,"3.211.194.231, 3.224.37.42, 18.210.25.187","ns-565.awsdns-06.net, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-satellite,external-dns/resource=ingress/cornershop-qa-pay-integration-br-sitef/api",,,,,,,,
[x],pay.cornershopapp.com,"104.16.239.58, 104.17.236.82","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-prod.k8s.local,external-dns/resource=ingress/cornershop-prod-pay/api",True,cloudflare,,,,,,
[x],pgweb.ca.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"heritage=external-dns,external-dns/owner=cs-gke-scrapers,external-dns/resource=ingress/stores-integrations-ca/pgweb",True,google,,,,,,
[x],pgweb.mx.stores-int.superpal.io,35.188.233.39,"ns-1896.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,True,google,,,,,,
[x],privacy.cornershopapp.com,"104.17.236.82, 104.16.239.58","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
[x],privacy.superpal.com,"104.18.96.77, 104.16.242.93","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
[x],proxy.satellite.superpal.io,,"ns-984.awsdns-59.net, awsdns-hostmaster.amazon.com","ns-102.awsdns-12.com, ns-1364.awsdns-42.org, ns-1897.awsdns-45.co.uk, ns-984.awsdns-59.net",NOERROR,"heritage=external-dns,external-dns/owner=cs-satellite,external-dns/resource=service/squid/squid",,,,,,,,
[x],pypi.cornershop.io,"99.86.4.39, 99.86.4.100, 99.86.4.77, 99.86.4.118","ns-482.awsdns-60.com, awsdns-hostmaster.amazon.com",,NOERROR,,True,cloudfront,,,,,,
[x],s.cornershopapp.com,"104.16.239.58, 104.17.236.82","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
[x],s.superpal.com,"104.16.242.93, 104.18.96.77","alina.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,True,cloudflare,,,,,,
