input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_mismatched,final_url,csp_domains_
brandcenter.superpal.com,Attention Required! | Cloudflare,403,4515,brandcenter.superpal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2023-05-31T23:59:59Z,"CN=superpal.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",superpal.com,"Cloudflare, Inc.",superpal.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f342b1d5c8cfa586bebda6ac4a4a429,90288fc468290732272488bcf3aaa4cf0053561a391383258a5544da1284fadf,True,ctls,brandcenter.superpal.com,cloudflare,443,https://brandcenter.superpal.com:443,https,cloudflare,text/html,GET,104.16.242.93,/,2138305797,104.18.96.77,HSTS,94,False,True,,,,
catalog-review.cornershopapp.com,Cornershop / Catalog Review,200,3356,catalog-review.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,catalog-review.cornershopapp.com,cloudflare,443,https://catalog-review.cornershopapp.com:443,https,cloudflare,text/html,GET,104.17.236.82,/,-2009722838,104.16.239.58,HSTS,1,False,True,,,,
cdnjs.cornershopapp.com,,200,,cdnjs.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,cdnjs.cornershopapp.com,cloudflare,443,https://cdnjs.cornershopapp.com:443,https,cloudflare,text/html,GET,104.16.239.58,/,-1840324437,104.17.236.82,HSTS,1,False,True,,,,
cornershop-integrations-pre-order-gpa.satellite.superpal.io,,404,21,cornershop-integrations-pre-order-gpa.satellite.superpal.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-16T01:22:04Z,2024-04-15T01:22:04Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,d4c45e2e24e62f5258326e74af50059f,293589f7521b01c1953e591078de0d272b6736a0b77a8e8d9c9477b33108a2d0,,ctls,cornershop-integrations-pre-order-gpa.satellite.superpal.io,,443,https://cornershop-integrations-pre-order-gpa.satellite.superpal.io:443,https,,text/plain,GET,3.211.194.231,/,-1669793162,3.224.37.42,HSTS,1,False,,True,True,,
cornershopapp.com,Grocery delivery | Cornershop,200,104749,cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,cornershopapp.com,cloudflare,443,https://cornershopapp.com:443,https,cloudflare,text/html,GET,104.17.236.82,/,-225565125,104.16.239.58,HSTS,437,False,True,,,https://cornershopapp.com/en/,
crm.cornershopapp.com,Cornershop CRM,200,3694,crm.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,crm.cornershopapp.com,cloudflare,443,https://crm.cornershopapp.com:443,https,cloudflare,text/html,GET,104.16.239.58,/,-225565125,104.17.236.82,HSTS,1,False,True,,,,
crm.superpal.com,Cornershop CRM,200,4069,crm.superpal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2023-05-31T23:59:59Z,"CN=superpal.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",superpal.com,"Cloudflare, Inc.",superpal.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f342b1d5c8cfa586bebda6ac4a4a429,90288fc468290732272488bcf3aaa4cf0053561a391383258a5544da1284fadf,True,ctls,crm.superpal.com,cloudflare,443,https://crm.superpal.com:443,https,cloudflare,text/html,GET,104.18.96.77,/,-225565125,104.16.242.93,HSTS,1,False,True,,,,
db-loyalty-qa-costco.us.satellite.cornershop.io,Sign in - Google Accounts,200,643504,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,,443,https://db-loyalty-qa-costco.us.satellite.cornershop.io:443,https,ESF,text/html,GET,3.224.37.42,/,1558988014,18.210.25.187,HTTP/3,46,False,,,,https://accounts.google.com/v3/signin/identifier?dsh=S1309201633%3A1683914206128084&access_type=offline&approval_prompt=force&client_id=111631034641-105dasn0pcjcvue2lv5d6qvpbe4vchhk.apps.googleusercontent.com&o2v=1&redirect_uri=https%3A%2F%2Foauth2-proxy.cornershop.io%2Foauth2%2Fcallback&response_type=code&scope=openid+email+profile&service=lso&state=lqWQmZMdJFWjCRF9Yn0ZTdlR_9M7W3177Sy01vCuPys%3Ahttps%3A%2F%2Fdb-loyalty-qa-costco.us.satellite.cornershop.io%2F&flowName=GeneralOAuthFlow&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAO3TX6XB3KQhaQXU99AxLeahus_pMlbYh11oOdQo-d29VXnthJHX6h1DFvWL67GrtT24_wGpJbSDPd62X79RXsIFuPM7n_94TORlez5GrbWLMZuxQqBoCBHx5k5mpqjhkmqffOY5be62FAmVvYFFSP-kawAcYEyC190-tB9NW-tL9lo-H-yv4eCgVDK3PH0-SGfN4n1Ex3yTZng_3jNYT9WgR4rvB160T2K1P_8fUGSelfkYKHu7FbY3DKuWRtLGBtxhyF6axscHiJZ2bxcQPdazhPfy8AlNPP8t7Oq_4wvFl_pTREPC3irDrnyYzsLTCSI-oGTgjLKDzkd-zwJSgNJRCrIJFhqOLDrWuMb996RuExgKfVyaUtpD-TwlaOGWLL3T7pqevxJPzovMCuYnNE3CL7J6FCbdYmkXdD07E6FbFiiDudKa9yVP-rGVsmMr7pZFVMU8ulYfu0fNBhOFnXz4phMlVdO_CfYH4YJALbvCE3lPj0%26as%3DS1309201633%253A1683914206128084%26client_id%3D111631034641-105dasn0pcjcvue2lv5d6qvpbe4vchhk.apps.googleusercontent.com%23&app_domain=https%3A%2F%2Foauth2-proxy.cornershop.io&rart=ANgoxccYc55zhXXxyE5jDBJePSIJ60I4fJbwVYFQJ05V74HhM5mvVgIKZaH5EHohvi37Pp7cngbpV18DiQe6K206oEtPtyQccw,https://www.gstatic.com
email.cornershopapp.com,404 Not Found,404,564,email.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,email.cornershopapp.com,cloudflare,443,https://email.cornershopapp.com:443,https,cloudflare,text/html,GET,104.16.239.58,/,1506877856,104.17.236.82,HSTS,14,False,True,,,,
email.superpal.com,404 Not Found,404,564,email.superpal.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,email.superpal.com,,443,https://email.superpal.com:443,https,nginx,text/html,GET,167.89.123.124,/,1506877856,167.89.118.83,Nginx,14,False,,,True,,
