input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_mismatched,final_url,csp_domains_
loyalty-prod-nespresso.mx.satellite.cornershop.io,401 Authorization Required,401,172,loyalty-prod-nespresso.mx.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-23T15:43:50Z,2023-06-21T15:43:49Z,CN=loyalty-prod-nespresso.mx.satellite.cornershop.io,loyalty-prod-nespresso.mx.satellite.cornershop.io,,loyalty-prod-nespresso.mx.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,98f3063f51b08d0a4cd6942858a6499a,509a9b8f9efab842d11902e0bcaa5ae7174a4e511d7be5317e2f14e58033c7b0,,ctls,loyalty-prod-nespresso.mx.satellite.cornershop.io,,443,https://loyalty-prod-nespresso.mx.satellite.cornershop.io:443,https,,text/html,GET,18.210.25.187,/,-1710455754,3.224.37.42,HSTS,8,False,,,,,
loyalty-prod-petco.mx.satellite.cornershop.io,401 Authorization Required,401,172,loyalty-prod-petco.mx.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:53:18Z,2023-08-10T07:53:17Z,CN=loyalty-prod-petco.mx.satellite.cornershop.io,loyalty-prod-petco.mx.satellite.cornershop.io,,loyalty-prod-petco.mx.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,086275c6bb29cd971ec5f6ae39b96681,04e3d9a0533655169f53f0db56f6d5ea9f1f671327361f3004775d9d870065ca,,ctls,loyalty-prod-petco.mx.satellite.cornershop.io,,443,https://loyalty-prod-petco.mx.satellite.cornershop.io:443,https,,text/html,GET,3.224.37.42,/,-1710455754,18.210.25.187,HSTS,8,False,,,,,
loyalty-prod-pricesmart.co.satellite.cornershop.io,401 Authorization Required,401,574,loyalty-prod-pricesmart.co.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:51:24Z,2023-08-10T07:51:23Z,CN=loyalty-prod-pricesmart.co.satellite.cornershop.io,loyalty-prod-pricesmart.co.satellite.cornershop.io,,loyalty-prod-pricesmart.co.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,be6a610210d2a266f940323f333eb382,a0d81a0b5be700693f629863a5bd81eeb9ed93825a92a319cad0617ca9616159,,ctls,loyalty-prod-pricesmart.co.satellite.cornershop.io,,80,http://loyalty-prod-pricesmart.co.satellite.cornershop.io:80,http,,text/html,GET,3.224.37.42,/,1335698669,18.210.25.187,HSTS,14,False,,,,https://loyalty-prod-pricesmart.co.satellite.cornershop.io,
loyalty-prod-rexall.ca.satellite.cornershop.io,401 Authorization Required,401,172,loyalty-prod-rexall.ca.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T08:00:32Z,2023-08-10T08:00:31Z,CN=loyalty-prod-rexall.ca.satellite.cornershop.io,loyalty-prod-rexall.ca.satellite.cornershop.io,,loyalty-prod-rexall.ca.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4d6f9a30e672c06abb1667b5b9a7b3c2,5f1cd0879e1a0cd2f7d23148baabee8e4007e47b4dd028af58edac25e75cd326,,ctls,loyalty-prod-rexall.ca.satellite.cornershop.io,,80,http://loyalty-prod-rexall.ca.satellite.cornershop.io:80,http,,text/html,GET,3.211.194.231,/,-1710455754,3.224.37.42,HSTS,8,False,,,,https://loyalty-prod-rexall.ca.satellite.cornershop.io,
loyalty-prod-sams.br.satellite.cornershop.io,401 Authorization Required,401,574,loyalty-prod-sams.br.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:57:07Z,2023-08-10T07:57:06Z,CN=loyalty-prod-sams.br.satellite.cornershop.io,loyalty-prod-sams.br.satellite.cornershop.io,,loyalty-prod-sams.br.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d651b7f604398434d875b692783fe14d,4b3cff51794af6818fc30f09d0d68b6b22cf83b9860a856d8e6857ccdd87cdc6,,ctls,loyalty-prod-sams.br.satellite.cornershop.io,,443,https://loyalty-prod-sams.br.satellite.cornershop.io:443,https,,text/html,GET,18.210.25.187,/,1335698669,3.224.37.42,HSTS,14,False,,,,,
loyalty-prod-seg.us.satellite.cornershop.io,401 Authorization Required,401,172,loyalty-prod-seg.us.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:59:41Z,2023-08-10T07:59:40Z,CN=loyalty-prod-seg.us.satellite.cornershop.io,loyalty-prod-seg.us.satellite.cornershop.io,,loyalty-prod-seg.us.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e57f2e75be37aeb5f638e43933cb5cc9,56f0b466e0a7c64ff8b0d6e5cc996b2021928d8581c9a592f4c8032009309b10,,ctls,loyalty-prod-seg.us.satellite.cornershop.io,,443,https://loyalty-prod-seg.us.satellite.cornershop.io:443,https,,text/html,GET,3.224.37.42,/,-1710455754,3.211.194.231,HSTS,8,False,,,,,
loyalty-qa-costco.ca.satellite.cornershop.io,401 Authorization Required,401,574,loyalty-qa-costco.ca.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:49:20Z,2023-08-10T07:49:19Z,CN=loyalty-qa-costco.ca.satellite.cornershop.io,loyalty-qa-costco.ca.satellite.cornershop.io,,loyalty-qa-costco.ca.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,17f9b165c0b0a7318b32b88d32dd033f,b8eddab9676b91b40df0a51f28460c569ff031371c2e6642f07f14444fe4a09a,,ctls,loyalty-qa-costco.ca.satellite.cornershop.io,,80,http://loyalty-qa-costco.ca.satellite.cornershop.io:80,http,,text/html,GET,3.224.37.42,/,1335698669,3.211.194.231,HSTS,14,False,,,,https://loyalty-qa-costco.ca.satellite.cornershop.io,
loyalty-qa-hm.ca.satellite.cornershop.io,401 Authorization Required,401,574,loyalty-qa-hm.ca.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:53:31Z,2023-08-10T07:53:30Z,CN=loyalty-qa-hm.ca.satellite.cornershop.io,loyalty-qa-hm.ca.satellite.cornershop.io,,loyalty-qa-hm.ca.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,30fc05ee905220ef760fcd19a04888a9,1e4a2fc15ccc28ce166de63a4b0c1f23e034aaf57478e4acbaca8ee1beeec621,,ctls,loyalty-qa-hm.ca.satellite.cornershop.io,,443,https://loyalty-qa-hm.ca.satellite.cornershop.io:443,https,,text/html,GET,18.210.25.187,/,1335698669,3.211.194.231,HSTS,14,False,,,,,
loyalty-qa-miniso.mx.satellite.cornershop.io,401 Authorization Required,401,172,loyalty-qa-miniso.mx.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T14:13:43Z,2023-06-25T14:13:42Z,CN=loyalty-qa-miniso.mx.satellite.cornershop.io,loyalty-qa-miniso.mx.satellite.cornershop.io,,loyalty-qa-miniso.mx.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,17bb26392e08b7f5586c8ccc2364d38a,9347206d20a43fb08928eb73ddd7304a31ffbe154d0c1f7efadec1974e96f9d9,,ctls,loyalty-qa-miniso.mx.satellite.cornershop.io,,80,http://loyalty-qa-miniso.mx.satellite.cornershop.io:80,http,,text/html,GET,18.210.25.187,/,-1710455754,3.211.194.231,HSTS,8,False,,,,https://loyalty-qa-miniso.mx.satellite.cornershop.io,
loyalty-qa-mx-farmavita.mx.satellite.cornershop.io,,404,21,,,,,,,,,,,,,,,,,,,,,80,http://loyalty-qa-mx-farmavita.mx.satellite.cornershop.io:80,http,,text/plain,GET,3.224.37.42,/,-1669793162,18.210.25.187,,1,False,,,,,
loyalty-qa-nespresso.mx.satellite.cornershop.io,401 Authorization Required,401,574,loyalty-qa-nespresso.mx.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:49:18Z,2023-08-10T07:49:17Z,CN=loyalty-qa-nespresso.mx.satellite.cornershop.io,loyalty-qa-nespresso.mx.satellite.cornershop.io,,loyalty-qa-nespresso.mx.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,37426f536ef0340316149260cf980fb7,8aa7deb9d354d3e9a113a10b533dab1f3f1f6a359253668b5d4dac39bbcbafb2,,ctls,loyalty-qa-nespresso.mx.satellite.cornershop.io,,443,https://loyalty-qa-nespresso.mx.satellite.cornershop.io:443,https,,text/html,GET,18.210.25.187,/,1335698669,3.211.194.231,HSTS,14,False,,,,,
loyalty-qa-petco.mx.satellite.cornershop.io,401 Authorization Required,401,574,loyalty-qa-petco.mx.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:52:16Z,2023-08-10T07:52:15Z,CN=loyalty-qa-petco.mx.satellite.cornershop.io,loyalty-qa-petco.mx.satellite.cornershop.io,,loyalty-qa-petco.mx.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9db3632b42e4b5f766d1daf9b347fce3,1bafaa35a9180b7b2d739415ca9e0affeb80d71e15eac21e4f816f690d81ff43,,ctls,loyalty-qa-petco.mx.satellite.cornershop.io,,443,https://loyalty-qa-petco.mx.satellite.cornershop.io:443,https,,text/html,GET,3.224.37.42,/,1335698669,18.210.25.187,HSTS,14,False,,,,,
loyalty-qa-pricesmart.co.satellite.cornershop.io,401 Authorization Required,401,574,loyalty-qa-pricesmart.co.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:54:21Z,2023-08-10T07:54:20Z,CN=loyalty-qa-pricesmart.co.satellite.cornershop.io,loyalty-qa-pricesmart.co.satellite.cornershop.io,,loyalty-qa-pricesmart.co.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,149e382aa853cb42f74f3893a0b1823f,fe3a7da563b865526c345ce99645d659c1eca103e9b34391ba185915f1654787,,ctls,loyalty-qa-pricesmart.co.satellite.cornershop.io,,80,http://loyalty-qa-pricesmart.co.satellite.cornershop.io:80,http,,text/html,GET,18.210.25.187,/,1335698669,3.224.37.42,HSTS,14,False,,,,https://loyalty-qa-pricesmart.co.satellite.cornershop.io,
loyalty-qa-seg.us.satellite.cornershop.io,401 Authorization Required,401,574,loyalty-qa-seg.us.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T08:52:25Z,2023-08-10T08:52:24Z,CN=loyalty-qa-seg.us.satellite.cornershop.io,loyalty-qa-seg.us.satellite.cornershop.io,,loyalty-qa-seg.us.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ee9a5c1a89309499e83ce31d7dd82600,4406350910717d94c457c637bfa4e007c6661f434cf9e9b33bfaa7a1ff912134,,ctls,loyalty-qa-seg.us.satellite.cornershop.io,,443,https://loyalty-qa-seg.us.satellite.cornershop.io:443,https,,text/html,GET,3.224.37.42,/,1335698669,18.210.25.187,HSTS,14,False,,,,,
maintenance.cornershopapp.com,Origin DNS error | maintenance.cornershopapp.com | Cloudflare,530,6239,maintenance.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,maintenance.cornershopapp.com,cloudflare,443,https://maintenance.cornershopapp.com:443,https,cloudflare,text/html,GET,104.16.239.58,/,1050279713,104.17.236.82,Cloudflare,93,False,True,,,,
marketplace.cornershopapp.com,Cornershop,200,6795,marketplace.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,marketplace.cornershopapp.com,cloudflare,443,https://marketplace.cornershopapp.com:443,https,cloudflare,text/html,GET,104.16.239.58,/,-225565125,104.17.236.82,React,1,False,True,,,,
media.cornershopapp.com,Grocery delivery | Cornershop,200,104945,cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,cornershopapp.com,cloudflare,443,https://media.cornershopapp.com:443,https,cloudflare,text/html,GET,104.16.239.58,/,-1515636469,104.17.236.82,HSTS,439,False,True,,,https://cornershopapp.com/en-us/,
merchants-api.catalog-uber.superpal.io,,404,21,merchants-api.catalog-uber.superpal.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2024-01-24T23:59:59Z,CN=*.catalog-uber.cornershop.io,*.catalog-uber.cornershop.io,,*.superpal.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,13d2cfe2e7f7b38f800080005f81c5ac,522147906c6f55204ddd22c70e315fb3035662aecb23f7bd27b90eae3756dab0,True,ctls,merchants-api.catalog-uber.superpal.io,,443,https://merchants-api.catalog-uber.superpal.io:443,https,,text/plain,GET,18.215.28.7,/,-1669793162,54.157.115.30,,1,False,,,True,,
merchants.superpal.com,404 Not Found,404,548,merchants.superpal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2023-05-31T23:59:59Z,"CN=superpal.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",superpal.com,"Cloudflare, Inc.",superpal.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f342b1d5c8cfa586bebda6ac4a4a429,90288fc468290732272488bcf3aaa4cf0053561a391383258a5544da1284fadf,True,ctls,merchants.superpal.com,cloudflare,443,https://merchants.superpal.com:443,https,cloudflare,text/html,GET,104.16.242.93,/,566218143,104.18.96.77,HSTS,14,False,True,,,,
mr-mocks.cornershop.io,Mr. Mocks,200,604,,,,,,,,,,,,,,,,,,,,,80,http://mr-mocks.cornershop.io:80,http,,text/html,GET,52.200.243.82,/,206902742,34.239.80.74,,3,False,,,,,
oauth2-proxy.cornershop.io,Sign In,403,7948,oauth2-proxy.cornershop.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-06T00:00:00Z,2024-06-03T23:59:59Z,CN=engineering.cornershop.io,engineering.cornershop.io,,*.superpal.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b4d8560f3e8ec87ae815e3333aa8c6f1,2c061ab650887fdaaa3916b2a4fbbf60c84b7e0e4ce737753448669bf92b41bc,True,ctls,oauth2-proxy.cornershop.io,,443,https://oauth2-proxy.cornershop.io:443,https,,text/html,GET,3.220.172.140,/,-35733301,3.95.69.75,HSTS,74,False,,,,,
onelink.cornershopapp.com,,404,16,onelink.cornershopapp.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-08T08:37:23Z,2023-07-07T08:37:22Z,CN=onelink.cornershopapp.com,onelink.cornershopapp.com,,onelink.cornershopapp.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fdf5bd1733a07c81fe1252bc3d844652,206a455e411670384bbfb12bc8952252f94795321d14c9bda3d726603025b94e,,ctls,onelink.cornershopapp.com,,443,https://onelink.cornershopapp.com:443,https,,text/plain,GET,52.209.121.193,/,786476039,34.246.127.31,,2,False,,,,,
party.cornershop.io,Mr. Party,200,8678,party.cornershop.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-29T23:59:59Z,CN=superpal.com,superpal.com,,*.internal.cornershop.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,660548619b14977942889536814b250f,437ee894a9dec5f360604c15511fe95befa175d45c7698e80d8012ba9f088298,True,ctls,party.cornershop.io,,443,https://party.cornershop.io:443,https,,text/html,GET,34.239.80.74,/,372838595,52.200.243.82,HSTS,327,False,,,True,,
pay-prod-sitef.br.satellite.cornershop.io,,405,96,pay-prod-sitef.br.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-16T04:25:30Z,2023-06-14T04:25:29Z,CN=pay-prod-sitef.br.satellite.cornershop.io,pay-prod-sitef.br.satellite.cornershop.io,,pay-prod-sitef.br.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cfb5545478295c77d5c509ac5f8efce8,5771333d068ce87b36f5f1f15b277f4bec72290245585091ca693fabe830a83a,,ctls,pay-prod-sitef.br.satellite.cornershop.io,,443,https://pay-prod-sitef.br.satellite.cornershop.io:443,https,,text/plain,GET,18.210.25.187,/,1396182155,3.211.194.231,HSTS,5,False,,,,,
pay-qa-sitef.br.satellite.cornershop.io,,405,96,pay-qa-sitef.br.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T04:16:11Z,2023-07-26T04:16:10Z,CN=pay-qa-sitef.br.satellite.cornershop.io,pay-qa-sitef.br.satellite.cornershop.io,,pay-qa-sitef.br.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,990ab632f9a90aab10e8f85fdc7b95c7,d8e8710c38db9281db7b75caa78e40bea18a2892069853f283db9d6e989f3c41,,ctls,pay-qa-sitef.br.satellite.cornershop.io,,443,https://pay-qa-sitef.br.satellite.cornershop.io:443,https,,text/plain,GET,18.210.25.187,/,1396182155,3.224.37.42,HSTS,5,False,,,,,
pay.cornershopapp.com,Cornershop,404,11061,pay.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,pay.cornershopapp.com,cloudflare,443,https://pay.cornershopapp.com:443,https,cloudflare,text/html,GET,104.17.236.82,/,1538425439,104.16.239.58,HSTS,561,False,True,,,,
privacy.cornershopapp.com,Cornershop,200,3999,privacy.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,privacy.cornershopapp.com,cloudflare,443,https://privacy.cornershopapp.com:443,https,cloudflare,text/html,GET,104.16.239.58,/,-225565125,104.17.236.82,React,1,False,True,,,,
privacy.superpal.com,Cornershop,200,3999,privacy.superpal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2023-05-31T23:59:59Z,"CN=superpal.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",superpal.com,"Cloudflare, Inc.",superpal.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f342b1d5c8cfa586bebda6ac4a4a429,90288fc468290732272488bcf3aaa4cf0053561a391383258a5544da1284fadf,True,ctls,privacy.superpal.com,cloudflare,443,https://privacy.superpal.com:443,https,cloudflare,text/html,GET,104.18.96.77,/,-225565125,104.16.242.93,React,1,False,True,,,,
pypi.cornershop.io,,401,12,pypi.cornershop.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-29T23:59:59Z,CN=superpal.com,superpal.com,,*.internal.cornershop.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,660548619b14977942889536814b250f,437ee894a9dec5f360604c15511fe95befa175d45c7698e80d8012ba9f088298,True,ctls,pypi.cornershop.io,cloudfront,443,https://pypi.cornershop.io:443,https,CloudFront,,GET,99.86.4.100,/,229361783,99.86.4.77,Basic,1,False,True,,True,,
s.cornershopapp.com,,403,243,s.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,s.cornershopapp.com,cloudflare,443,https://s.cornershopapp.com:443,https,cloudflare,application/xml,GET,104.17.236.82,/,-283095392,104.16.239.58,HSTS,2,False,True,,,,
s.superpal.com,,403,243,s.superpal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2023-05-31T23:59:59Z,"CN=superpal.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",superpal.com,"Cloudflare, Inc.",superpal.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f342b1d5c8cfa586bebda6ac4a4a429,90288fc468290732272488bcf3aaa4cf0053561a391383258a5544da1284fadf,True,ctls,s.superpal.com,cloudflare,443,https://s.superpal.com:443,https,cloudflare,application/xml,GET,104.18.96.77,/,2034896266,104.16.242.93,HSTS,2,False,True,,,,
shopperpayments-prod-acesso.br.satellite.cornershop.io,401 Authorization Required,401,172,shopperpayments-prod-acesso.br.satellite.cornershop.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:39:05Z,2023-08-10T07:39:04Z,CN=shopperpayments-prod-acesso.br.satellite.cornershop.io,shopperpayments-prod-acesso.br.satellite.cornershop.io,,shopperpayments-prod-acesso.br.satellite.cornershop.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9bd0481f1399dcf2661c59014bc1f041,5147c732cbd220c76eb4778e6a5399f4180ae2dfbb983dcedb044d8765087a0d,,ctls,shopperpayments-prod-acesso.br.satellite.cornershop.io,,80,http://shopperpayments-prod-acesso.br.satellite.cornershop.io:80,http,,text/html,GET,3.211.194.231,/,-1710455754,3.224.37.42,HSTS,8,False,,,,https://shopperpayments-prod-acesso.br.satellite.cornershop.io,
shopperpayments-qa-acesso.br.satellite.superpal.io,401 Authorization Required,401,574,shopperpayments-qa-acesso.br.satellite.superpal.io,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-12T07:37:49Z,2023-08-10T07:37:48Z,CN=shopperpayments-qa-acesso.br.satellite.superpal.io,shopperpayments-qa-acesso.br.satellite.superpal.io,,shopperpayments-qa-acesso.br.satellite.superpal.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f7d9b2472466e6c0812472c7dade8fac,606f2d8c901dbc3cef892f8c1ba3b0437e5974c899b37ae39842f09d07195ade,,ctls,shopperpayments-qa-acesso.br.satellite.superpal.io,,443,https://shopperpayments-qa-acesso.br.satellite.superpal.io:443,https,,text/html,GET,3.224.37.42,/,1335698669,18.210.25.187,HSTS,14,False,,,,,
shopping.cornershopapp.com,Grocery delivery | Cornershop,200,104893,shopping.cornershopapp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2023-07-02T23:59:59Z,"CN=cornershopapp.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",cornershopapp.com,"Cloudflare, Inc.",*.cornershopapp.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e79eb49d637e13b6e401b3f1ca454a32,bf4ad580dc7b2b62773f121ed37475da69508e3d6942dd69987615f0ee5333a1,True,ctls,shopping.cornershopapp.com,cloudflare,443,https://shopping.cornershopapp.com:443,https,cloudflare,text/html,GET,104.17.236.82,/,-225565125,104.16.239.58,HSTS,437,False,True,,,https://shopping.cornershopapp.com/en/,
sonarqube.cornershop.io,SonarQube,200,1850,sonarqube.cornershop.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-06T00:00:00Z,2024-06-03T23:59:59Z,CN=engineering.cornershop.io,engineering.cornershop.io,,*.superpal.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b4d8560f3e8ec87ae815e3333aa8c6f1,2c061ab650887fdaaa3916b2a4fbbf60c84b7e0e4ce737753448669bf92b41bc,True,ctls,sonarqube.cornershop.io,,443,https://sonarqube.cornershop.io:443,https,,text/html,GET,3.220.172.140,/,1485257654,52.3.102.5,SonarQubes,46,False,,,,,http:
superpal.com,Grocery delivery | Cornershop,200,103845,superpal.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2023-05-31T23:59:59Z,"CN=superpal.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",superpal.com,"Cloudflare, Inc.",superpal.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",8f342b1d5c8cfa586bebda6ac4a4a429,90288fc468290732272488bcf3aaa4cf0053561a391383258a5544da1284fadf,True,ctls,superpal.com,cloudflare,80,http://superpal.com:80,http,cloudflare,text/html,GET,104.16.242.93,/,-225565125,104.18.96.77,HSTS,423,False,True,,,https://superpal.com/en/,
