new,host,a,aaaa,cname,soa,caa,status_code,cdn,cdn-name,mx,ns,txt
[x],verse.me,35.241.43.191,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,"aspmx3.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx2.googlemail.com, aspmx.l.google.com","ns-cloud-b1.googledomains.com, ns-cloud-b4.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b3.googledomains.com","google-site-verification=A79_hfZq5BkMJSR6xoq7kh0xf5yTykNyKZGKRNzBf24, facebook-domain-verification=kyotx7mhj4088wj24e0yf054paofkn, google-site-verification=exp1qcy1Hcp7mNFAP2MzPBgODpESKEGOYtuKwA-Tfuo, v=spf1 include:_spf.google.com include:mail.zendesk.com include:servers.mcsv.net -all, google-site-verification=ZJc7XwHlakno4g5irUijn7c8LAxHGfA6q7vsrBwPhe0, google-site-verification=Mk2tR3RLTdX1yV59YJvXhWOfR_abmTWL5OU6MMdqUKc, google-site-verification=a6TmK66ZDOhRqr3ViI36jGA73OVJpBCnedDdL9xqC3Y, google-site-verification=oGt5rocTxfanZlqD8VGKIe8d3OrNsVKWSRatsaECRyI, facebook-domain-verification=c1057kyyv8z3zvzxy7jn2hsp2gnk0g"
[x],video.cash.app,"162.159.135.91, 162.159.136.91","2606:4700:7::a29f:885b, 2606:4700:7::a29f:875b","3193793-1.mediaspace.kaltura.com, nvp1.ms-cf.kaltura.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,True,cloudflare,,,
[x],web-cdn.cash.app,"151.101.66.254, 151.101.194.254, 151.101.2.254, 151.101.130.254",,,"ns-1248.awsdns-28.org, ops+dns.squareup.com",,NOERROR,True,fastly,,,
[x],web-cdn.cashstaging.app,"151.101.130.254, 151.101.194.254, 151.101.2.254, 151.101.66.254",,,"ns-1248.awsdns-28.org, ops+dns.squareup.com",,NOERROR,True,fastly,,,
[x],web.taxes.cash.app,107.178.254.57,,web.usc1.taxes.cash.app,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],web.taxes.cashstaging.app,35.241.36.124,,web.usc1.taxes.cashstaging.app,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],web.usc1.taxes.cash.app,107.178.254.57,,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],web.usc1.taxes.cashstaging.app,35.241.36.124,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],webhooks.api.joinverse.com,35.186.225.215,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],www.ambassadors.joinverse.com,35.241.43.191,,joinverse.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,"alt1.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt2.aspmx.l.google.com, aspmx.l.google.com","ns-cloud-c1.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c2.googledomains.com","v=spf1 include:mail.zendesk.com include:_spf.google.com ~all, facebook-domain-verification=zascw6tv8r91fzle6fh1qn591ew7dx"
[x],www.cash.app,"151.101.130.132, 151.101.194.132, 151.101.2.132, 151.101.66.132",,cash.app,"ns-1248.awsdns-28.org, ops+dns.squareup.com",,NOERROR,True,cloudflare,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-1248.awsdns-28.org, ns-1816.awsdns-35.co.uk, ns-311.awsdns-38.com, ns-810.awsdns-37.net","ca3-7bbd19db6811492893529ff4f8114b7e, ca3-b5d66a0264614da88ce224221e7ae3cf, ca3-db8a26730bde413aa3d797683265f5eb, google-site-verification=7qlUxJaNxeI7aJINVoFRvBFsIivOkNsl64K81_nLUxY, google-site-verification=In1-EBOhQKXl2FTgO-PPbnGM8FY6GU-Bkaxmpz-rebw, google-site-verification=OH0HcLtO7e6btuzWiOceYIkTtwqRWyyKM5sekVDEbvs, v=spf1 include:cash.app._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all"
[x],www.joinverse.com,35.241.43.191,,joinverse.com,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,"aspmx.l.google.com, aspmx3.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx2.googlemail.com","ns-cloud-c2.googledomains.com, ns-cloud-c3.googledomains.com, ns-cloud-c4.googledomains.com, ns-cloud-c1.googledomains.com","facebook-domain-verification=zascw6tv8r91fzle6fh1qn591ew7dx, v=spf1 include:mail.zendesk.com include:_spf.google.com ~all"
[x],www.verse.me,35.241.43.191,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],zendesk1.cash.app,"162.159.128.7, 162.159.138.6",,mail1.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudflare,mail.zendesk.com,,v=spf1 include:_netblocks.zdsys.com ~all
[x],zendesk2.cash.app,"162.159.138.6, 162.159.128.7, 3.213.143.227, 184.72.174.126, 34.235.62.90",,mail2.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudflare,mail.zendesk.com,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net",v=spf1 include:_netblocks.zdsys.com ~all
[x],zendesk3.cash.app,"162.159.128.7, 162.159.138.6, 184.72.174.126, 3.213.143.227, 34.235.62.90",,mail3.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudflare,mail.zendesk.com,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net",v=spf1 include:_netblocks.zdsys.com ~all
