input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,tech_,lines,cdn,webserver,tls_subject_org_
*.actions.githubusercontent.com,Fastly error: unknown domain actions.githubusercontent.com,,286,actions.githubusercontent.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,actions.githubusercontent.com,443,https://actions.githubusercontent.com:443,https,text/html,GET,185.199.111.133,Varnish,8,,Varnish,"GitHub, Inc."
ablinks.notifications.verse.me,404 Not Found,,564,ablinks.notifications.verse.me,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:26:51Z,CN=ablinks.notifications.verse.me,ablinks.notifications.verse.me,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ablinks.notifications.verse.me,443,https://ablinks.notifications.verse.me:443,https,text/html,GET,35.241.43.191,Nginx,14,True,nginx,
admin.taxes.cashstaging.app,Taxes Help,,111424,taxeshelp.cash.app,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T05:26:25Z,CN=taxeshelp.cash.app,taxeshelp.cash.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,taxeshelp.cash.app,443,https://admin.taxes.cashstaging.app:443,https,text/html,GET,34.98.102.201,HSTS,768,True,,
admin.usc1.taxes.cash.app,Taxes Help,,111424,taxeshelp.cash.app,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T05:26:25Z,CN=taxeshelp.cash.app,taxeshelp.cash.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,taxeshelp.cash.app,443,https://admin.usc1.taxes.cash.app:443,https,text/html,GET,35.244.166.83,HSTS,768,True,,
admin.usc1.taxes.cashstaging.app,Taxes Help,,111424,taxeshelp.cash.app,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T05:26:25Z,CN=taxeshelp.cash.app,taxeshelp.cash.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,taxeshelp.cash.app,443,https://admin.usc1.taxes.cashstaging.app:443,https,text/html,GET,34.98.102.201,HSTS,768,True,,
ai.cash.app,Home | Cash App AI Blog,,6254,ai.cash.app,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-12T13:48:56Z,CN=ai.cash.app,ai.cash.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ai.cash.app,443,https://ai.cash.app:443,https,text/html,GET,185.199.108.153,Varnish,190,,GitHub.com,
ambassadors.joinverse.com,,,74,ambassadors.joinverse.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:30:21Z,CN=www.joinverse.com,www.joinverse.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,ambassadors.joinverse.com,443,https://ambassadors.joinverse.com:443,https,text/plain,GET,35.241.43.191,HTTP/3,2,True,,
ambassadors.verse.me,Ambassadors - Verse,,61791,verse.me,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:29:51Z,CN=verse.me,verse.me,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,verse.me,443,https://ambassadors.verse.me:443,https,text/html,GET,35.241.43.191,Yoast SEO:20.1,482,True,nginx,
api.cashstaging.app,,,,api.cashstaging.app,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-30T20:59:13Z,CN=api.cashstaging.app,api.cashstaging.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api.cashstaging.app,443,https://api.cashstaging.app:443,https,,GET,151.101.2.133,Varnish,1,True,istio-envoy,
api.github.com,,,2262,api.github.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-16T00:00:00Z,"CN=*.github.com, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,ctls,api.github.com,443,https://api.github.com:443,https,application/json,GET,140.82.121.5,HSTS,1,,GitHub.com,"GitHub, Inc."
