input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,tech_,lines,content_type,cdn
blog.lululemon.com,Access Denied,,303,shop.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,shop.lululemon.com,443,https://blog.lululemon.com:443,https,AkamaiGHost,GET,95.100.64.221,SheerID,10,text/html,
cdn-contentful.lululemon.com,Content Delivery API | Contentful,,363029,www.contentful.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-03-14T17:30:12Z,CN=contentful.com,contentful.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,www.contentful.com,443,https://cdn-contentful.lululemon.com:443,https,Netlify,GET,104.102.48.216,React,808,text/html,
cdn.lululemon.co.uk,Service Unavailable,,268,cdn.lululemon.co.uk,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,cdn.lululemon.co.uk,443,https://cdn.lululemon.co.uk:443,https,AkamaiGHost,GET,95.100.64.221,,9,text/html,
cdn.lululemon.com,athletic apparel + technical clothing | lululemon,,615075,shop.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,shop.lululemon.com,443,https://cdn.lululemon.com:443,https,awselb/2.0,GET,104.102.48.216,webpack,159,text/html,
cdp.lululemon.com,404 Not Found,,179,cdp.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,"CN=*.lululemon.com, O=Lululemon Athletica Canada inc., L=Vancouver, ST=British Columbia, C=CA",*.lululemon.com,Lululemon Athletica Canada inc.,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,ctls,cdp.lululemon.com,443,https://cdp.lululemon.com:443,https,Microsoft-Azure-Application-Gateway/v2,GET,20.69.113.17,,8,text/html,
checkout-df.lululemon.com,,,11,checkout-df.lululemon.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-03T00:00:00Z,"CN=checkout-df.lululemon.com, O=Lululemon Athletica Canada inc., L=Vancouver, ST=British Columbia, C=CA",checkout-df.lululemon.com,Lululemon Athletica Canada inc.,"CN=GeoTrust TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS RSA CA G1,DigiCert Inc,ctls,checkout-df.lululemon.com,443,https://checkout-df.lululemon.com:443,https,Apache,GET,91.235.132.63,HSTS,1,text/html,
cl.info.lululemon.com,403 - Forbidden: Access is denied.,,1233,,,,,,,,,,,,,,80,http://cl.info.lululemon.com:80,http,,GET,66.231.91.47,HSTS,30,text/html,
click.e.lululemon.com,403 - Forbidden: Access is denied.,,1233,click.e.lululemon.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-02T00:00:00Z,"CN=click.e.lululemon.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",click.e.lululemon.com,"SALESFORCE.COM, INC.","CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,click.e.lululemon.com,443,https://click.e.lululemon.com:443,https,,GET,13.111.159.137,HSTS,30,text/html,
click.info.lululemon.com,403 - Forbidden: Access is denied.,,1233,,,,,,,,,,,,,,80,http://click.info.lululemon.com:80,http,,GET,66.231.91.47,HSTS,30,text/html,
cloudflare-sandbox.lululemon.com,,,16,cloudflare-sandbox.lululemon.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-12-31T00:00:00Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,cloudflare-sandbox.lululemon.com,443,https://cloudflare-sandbox.lululemon.com:443,https,cloudflare,GET,172.64.149.190,Cloudflare Bot Management,1,text/plain,True
