input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,final_url,tech_,cdn_name,cdn,csp_domains_
test.staff.bbc.com,BBC Staff Portal - Gateway,200,197657,AS16509,AMAZON-02,US,13.32.132.0/24,test.staff.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-03T10:51:12Z,2024-04-03T10:51:11Z,"CN=int.staff.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",int.staff.bbc.com,BRITISH BROADCASTING CORPORATION,sandbox.staff.bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,977aaf6be2100938eb75887812fce4fb,e4c499c472b1658060c8cfb4e6cf31d1c72ce97a184adf0df7cd3b5b5994fdcf,,ctls,test.staff.bbc.com,443,https://test.staff.bbc.com:443,https,staff.bbc.com,text/html,GET,13.32.121.68,/,-1596052821,2600:9000:236e:0:9:c1da:c880:93a1,506,False,,React,cloudfront,True,
tps.int.bbc.com,400 No required SSL certificate was sent,400,230,AS16509,AS16509,Unknown,34.240.0.0/12,tps.int.bbc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-03-31T11:42:02Z,2024-04-30T13:11:02Z,"CN=www.stage.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.stage.bbc.co.uk,BRITISH BROADCASTING CORPORATION,stage.bbc.co.uk,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,3ff18f5b6c013e0b229a059ef904ffd8,0a44c89961e8497ed01ab57c42744471846cfd67acc3bde92e6706b1c8aeb72b,,ctls,tps.int.bbc.com,443,https://tps.int.bbc.com:443,https,BBC-GTM,text/html,GET,34.242.166.9,/,272330885,18.202.46.221,9,False,,,,,
tps.test.bbc.com,BBC - 404: Not Found,404,32408,AS16509,AS16509,Unknown,34.240.0.0/12,tps.test.bbc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-03-31T11:42:02Z,2024-04-30T13:11:02Z,"CN=www.stage.bbc.co.uk, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.stage.bbc.co.uk,BRITISH BROADCASTING CORPORATION,stage.bbc.co.uk,"CN=GlobalSign ECC OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign ECC OV SSL CA 2018,GlobalSign nv-sa,3ff18f5b6c013e0b229a059ef904ffd8,0a44c89961e8497ed01ab57c42744471846cfd67acc3bde92e6706b1c8aeb72b,,ctls,tps.test.bbc.com,443,https://tps.test.bbc.com:443,https,BBC-GTM,text/html,GET,34.247.133.95,/,1885580238,34.250.184.253,542,False,,,,,
tv.stage.bbc.com,BBC iPlayer - BBC One Guide - Wed May 10 2023,200,277806,AS20940,AKAMAI-ASN1,NL,23.8.0.0/13,www.bbc.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-14T06:16:13Z,2024-04-14T06:16:12Z,"CN=www.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",www.bbc.com,BRITISH BROADCASTING CORPORATION,bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,a1d8827aecffc7874b925149b79dd4b1,3dd613b282b35ae46d082ad8c054238b4b1562078a54cf2d968613541dcd7afc,True,ctls,www.bbc.co.uk,443,https://tv.stage.bbc.com:443,https,BBC-GTM,text/html,GET,23.2.13.17,/,-25498799,23.2.13.98,342,False,https://www.bbc.co.uk/iplayer/guide,Varnish,,,
uat.shop.bbc.com,"BBC Shop
– BBC Shop US",200,513032,AS20940,AKAMAI-ASN1,NL,2.20.0.0/14,shop.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-16T22:31:23Z,2023-06-14T22:31:22Z,CN=shop.bbc.com,shop.bbc.com,,shop.bbc.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dd458cdddcef55b01b08b8ebb16f6006,a72d5a9c5dcb6a2b348617d7ea00e757158bf2a001cffa71325a8b187f202601,,ctls,shop.bbc.com,443,https://uat.shop.bbc.com:443,https,cloudflare,text/html,GET,2.16.241.9,/,-2043706287,2.16.241.18,16701,False,https://shop.bbc.com/,Shopify,,,
ui.developer-portal.int.api.bbc.com,BBC Developer Portal,200,4580,AS16509,AS16509,Unknown,54.154.0.0/15,ui.developer-portal.int.api.bbc.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-09-21T09:51:01Z,2023-10-23T09:51:00Z,"CN=ui.developer-portal.stage.api.bbc.com, O=BRITISH BROADCASTING CORPORATION, L=London, ST=London, C=GB",ui.developer-portal.stage.api.bbc.com,BRITISH BROADCASTING CORPORATION,ui.developer-portal.test.api.bbc.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,07fc6b3b5cd11c73ff8667b08d66d8ad,d4a363d88f30993bcb279ee65c337f07478f1a200de390647aa6514f7363641c,,ctls,ui.developer-portal.int.api.bbc.com,443,https://ui.developer-portal.int.api.bbc.com:443,https,,text/html,GET,54.154.62.103,/,-1583663485,54.216.75.88,39,False,https://ui.developer-portal.int.api.bbc.com/login-required,React,,,https://s3-eu-west-1.amazonaws.com
us.shop.bbc.com,"BBC Shop
– BBC Shop US",200,513032,AS13335,CLOUDFLARENET,US,23.227.38.0/23,shop.bbc.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-16T22:31:23Z,2023-06-14T22:31:22Z,CN=shop.bbc.com,shop.bbc.com,,shop.bbc.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dd458cdddcef55b01b08b8ebb16f6006,a72d5a9c5dcb6a2b348617d7ea00e757158bf2a001cffa71325a8b187f202601,,ctls,shop.bbc.com,80,http://us.shop.bbc.com:80,http,cloudflare,text/html,GET,23.227.38.74,/,-1840324437,23.227.38.74,16701,False,https://shop.bbc.com/,Shopify,,,
view.bbcgoodfood.bbc.com,Error,200,932,AS22606,EXACT-7,US,68.232.192.0/20,,,,,,,,,,,,,,,,,,,,,80,http://view.bbcgoodfood.bbc.com:80,http,,text/html,GET,68.232.203.71,/,1631801191,68.232.203.71,28,False,http://view.bbcgoodfood.bbc.com/Error.aspx,HSTS,,,
view.bluey.bbc.com,Error,200,932,AS22606,EXACT-7,US,68.232.192.0/20,view.bluey.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-02-14T00:00:00Z,2024-02-13T23:59:59Z,"CN=view.s6.exacttarget.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",view.s6.exacttarget.com,"SALESFORCE.COM, INC.",view.s6.sfmc-content.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,83e817960bb0f9c33714ca10c0baa9d4,e510d179a42908af34fd5b2b466a9003ae6899e34145693feb196e918f5a8b3d,,ctls,view.bluey.bbc.com,443,https://view.bluey.bbc.com:443,https,,text/html,GET,68.232.203.71,/,1631801191,68.232.203.71,28,False,https://view.bluey.bbc.com/Error.aspx,HSTS,,,
view.email.bbc.com,Error,200,932,AS14340,SALESFORCE,US,128.17.0.0/16,view.email.bbc.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-06T00:00:00Z,2023-11-06T23:59:59Z,"CN=view.email.bbc.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",view.email.bbc.com,"SALESFORCE.COM, INC.",view.email.bbc.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b59fa304f291bd1af7e7f3027fb420c2,bab4ce5c2714d538c0d4d23d3c626b995a455270edb20a7a8563ece4839d1d0d,,ctls,view.email.bbc.com,443,https://view.email.bbc.com:443,https,,text/html,GET,128.17.112.8,/,1631801191,128.17.112.8,28,False,https://view.email.bbc.com/Error.aspx,HSTS,,,
