new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],segmentation.int.api.bbc.com,"54.77.249.148, 34.250.250.179","segmentation.int.fdca55c56af24a70.xhst.bbci.co.uk, int-seg-server-alb-1858847142.eu-west-1.elb.amazonaws.com",,NOERROR,,,,,,,,,
[x],segmentation.stage.api.bbc.com,"63.32.223.208, 54.77.9.220","segmentation.stage.fdca55c56af24a70.xhst.bbci.co.uk, stage-seg-server-alb-958952660.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],segmentation.test.api.bbc.com,"108.128.222.23, 52.214.64.92","segmentation.test.fdca55c56af24a70.xhst.bbci.co.uk, test-seg-server-alb-1373229796.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],session.bbc.com,"212.58.244.93, 212.58.249.135",session.bbc.com.pri.bbc.com,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],session.id.api.bbc.com,"3.251.100.14, 54.72.25.27, 54.75.159.105, 54.72.217.206, 54.76.216.48, 34.240.171.104",session.id.c121be2a55e13acd.xhst.bbci.co.uk,"ns-195.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],session.id.int.api.bbc.com,"54.171.100.66, 52.48.135.74",session.id.int.b77ff526efa260da.xhst.bbci.co.uk,"ns-1564.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],session.id.stage.api.bbc.com,"34.241.54.93, 52.30.154.119, 52.17.31.157, 52.30.160.115",session.id.stage.b77ff526efa260da.xhst.bbci.co.uk,"ns-1564.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],session.int.bbc.com,212.58.228.41,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
[x],session.stage.bbc.com,"212.58.244.175, 212.58.249.67",session.stage.bbc.com.pri.bbc.com,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],shop.bbc.com,23.227.38.74,"bbc-shop-us.myshopify.com, shops.myshopify.com","ns1.dnsimple.com, admin.dnsimple.com",NOERROR,,,,,,,,,"digicert.com, globalsign.com, letsencrypt.org"
[x],sip.bbc.com,52.112.196.46,sipdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,2603:1027:0:48::20,,,,,,
[x],sip.dev.bbc.com,132.185.162.233,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
[x],sla.api.bbc.com,"52.17.208.206, 54.77.242.157","sla.adb91cb9dbb80cbf.xhst.bbci.co.uk, live-sla-componen-4uvfnn5u121h-156556597.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],sla.test.api.bbc.com,"52.50.77.169, 52.215.114.188","sla.test.e97bd6ffa923d28f.xhst.bbci.co.uk, test-sla-componen-oege9q726ean-1176375597.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
