new,host,a,soa,status_code,cname,ns,cdn,cdn-name,txt,aaaa,caa
[x],alt.deribit.com,193.72.79.190,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,www.deribit.com,,,,,,
[x],analyze.deribit.com,,"ns-2005.awsdns-58.co.uk, awsdns-hostmaster.amazon.com",NOERROR,_5e00ce681320bb8a8d1105d79bdd1752.ltfvzjuylp.acm-validations.aws,,,,041e5d7e9d5f4d3b8d14896b2eb55872,,
[x],api.pb.deribit.com,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],apt.deribit.com,193.72.79.190,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,www.deribit.com,,,,,,
[x],asia.deribit.com,46.235.39.12,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],assets-asia.deribit.com,"104.18.4.240, 104.18.5.240","malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,"2606:4700::6812:4f0, 2606:4700::6812:5f0",
[x],assets-test.deribit.com,"104.18.4.240, 104.18.5.240","malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,"2606:4700::6812:4f0, 2606:4700::6812:5f0",
[x],assets.deribit.com,"104.18.5.240, 104.18.4.240","malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,"2606:4700::6812:5f0, 2606:4700::6812:4f0",
[x],attr3.deribit.com,,,NOERROR,,,,,,,
[x],beta.status.deribit.com,18.246.31.133,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,gsjyzwnpcv2r.stspg-customer.com,,,,,,"letsencrypt.org, globalsign.com;"
[x],blog.deribit.com,3.8.61.26,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],chat.deribit.com,18.170.89.253,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],chattest.deribit.com,18.134.250.244,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],docs.deribit.com,3.8.61.26,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],gateway.deribit.com,193.72.79.190,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],git.deribit.com,194.28.45.190,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,history.deribit.com,,,,,,
[x],history.deribit.com,194.28.45.190,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
