new,host,a,soa,status_code,aaaa,ns,cname,cdn,cdn-name,mx,txt,caa
[x],acc1.nominet.org.uk,213.248.198.254,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],access.nominet.uk,,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],agm.nominet.org.uk,213.248.210.39,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],api.nominet.org.uk,213.248.236.13,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8003:0:cdac:8f51:6bb6:1ff3,,,,,,,
[x],api.nominet.uk,213.248.243.100,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:618:8009:0:100::1,,,,,,,
[x],app.nominet.org.uk,213.248.199.25,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],apply.jobs.nominet.org.uk,130.214.193.81,"ns4.sap-ag.de, dns.sap-ag.de",NOERROR,,,"jobs.nominet.uk, nominet.jobs2web.com, rmk12.jobs2web.com",,,,,
[x],apt-blade1.nominet.org.uk,213.248.211.11,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],apt-blade11.nominet.org.uk,213.248.211.21,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],apt-blade13.nominet.org.uk,213.248.211.23,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],apt-blade14.nominet.org.uk,213.248.211.24,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],apt-blade2.nominet.org.uk,213.248.211.12,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],apt-blade3.nominet.org.uk,213.248.211.13,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],apt-blade4.nominet.org.uk,213.248.211.14,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],apt-blade7.nominet.org.uk,213.248.211.17,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],apt-blade8.nominet.org.uk,,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],apt-blade9.nominet.org.uk,213.248.211.19,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,,,,,,,,
[x],assets-members.nominet.uk,"104.16.145.38, 104.16.146.38","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6810:9126, 2606:4700::6810:9226",,assets-members.nominet.uk.cdn.cloudflare.net,True,cloudflare,,,
[x],auth2.nominet.org.uk,195.66.240.250,"dns1.nominetdns.uk, hostmaster.nominet.org.uk",NOERROR,2a01:40:1001:37::2,,,,,,,
