new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa
[x],account.ycombinator.com,"104.22.7.236, 172.67.5.232, 104.22.6.236",,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,account.ycombinator.com.cdn.cloudflare.net,,,,
[x],apply.ycombinator.com,"104.22.7.236, 104.22.6.236, 172.67.5.232",,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,apply.ycombinator.com.cdn.cloudflare.net,,,,
[x],blog.workatastartup.com,"188.114.97.0, 188.114.96.0","2a06:98c1:3121::, 2a06:98c1:3120::","merlin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],blog.ycombinator.com,"172.67.5.232, 104.22.6.236, 104.22.7.236",,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,blog.ycombinator.com.cdn.cloudflare.net,,,,
[x],blogtest.ycombinator.com,"104.22.7.236, 172.67.5.232, 104.22.6.236",,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,blogtest.ycombinator.com.cdn.cloudflare.net,,,,
[x],bookface.ycombinator.com,"104.22.7.236, 104.22.6.236, 172.67.5.232",,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,bookface.ycombinator.com.cdn.cloudflare.net,,,,
[x],calendar.ycombinator.com,142.250.185.147,2a00:1450:4001:828::2013,"ns1.google.com, dns-admin.google.com",NOERROR,,,ghs.googlehosted.com,,,,
[x],carbon.ycombinator.com,"52.218.228.226, 52.218.235.34, 52.218.237.130, 52.218.244.59, 52.218.245.3, 52.218.249.83, 52.218.182.98, 52.218.197.74",,"ns-225.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],cdn.ycombinator.com,"13.227.219.126, 13.227.219.4, 13.227.219.125, 13.227.219.12",,"ns-225.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,
[x],conference.startupschool.org,54.144.128.85,,,NOERROR,,,,,,,
[x],deals.ycombinator.com,"104.22.6.236, 172.67.5.232, 104.22.7.236",,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,deals.ycombinator.com.cdn.cloudflare.net,,,,
[x],demoday.ycombinator.com,"104.22.6.236, 172.67.5.232, 104.22.7.236",,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,demoday.ycombinator.com.cdn.cloudflare.net,,,,
[x],docs.ycombinator.com,172.217.17.147,2a00:1450:4001:810::2013,"ns1.google.com, dns-admin.google.com",NOERROR,,,ghs.googlehosted.com,,,,
[x],email.email.startupschool.org,34.110.180.34,,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,mailgun.org,"mxa.mailgun.org, mxb.mailgun.org","ns-586.awsdns-09.net, ns-133.awsdns-16.com, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk","v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA","digicert.com, letsencrypt.org, ;"
[x],email.email.workatastartup.com,34.102.239.211,,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,mailgun.org,"mxb.mailgun.org, mxa.mailgun.org","ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net, ns-133.awsdns-16.com","v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA","letsencrypt.org, ;, digicert.com"
[x],fellowship.ycombinator.com,"18.66.122.36, 18.66.122.52, 18.66.122.113, 18.66.122.92",,"ns-225.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,
[x],ffc2020.ycombinator.com,54.84.134.174,,"ns-225.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],investor.startupschool.org,"172.67.29.212, 104.22.37.157, 104.22.36.157","2606:4700:10::6816:249d, 2606:4700:10::ac43:1dd4, 2606:4700:10::6816:259d","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,"www.startupschool.org, www.startupschool.org.cdn.cloudflare.net",,,,
[x],mail.ycombinator.com,142.250.184.243,2a00:1450:4001:831::2013,"ns1.google.com, dns-admin.google.com",NOERROR,,,ghs.googlehosted.com,,,,
[x],mthurman.startupschool.org,"104.22.36.157, 104.22.37.157, 172.67.29.212","2606:4700:10::6816:249d, 2606:4700:10::6816:259d, 2606:4700:10::ac43:1dd4","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,mthurman.startupschool.org.cdn.cloudflare.net,,,,
[x],news.ycombinator.com,209.216.230.240,,"ns-225.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],old.ycombinator.com,"172.67.5.232, 104.22.7.236, 104.22.6.236",,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,old.ycombinator.com.cdn.cloudflare.net,,,,
[x],realtime.ycombinator.com,"52.25.2.88, 54.212.183.98, 52.24.55.205, 54.244.239.190, 54.68.252.98, 52.13.184.68, 35.85.83.4, 50.112.164.31",,"ns-225.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],segment-api.workatastartup.com,"13.225.34.108, 13.225.34.83, 13.225.34.72, 13.225.34.22","2600:9000:219c:ba00:1b:69a9:efc0:93a1, 2600:9000:219c:4400:1b:69a9:efc0:93a1, 2600:9000:219c:d400:1b:69a9:efc0:93a1, 2600:9000:219c:7c00:1b:69a9:efc0:93a1, 2600:9000:219c:e600:1b:69a9:efc0:93a1, 2600:9000:219c:be00:1b:69a9:efc0:93a1, 2600:9000:219c:5400:1b:69a9:efc0:93a1, 2600:9000:219c:5e00:1b:69a9:efc0:93a1","ns-988.awsdns-59.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,d1gi1exrmhdy9r.cloudfront.net,,,,
