new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,caa,ns,txt
[x],api.transfer.celo.org,34.102.242.80,,"benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
[x],api.transferanalytics.celo.org,34.149.210.171,,"benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,
[x],blog.celo.org,"162.159.152.4, 162.159.153.4",,"benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],bwc.celo.org,"104.18.42.168, 172.64.145.88","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],celo.org,"104.18.42.168, 172.64.145.88","2606:4700:4400::ac40:9158, 2606:4700:4400::6812:2aa8","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,"alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com",,"benedict.ns.cloudflare.com, pat.ns.cloudflare.com","ca3-1d1eeb6e1b6642a3b66fc4879cedbba4, google-site-verification=IYZZbwDItkRRATq-7O6qq1nvbENgf63baIRi2FX8amw, atlassian-domain-verification=g5brljbDAqHE21KKb64OQSiD1ewXI63kBteauz/hGGd4CjMkc2rbjSyhNqN6t8aY, notion_verify_m7grqn4XD6ikgXjtTQqDBZuBRzqtZHCVYdZdkJkRkF4orApZwZEBExvrTduWx2VCu3yRtr, google-site-verification=XtwGgEFWBsqD2_OrfMwKwTP0kxki02gQO7Joh2iwOWM, google-site-verification=2skQTvMACPhGlNarm7AxwGUXq5Cy1i3WoI4mcePYz1c, v=spf1 include:_spf.google.com include:mail.zendesk.com -all, ca3-7d28690279e144089cd066295d9b14ad"
[x],chat.celo.org,"104.18.42.168, 172.64.145.88","2606:4700:4400::ac40:9158, 2606:4700:4400::6812:2aa8","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],dev.celo.org,"104.18.42.168, 172.64.145.88","2606:4700:4400::6812:2aa8, 2606:4700:4400::ac40:9158","benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],developers.celo.org,"162.159.153.4, 162.159.152.4",,"benedict.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],docs.celo.org,"35.156.224.161, 34.159.25.198","2a05:d014:275:cb00::c8, 2a05:d014:275:cb02::c8","dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,celo-docs.netlify.app,,,,
[x],events.celo.org,"199.60.103.225, 199.60.103.31","2606:2c40::c73c:671f, 2606:2c40::c73c:67e1","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"8568019.group19.sites.hubspot.net, group19.sites.hscoscdn10.net",,,,
