new,host,a,cname,soa,status_code,ns,txt,cdn,cdn-name
[x],dashboard-test.deliveroo-data.net,"52.213.54.82, 34.240.240.124, 34.251.92.2",,"ns-87.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=my-identifier",,
[x],dashboard.deliveroo-data-test.io,,,"ns-2029.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,
[x],deliveroo-data-test.io,,,"ns-2029.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-18.awsdns-02.com, ns-2029.awsdns-61.co.uk, ns-1484.awsdns-57.org, ns-604.awsdns-11.net",,,
[x],deliveroo-data.io,,,"ns-1936.awsdns-50.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-463.awsdns-57.com, ns-678.awsdns-20.net, ns-1936.awsdns-50.co.uk, ns-1380.awsdns-44.org",,,
[x],sql-monkey.deliveroo-data.net,,,"ns-87.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,"heritage=external-dns,external-dns/owner=my-identifier",,
[x],traffic.deliveroo-data-test.io,"52.212.156.38, 52.212.92.43, 108.128.5.190",a2305c65d235011eb91c10a86a531986-1338901893.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,
[x],weather.deliveroo-data.io,"13.227.219.2, 13.227.219.91, 13.227.219.101, 13.227.219.76",,"ns-1936.awsdns-50.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront
[x],www.deliveroo-streams.net,54.144.128.85,,,NOERROR,,,,
