new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,cdn,cdn-name,ns,mx,txt
,number26.tz2-mambu-preproduction-eu.tech26.de,"18.197.89.182, 35.158.1.205","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,number26.tz2-mambu-sandbox-eu.tech26.de,"35.158.1.205, 18.197.89.182","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,number26.tz2-mambu.tech26.de,"52.58.76.14, 18.159.171.165","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,onetrust.n26.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,u23294520.wl021.sendgrid.net,,,,,,mx.sendgrid.net,v=spf1 ip4:159.183.214.154 ip4:167.89.76.99 ip4:168.245.100.230 ip4:168.245.74.77 -all
,pages.email.n26.com,136.147.129.25,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,pages.virt.s7.exacttarget.com,,,,,,,
,pages.us-email.n26.com,136.147.129.25,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,pages.virt.s7.exacttarget.com,,,,,,,
,radar.tech26.de,"52.58.76.14, 18.159.171.165","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1378.awsdns-44.org, ns-1748.awsdns-26.co.uk, ns-65.awsdns-08.com, ns-907.awsdns-49.net",,
,research.tech26.de,"52.58.76.14, 18.159.171.165","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,sapi.tech26.de,"35.158.222.83, 3.74.58.40, 18.192.188.220","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,sebics.tech26.de,"54.93.149.37, 3.123.158.38, 35.158.26.54","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,spc.n26.com,"3.124.89.60, 52.28.1.238, 3.77.220.145","ns-1688.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,stps.tech26.de,"10.20.20.158, 10.20.21.141","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,internal-tps-oldstaging-959120069.eu-central-1.elb.amazonaws.com,True,"10.20.20.158, 10.20.21.141",,,"ns-1326.awsdns-37.org, ns-1689.awsdns-19.co.uk, ns-417.awsdns-52.com, ns-613.awsdns-12.net",,
,tps.tech26.de,"10.0.2.52, 10.0.1.199","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,internal-tps-oldlive-1512502074.eu-central-1.elb.amazonaws.com,True,"10.0.2.52, 10.0.1.199",,,,,
,translator.tech26.de,"10.100.30.115, 10.100.18.146, 10.100.9.56","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"babel.tech26.de, internal-babel-live-768784090.eu-central-1.elb.amazonaws.com",True,"10.100.30.115, 10.100.18.146, 10.100.9.56",,,,,
,tutorials.n26.com,"13.224.189.23, 13.224.189.89, 13.224.189.41, 13.224.189.5","ns-1688.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
,tz2-mambu.tech26.de,"18.159.171.165, 52.58.76.14","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,us-email.n26.com,136.147.129.27,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,"ns4.exacttarget.com, ns3.exacttarget.com, ns1.exacttarget.com, ns2.exacttarget.com",inbound-reply.s7.exacttarget.com,"spf2.0/pra include:cust-senderid.exacttarget.com -all, v=spf1 include:cust-spf.exacttarget.com -all"
,vault.tech26.de,"10.100.13.215, 10.100.23.200","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,internal-vault-live-fra-809250587.eu-central-1.elb.amazonaws.com,True,"10.100.13.215, 10.100.23.200",,,,,
,view.email.n26.com,13.111.46.46,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,
,view.us-email.n26.com,136.147.129.32,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,view.virt.s7.exacttarget.com,,,,,,,
,vsaq-staging-fra.tech26.de,,,NOERROR,,,,,,,,
,warsaw.tech26.de,10.100.29.32,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,internal-warsaw-live-1312415422.eu-central-1.elb.amazonaws.com,True,10.100.29.32,,,,,
,xs2a.tech26.de,18.158.19.43,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,obnium-edge-live-fra-dbfc45c0caca8c30.elb.eu-central-1.amazonaws.com,,,,,,,
