new,host,a,soa,status_code,ns,cname,mx,txt,caa,has_internal_ips,internal_ips,cdn,cdn-name,aaaa
[x],api.birdee.bunq.com,"18.196.219.137, 35.158.252.113, 18.184.176.98","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.birdee.triage.bunq.com,"52.59.78.150, 18.159.65.79, 52.57.178.38","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.braze.bunq.com,"3.65.216.92, 3.125.144.73, 3.77.213.149","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.braze.triage.bunq.com,"18.159.65.79, 52.57.178.38, 52.59.78.150","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.bunq.com,"52.58.58.159, 35.158.38.83, 18.157.136.125","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.currencycloud.bunq.com,"3.122.203.73, 3.69.100.211, 52.29.214.235","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.currencycloud.triage.bunq.com,"18.159.65.79, 52.59.78.150, 52.57.178.38","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.developer.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.id.mastercard.bunq.com,"52.28.251.205, 3.69.243.246, 18.184.145.11","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.id.mastercard.triage.bunq.com,"3.64.223.23, 3.127.97.25, 35.157.95.181","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.ideal.bunq.com,"3.69.243.246, 18.184.145.11, 52.28.251.205","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.ideal.triage.bunq.com,"3.77.185.41, 18.198.102.84, 3.77.81.46","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.idin.bunq.com,"52.28.251.205, 18.184.145.11, 3.69.243.246","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.idin.triage.bunq.com,"3.64.241.129, 18.193.232.199, 3.64.31.191","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.issuer.ideal.triage.bunq.com,"52.57.178.38, 18.159.65.79, 52.59.78.150","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.oauth.bunq.com,"3.69.243.246, 18.184.145.11, 52.28.251.205","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.oauth.triage.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.openbanking.bunq.com,"52.28.251.205, 18.184.145.11, 3.69.243.246","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.openbanking.triage.bunq.com,"18.159.65.79, 52.57.178.38, 52.59.78.150","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.ppro.bunq.com,"3.124.51.139, 3.126.177.21, 3.123.215.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.qr.triage.bunq.com,"18.159.65.79, 52.59.78.150, 52.57.178.38","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.secure-code.bunq.com,"3.69.243.246, 18.184.145.11, 52.28.251.205","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],api.tinker.bunq.com,"18.184.145.11, 52.28.251.205, 3.69.243.246","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.together-login.bunq.com,"52.28.251.205, 18.184.145.11, 3.69.243.246","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.together.bunq.com,"3.69.66.132, 3.123.247.84, 3.124.152.100","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.touchtech.bunq.com,"18.158.193.69, 18.197.214.107, 3.67.27.4","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.translink.bunq.com,"3.73.131.214, 18.198.134.76, 35.157.72.134","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.vonage.bunq.com,"3.69.243.246, 52.28.251.205, 18.184.145.11","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.vonage.triage.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.web.triage.bunq.com,"3.64.241.129, 18.193.232.199, 3.64.31.191","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.widget.bunq.com,"3.69.243.246, 18.184.145.11, 52.28.251.205","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],apiapistatus-altimgshare.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],appstore.bunq.com,"3.65.192.120, 3.127.24.26, 3.120.195.21","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],aramis.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],assignment.bunq.com,3.127.90.91,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],athapp2.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],auth-paymentsstorage.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],auth515g15.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],authacc-db2-corp.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],authusersmy.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
