new,host,a,soa,status_code,ns,cname,mx,txt,caa,has_internal_ips,internal_ips,cdn,cdn-name,aaaa
[x],devscp-shop.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ditrex-echo.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dnsextranet.apps.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],doc.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dydaktyka.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],e0.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],easymortgage.bunq.com,185.177.101.30,"ns1.argewebhosting.eu, hostmaster.argeweb.nl",NOERROR,,bunq.mijnhypotheekonline.nl,,,,,,,,
[x],edge-mqtt-p4-shv-01-gru2.developer.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],edina.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],eds-ffdc-pw16.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ege-0-1-3.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],email.prco.bunq.com,34.111.99.212,"ns-508.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-508.awsdns-63.com, ns-619.awsdns-13.net, ns-1452.awsdns-53.org, ns-2026.awsdns-61.co.uk",eu.mailgun.org,"mxb.eu.mailgun.org, mxa.eu.mailgun.org",v=spf1 include:_spf.eu.mailgun.org ~all,";, digicert.com, letsencrypt.org",,,True,google,
[x],en.bunq.com,"151.139.128.10, 151.139.128.11","ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,websites.weglot.com,,,"comodoca.com, sectigo.com, amazon.com, letsencrypt.org",,,,,
[x],engineering-vpnoceaniaapps.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],engpostgresmx.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],enlumine.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],error-mobile.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],errorsqldoc-corporate.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],es.bunq.com,"151.139.128.11, 151.139.128.10","ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,websites.weglot.com,,,"amazon.com, comodoca.com, letsencrypt.org, sectigo.com",,,,,
[x],et-7-2-1.apps.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],europeapiproduction.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ezleagues.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],fallback2.bunq.com,188.226.181.211,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],fblr1-3.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],fet-5-3-2.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],fh7txn.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],fsh-ntpl25-88.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],fuchsiapi.sandbox2.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],fvtz4-1.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gbiportal.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gcpdev-statussales-csdockerintra-backups-www-test.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gcpuat.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gear-club.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],geneva-cdn.apps.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],genius-download.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gew1-accesspoint-a-llwb.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gh-160-136-13-39.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gitlab.bunq.com,"18.185.173.174, 18.193.179.67, 18.195.63.113","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],go.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],goals.bunq.com,"34.251.201.224, 54.194.170.100, 34.253.101.190","ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,,"proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com",,,,,,,,
[x],grocery.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],group48.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gsp48-sg34.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],gsp63-sl61.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],gsp85-st14-ssl.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],gtfinalv.apps.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-197-229-54.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-197-230-74.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-197-240-35.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-104-38.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-13-6.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-133-27.apps.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-171-37.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-176-21.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-183-31.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-183-48.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-218-24.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-218-47.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-220-45.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-223-23.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-230-95.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-249-84.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-33-1.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-36-46.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-36-6.apps.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-51-29.apps.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-56-97.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],h-135-207-61-22.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],hackathon.ip.bunq.com,37.139.141.8,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],hackathon.triage.bunq.com,"3.77.81.46, 18.198.102.84, 3.77.185.41","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],hasika.developer.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],helen.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],hello.bunq.com,,"ns-384.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-384.awsdns-48.com, ns-894.awsdns-47.net, ns-1107.awsdns-10.org, ns-1800.awsdns-33.co.uk",eu.sparkpostmail.com,,,,,,,,
[x],host-134-152-87-4.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],host-141-116-122-51.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],host-141-116-149-52.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],host-141-116-169-78.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],host-141-116-221-28.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],host-214-18-179-24.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],iad2s3-cmws.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ideal.bunq.com,"3.125.112.45, 18.185.205.39, 3.120.54.191","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ideal.sandbox.bunq.com,"54.93.154.10, 18.185.253.164, 52.28.235.10","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],identity-st-carry.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],idin.triage.bunq.com,"18.197.56.23, 3.125.35.151, 3.71.132.124","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],idtrx.bunq.com,"52.28.251.205, 18.184.145.11, 3.69.243.246","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],inetsd01-dhe.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],internal-cms-aws-slaveconfig.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],intlpriv.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ip-146-87.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ipcsdockerintra.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ipv4-c001-mnl001-pldt-isp.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ipv4-c092-mia006-ix.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ipv6-c016-bru001-ix.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ipv6-c287-lax001-ix.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ipv6-c496-ord001-ix.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],issuer-web.triage.bunq.com,"3.77.185.41, 3.77.81.46, 18.198.102.84","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],issuer.idin.bunq.com,"3.69.243.246, 18.184.145.11, 52.28.251.205","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],it.bunq.com,"151.139.128.10, 151.139.128.11","ns-1007.awsdns-61.net, awsdns-hostmaster.amazon.com",NOERROR,,websites.weglot.com,,,"letsencrypt.org, sectigo.com, amazon.com, comodoca.com",,,,,
[x],itc3.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],japaeelsplus.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],jenkins-engineering-hostsso-miembros.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],jenkinsnetwork.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],jenkinsupdatevip-linkoceania-exchangedns.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],jobs.bunq.com,35.242.209.60,"ns-803.awsdns-36.net, awsdns-hostmaster.amazon.com",NOERROR,,secure.recruitee.com,,,letsencrypt.org,,,True,google,
[x],jubes.bunq.com,"3.124.31.211, 3.124.79.104, 3.124.99.226","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],kairos-10-ssl.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],kiki-qa.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],laniidae.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],lef11-2-pdd.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],lef12-1-pda.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],lef3-2-vzb.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],lef7-2-vzb.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],linear-ak-p-enc.apps.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],live.ebics.bunq.com,"52.29.141.164, 3.120.7.187, 3.127.95.225","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],lnk1.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],login.bunq.com,"15.197.195.200, 3.33.238.178","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,"bunq.customdomains.okta.com, ok9-custom-crtrs.okta.com, ok9-custom-crtrs.oktaedge.okta.com, ac4b547508e00da8e.awsglobalaccelerator.com",,,,,,,,
[x],lsn5.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],lucesparaelcamino.apps.bunq.com,"3.71.253.33, 18.193.49.97, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mach131-87-160-52.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],magical-parade-beach.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],maluma.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],manabo.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],masterexamplesbackup-meet-git.apps.bunq.com,"3.66.187.137, 18.193.49.97, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mcid.triage.bunq.com,"52.57.178.38, 52.59.78.150, 18.159.65.79","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mctds-dev.bunq.com,"18.159.65.79, 52.57.178.38, 52.59.78.150","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mctds.bunq.com,"18.184.145.11, 3.69.243.246, 52.28.251.205","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mcw-dev.bunq.com,"52.59.78.150, 52.57.178.38, 18.159.65.79","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mcw.bunq.com,,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],meshb.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mfa.workspaces.bunq.com,"3.69.90.62, 35.157.130.182, 18.195.93.26","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mortgages.bunq.com,212.57.57.241,"ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],msang.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mss-syd05-ngw-01-r3-966-1.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],my.apps.bunq.com,"3.71.253.33, 3.66.187.137, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],myjumia.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,"ns-1189.awsdns-20.org, ns-1999.awsdns-57.co.uk, ns-63.awsdns-07.com, ns-824.awsdns-39.net",,,,,,,,,
[x],nais-ac.apps.bunq.com,"18.193.49.97, 3.66.187.137, 3.71.253.33","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],net-log-b2bsystem.apps.bunq.com,"18.193.49.97, 3.71.253.33, 3.66.187.137","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],new-debugvideo-debugsqldoc-corporate.apps.bunq.com,"3.66.187.137, 3.71.253.33, 18.193.49.97","ns-824.awsdns-39.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
