input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_,final_url,tls_expired,tls_self_signed
crew.alaskaair.com,403 - Forbidden: Access is denied.,403,1233,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.248.0/22,crew.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-18T12:23:52Z,2024-02-04T12:23:51Z,"CN=crew.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",crew.alaskaair.com,www.crew.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",f3461c795c92e3f7cf05062d57507934,375bbac9c08c67ede0d6cce55b5d3a6bef1e0014e9e37e65532653c165eccc4a,,ctls,crew.alaskaair.com,,443,https://crew.alaskaair.com:443,https,,text/html,GET,159.49.230.34,/,1631801191,159.49.230.34,,30,False,,,"Alaska Airlines, Inc.",,,
crew.let.qa.alaskaair.com,Leave Event Tracker,200,10140,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,crew.let.qa.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-14T00:00:00Z,2024-03-14T23:59:59Z,"CN=crew.let.qa.alaskaair.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",crew.let.qa.alaskaair.com,crew.let.qa.alaskaair.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,28ad1fc6f12b872d1e5a21aac9c36fb6,81c67eea7c90145d2f2f45f1d05c279a3412062691e3fb570b3b99db0cf6fa61,,ctls,crew.let.qa.alaskaair.com,,80,http://crew.let.qa.alaskaair.com:80,http,,text/html,GET,104.212.67.244,/,699588637,2620:1ec:27::cafe:1834,Microsoft ASP.NET,17,False,,,Microsoft Corporation,https://crew.let.qa.alaskaair.com/,,
crewaccess.alaskaair.com,Authentication Redirect,200,3701,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.248.0/22,crewaccess.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-02T05:00:35Z,2024-03-07T05:00:35Z,"CN=crewaccess.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",crewaccess.alaskaair.com,www.crewaccess.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",9bd1060b363516981a25904642181012,f28ceff6bf1ff3f8fdf9a563ae61fe6b834e24229ba2f2b11d0ea36a8a87d5ca,,ctls,crewaccess.alaskaair.com,,80,http://crewaccess.alaskaair.com:80,http,,text/html,GET,159.49.241.55,/,-1463124301,159.49.241.55,Java,1,False,,,"Alaska Airlines, Inc.",https://crewaccess.alaskaair.com:443/access/login-redirect.html,,
datedflight-flight-api.w2.ecomm-test-aks.alaskaair.com,403 Forbidden,403,146,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,datedflight-flight-api.w2.ecomm-test-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-20T18:50:55Z,2023-07-19T18:50:54Z,CN=datedflight-flight-api.w2.ecomm-test-aks.alaskaair.com,datedflight-flight-api.w2.ecomm-test-aks.alaskaair.com,datedflight-flight-api.w2.ecomm-test-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1529b28d52fdef2ef8279033e19bf274,353dd3e835d3b3d8fe25c0a084189975602a272aed00623e40b1169ed31e2c79,,ctls,datedflight-flight-api.w2.ecomm-test-aks.alaskaair.com,azure,443,https://datedflight-flight-api.w2.ecomm-test-aks.alaskaair.com:443,https,,text/html,GET,40.64.90.136,/,-1561873722,40.64.90.136,HSTS,8,False,True,,,,,
deicefar.alaskaair.com,Alaska Airlines / Horizon Air,200,9013,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,fedauth.alaskasworld.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-27T09:56:13Z,2024-03-01T09:56:13Z,"CN=fedauth.alaskasworld.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",fedauth.alaskasworld.com,www.fedauth.alaskasworld.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",cfd9cf6723911b7dc15433f1c19d2512,64b3102028ac95d84b04a7948ad97698dccb61b5f80fe2ac59313ea5607909eb,,ctls,fedauth.alaskasworld.com,azure,443,https://deicefar.alaskaair.com:443,https,,text/html,GET,104.45.226.98,/,1772087922,104.45.226.98,,234,False,True,,"Alaska Airlines, Inc.",https://fedauth.alaskasworld.com/as/authorization.oauth2?client_id=34UA3j8oi0zE&redirect_uri=https%3a%2f%2fdeicefar.alaskaair.com%2f&response_mode=form_post&response_type=code+id_token&scope=openid+profile&state=OpenIdConnect.AuthenticationProperties%3dkmvu90m2k7oB1kCpnojClNoQhFGiqX26T4d5W-A_s6rOsNebk_TAJD-QswbI4jXlMNP56NPBNfnQoEl-b1uFzMELcXG1qgmoHMsSpxL43gGjbM5nus5qqd2Pxo8Q-bJlS4aX4pBEhax24TKSBFFriWpdBJzyhi3noa05B5yYNmMxZIFOyYLJUS47576-XjiJyTvp19YKnxwNz3CDnJCItGOwE48EqxidDG_FWrPOGmg&nonce=638193290986375092.MGJjYjA4YjctZTE4Ni00MTZlLWJkZjMtNTczYTQ4ODk1ZmRkNzNkZGJkYWEtMDUzZi00NGNkLWIxNjctYmI3M2ZlMzNhZTZl,,
developer.test.alaskaair.com,,200,,AS29702,ALASKA-AIRGROUP-SE4,US,159.49.130.0/24,developer.test.alaskaair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-24T14:57:48Z,2024-02-02T14:57:48Z,"CN=developer.test.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",developer.test.alaskaair.com,developer.test.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",8582925c3533abf2ca6c68c127675219,592ec7f258c6b1613cf49c44de7cb102c24c39aeab1cdd5f9484f6eed4bc0e9f,,ctls,developer.test.alaskaair.com,,80,http://developer.test.alaskaair.com:80,http,,text/plain,GET,159.49.130.11,/,-1840324437,159.49.130.11,Java,1,False,,,"Alaska Airlines, Inc.",https://developer.test.alaskaair.com/,,
dso-aquamgrapi.w2.its-prod-aks.alaskaair.com,403 Forbidden,403,146,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,dso-aquamgrapi.w2.its-prod-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-08T21:24:34Z,2023-08-06T21:24:33Z,CN=dso-aquamgrapi.w2.its-prod-aks.alaskaair.com,dso-aquamgrapi.w2.its-prod-aks.alaskaair.com,dso-aquamgrapi.w2.its-prod-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,834c5f1fb7d9f0a37a80492c4f150749,e9fd4c5f6c3a1e4b870d800d82597adfa083a429a0117cf4bc516d389c3d15e9,,ctls,dso-aquamgrapi.w2.its-prod-aks.alaskaair.com,,443,https://dso-aquamgrapi.w2.its-prod-aks.alaskaair.com:443,https,,text/html,GET,20.69.70.67,/,-1561873722,20.69.70.67,HSTS,8,False,,,,,,
dso-aquamgrapi.w2.its-qa-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,dso-aquamgrapi.w2.its-qa-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-19T18:25:47Z,2023-07-18T18:25:46Z,CN=dso-aquamgrapi.w2.its-qa-aks.alaskaair.com,dso-aquamgrapi.w2.its-qa-aks.alaskaair.com,dso-aquamgrapi.w2.its-qa-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bf65fd4facd8215d36e4207f50cf6065,75c2e788d0d823077dc916c5d753972cc97784435ec68622311a36d1ad896a50,,ctls,dso-aquamgrapi.w2.its-qa-aks.alaskaair.com,,443,https://dso-aquamgrapi.w2.its-qa-aks.alaskaair.com:443,https,,text/html,GET,20.69.133.170,/,586998417,20.69.133.170,HSTS,14,False,,,,,,
dso-aquamgrapi.wc.its-prod-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,dso-aquamgrapi.wc.its-prod-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-08T21:24:54Z,2023-08-06T21:24:53Z,CN=dso-aquamgrapi.wc.its-prod-aks.alaskaair.com,dso-aquamgrapi.wc.its-prod-aks.alaskaair.com,dso-aquamgrapi.wc.its-prod-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,841945d5bf9699198022ebabd8849f15,462e9e459f28b06ff95195cb4c48e15c0b8bcaf000cc9592ef4539ae8b2e337c,,ctls,dso-aquamgrapi.wc.its-prod-aks.alaskaair.com,azure,443,https://dso-aquamgrapi.wc.its-prod-aks.alaskaair.com:443,https,,text/html,GET,13.77.222.64,/,586998417,13.77.222.64,HSTS,14,False,True,,,,,
dso-ghmgrapi.w2.its-test-aks.alaskaair.com,403 Forbidden,403,146,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,,,,,,,,,,,,,,,,,,,,,80,http://dso-ghmgrapi.w2.its-test-aks.alaskaair.com:80,http,,text/html,GET,20.98.88.164,/,-1561873722,20.98.88.164,,8,False,,,,,,
