input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_,final_url,tls_expired,tls_self_signed
access-amazone.w2.ecomm-prod-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,access-amazone.w2.ecomm-prod-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-11-14T19:09:41Z,2023-11-14T19:09:41Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,9330ee274a8b17f2ab105d8b199c74c5,4efb0cc5d7cd1637575eff706131114988248f57ccb7170b53985fb2c3eef835,,ctls,access-amazone.w2.ecomm-prod-aks.alaskaair.com,,443,https://access-amazone.w2.ecomm-prod-aks.alaskaair.com:443,https,,text/html,GET,20.69.115.140,/,586998417,20.69.115.140,HSTS,14,False,,,Acme Co,,,True
access-amazone.wc.ecomm-prod-aks.alaskaair.com,403 Forbidden,403,146,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.64.0.0/11,access-amazone.wc.ecomm-prod-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2022-11-14T17:57:04Z,2023-11-14T17:57:04Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,c2c1b7f988b56da40ae75c40d4c28faf,24df02a0af6dd1cc6904db7fb4547a34a7603f6615e1ac62ea193f9b21b75a6f,,ctls,access-amazone.wc.ecomm-prod-aks.alaskaair.com,azure,443,https://access-amazone.wc.ecomm-prod-aks.alaskaair.com:443,https,,text/html,GET,13.78.230.197,/,-1561873722,13.78.230.197,HSTS,8,False,True,,Acme Co,,,True
access-amazone.wc.ecomm-qa-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.160.0.0/11,,,,,,,,,,,,,,,,,,,,azure,80,http://access-amazone.wc.ecomm-qa-aks.alaskaair.com:80,http,,text/html,GET,52.159.16.168,/,586998417,52.159.16.168,,14,False,True,,,,,
access-docrelay.wc.ecomm-qa-aks.alaskaair.com,,404,,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.160.0.0/11,access-docrelay.wc.ecomm-qa-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-14T23:11:36Z,2023-06-12T23:11:35Z,CN=access-docrelay.wc.ecomm-qa-aks.alaskaair.com,access-docrelay.wc.ecomm-qa-aks.alaskaair.com,access-docrelay.wc.ecomm-qa-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26ac91a94671c6c4a00336876d018249,a66e3749fbde837c82209cff2af5d245b29426cec4aef14a6b77d78ad0ce29df,,ctls,access-docrelay.wc.ecomm-qa-aks.alaskaair.com,azure,80,http://access-docrelay.wc.ecomm-qa-aks.alaskaair.com:80,http,,,GET,52.159.16.168,/,-1840324437,52.159.16.168,HSTS,1,False,True,,,https://access-docrelay.wc.ecomm-qa-aks.alaskaair.com,,
access-session.w2.ecomm-test-aks.alaskaair.com,,404,,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,access-session.w2.ecomm-test-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-04T14:09:33Z,2023-08-02T14:09:32Z,CN=access-session.w2.ecomm-test-aks.alaskaair.com,access-session.w2.ecomm-test-aks.alaskaair.com,access-session.w2.ecomm-test-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bb3f1baa0246e911800014dd7eef3f69,47ba217c4d3a998b91a63437f768b9c305d83a74993ab8c0c7ad5fdda0656d65,,ctls,access-session.w2.ecomm-test-aks.alaskaair.com,azure,443,https://access-session.w2.ecomm-test-aks.alaskaair.com:443,https,,,GET,40.64.90.136,/,-1840324437,40.64.90.136,HSTS,1,False,True,,,,,
access.bc.alaskaair.com,Login,200,3631,AS10966,ALASKA-AIR,US,159.49.46.0/23,access.bc.alaskaair.com,443,True,tls12,TLS_RSA_WITH_AES_128_CBC_SHA,True,2022-05-26T22:02:31Z,2023-06-07T22:02:31Z,"CN=access.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",access.alaskaair.com,tukaccess.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",93003c0b806ee79c356d2005d01ed916,01ccbe3f5e195df04190cde03e00acd5792effb144b3b1445eb39a29ae1fab71,,ctls,access.bc.alaskaair.com,,443,https://access.bc.alaskaair.com:443,https,,text/html,GET,159.49.46.7,/,135719183,159.49.46.7,HSTS,102,False,,,"Alaska Airlines, Inc.",https://access.bc.alaskaair.com/dana-na/auth/url_default/welcome.cgi,,
ace-aagxidsui.w2.its-qa-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,ace-aagxidsui.w2.its-qa-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-11T19:00:49Z,2023-06-09T19:00:48Z,CN=ace-aagxidsui.w2.its-qa-aks.alaskaair.com,ace-aagxidsui.w2.its-qa-aks.alaskaair.com,ace-aagxidsui.w2.its-qa-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,976cf687fab49aa194709d3d08ed252b,0e030155de0325c082fa31154ec074866efacee94f1b972f7c7f6ab71b5e0f28,,ctls,ace-aagxidsui.w2.its-qa-aks.alaskaair.com,,443,https://ace-aagxidsui.w2.its-qa-aks.alaskaair.com:443,https,,text/html,GET,20.69.133.170,/,586998417,20.69.133.170,HSTS,14,False,,,,,,
ace-itscrypto.w2.its-qa-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,,,,,,,,,,,,,,,,,,,,,80,http://ace-itscrypto.w2.its-qa-aks.alaskaair.com:80,http,,text/html,GET,20.69.133.170,/,586998417,20.69.133.170,,14,False,,,,,,
alaskaair.com,Alaska Airlines - Flight Deals and Cheap Airline Tickets - Book Today,200,274917,AS10966,ALASKA-AIR,US,159.49.46.0/23,www.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-18T06:26:05Z,2024-01-31T06:26:04Z,"CN=www.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",www.alaskaair.com,alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",df7fb07e1fe7db01bfbecd25402e7a84,2d08a70780b50b6f09c63044612d527510e817a986a3069b5510067986b3bb33,,ctls,www.alaskaair.com,,80,http://alaskaair.com:80,http,,text/html,GET,159.49.47.135,/,1115653873,159.49.253.16,webpack,253,False,,,"Alaska Airlines, Inc.",https://www.alaskaair.com/,,
alaskapaysessions.alaskaair.com,,404,10,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,alaskapaysessions.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-14T11:58:23Z,2024-03-21T11:58:23Z,"CN=alaskapaysessions.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",alaskapaysessions.alaskaair.com,alaskapaysessions.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",040d545b9f5459e992aca2ea7d674b82,0563ae36418b5fa9005bc7809b9f7f1f634a8650cede87bd20f22e808fe4a788,,ctls,alaskapaysessions.alaskaair.com,azure,443,https://alaskapaysessions.alaskaair.com:443,https,,text/plain,GET,40.64.128.224,/,1864250944,40.64.128.224,Azure,2,False,True,,"Alaska Airlines, Inc.",,,
alias.www.alaskaair.com,Alaska Airlines - Flight Deals and Cheap Airline Tickets - Book Today,200,274917,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.192.0/18,www.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-18T06:26:05Z,2024-01-31T06:26:04Z,"CN=www.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",www.alaskaair.com,alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",df7fb07e1fe7db01bfbecd25402e7a84,2d08a70780b50b6f09c63044612d527510e817a986a3069b5510067986b3bb33,,ctls,www.alaskaair.com,,80,http://alias.www.alaskaair.com:80,http,,text/html,GET,159.49.253.14,/,1115653873,159.49.253.14,webpack,253,False,,,"Alaska Airlines, Inc.",https://www.alaskaair.com/,,
alias.www.bc.alaskaair.com,Alaska Airlines - Flight Deals and Cheap Airline Tickets - Book Today,200,274917,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.192.0/18,www.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-18T06:26:05Z,2024-01-31T06:26:04Z,"CN=www.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",www.alaskaair.com,alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",df7fb07e1fe7db01bfbecd25402e7a84,2d08a70780b50b6f09c63044612d527510e817a986a3069b5510067986b3bb33,,ctls,www.alaskaair.com,,80,http://alias.www.bc.alaskaair.com:80,http,,text/html,GET,159.49.253.14,/,1115653873,159.49.253.14,webpack,253,False,,,"Alaska Airlines, Inc.",https://www.alaskaair.com/,,
api.alaskaair.com,,200,87,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.248.0/22,api.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-13T11:58:43Z,2024-02-24T11:58:43Z,"CN=api.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",api.alaskaair.com,www.api.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",bf18b32cacb786b5e574a08995bcfd9d,4d38aae6e2ee3b603e0788aeec8943e82f9e837033e602cd3a684d5c512f8c81,,ctls,api.alaskaair.com,,443,https://api.alaskaair.com:443,https,,text/xml,GET,159.49.230.10,/,1535090470,159.49.230.10,,5,False,,,"Alaska Airlines, Inc.",,,
api.bc.alaskaair.com,,200,87,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.248.0/22,api.bc.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-02-13T11:58:43Z,2024-02-24T11:58:43Z,"CN=api.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",api.alaskaair.com,www.api.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",bf18b32cacb786b5e574a08995bcfd9d,4d38aae6e2ee3b603e0788aeec8943e82f9e837033e602cd3a684d5c512f8c81,,ctls,api.bc.alaskaair.com,,443,https://api.bc.alaskaair.com:443,https,,text/xml,GET,159.49.230.10,/,1535090470,159.49.230.10,,5,False,,,"Alaska Airlines, Inc.",,,
api.qa.alaskaair.com,,200,87,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.122.0/24,api.qa.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-01-31T12:42:28Z,2024-02-07T12:42:28Z,"CN=api.test.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",api.test.alaskaair.com,api.qa.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",0016cbceb3bf97a372e80ace7d0cf4da,94f25fa9d42492c34724aad8e35cf3cade7fe54a3f68f21e478ddf47c97cf224,,ctls,api.qa.alaskaair.com,,443,https://api.qa.alaskaair.com:443,https,,text/xml,GET,159.49.122.10,/,1535090470,159.49.122.10,,5,False,,,"Alaska Airlines, Inc.",,,
apis.alaskaair.com,,404,54,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.160.0.0/11,apis.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-17T15:15:00Z,2023-11-10T15:15:00Z,"CN=apis.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",apis.alaskaair.com,managementapi.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",838090278b1b5ee6110bcbed1bcb9df7,b67fc29a488dcba39ac6557baf95dc7eb8db6cc3a86f5356ebddaad1508a119c,,ctls,apis.alaskaair.com,azure,443,https://apis.alaskaair.com:443,https,,application/json,GET,52.161.95.3,/,-326256188,52.161.95.3,,1,False,True,,"Alaska Airlines, Inc.",,,
apis.gwv2.w2.alaskaair.com,404 Not Found,404,581,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,apis.gwv2.w2.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2022-10-17T15:15:00Z,2023-11-10T15:15:00Z,"CN=apis.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",apis.alaskaair.com,managementapi.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",838090278b1b5ee6110bcbed1bcb9df7,b67fc29a488dcba39ac6557baf95dc7eb8db6cc3a86f5356ebddaad1508a119c,,ctls,apis.gwv2.w2.alaskaair.com,,443,https://apis.gwv2.w2.alaskaair.com:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,20.72.221.42,/,1129692473,20.72.221.42,,14,False,,,"Alaska Airlines, Inc.",,,
apis.qa.alaskaair.com,,404,54,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.240.0.0/12,apis.qa.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-08-18T16:04:24Z,2023-08-25T16:04:24Z,"CN=apis.test.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",apis.test.alaskaair.com,managementapi.test.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",bff64987c9d72208108c5ae54d7d13e1,1bbf0b1d24c932c3ee2859b7f3405489f7877756e4e8c8dae72c8d49b19143d4,,ctls,apis.qa.alaskaair.com,azure,443,https://apis.qa.alaskaair.com:443,https,,application/json,GET,52.250.39.48,/,-326256188,52.250.39.48,,1,False,True,,"Alaska Airlines, Inc.",,,
apphangar.alaskaair.com,,200,25681,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.119.128.0/18,,,,,,,,,,,,,,,,,,,,azure,80,http://apphangar.alaskaair.com:80,http,Microsoft-IIS/10.0,text/html,GET,40.112.143.134,/,337472212,40.112.143.134,Windows Server,48,False,True,,,,,
apps-repository-postgresmx.ecomm-test-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.252.0/23,,,,,,,,,,,,,,,,,,,,,80,http://apps-repository-postgresmx.ecomm-test-aks.alaskaair.com:80,http,,text/html,GET,13.107.253.45,/,586998417,2620:1ec:4f:1::45,HSTS,14,False,,,,,,
aqua-lb.w2.its-test-aks.alaskaair.com,ArenaDewa : Daftar Situs Slot Gacor Maxwin Anti Rungkad Hari Ini 2023,200,123651,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,4.192.0.0/10,aqua-lb.w2.its-test-aks.alaskaair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-27T07:49:06Z,2023-07-26T07:49:05Z,CN=aqua-lb.w2.its-test-aks.alaskaair.com,aqua-lb.w2.its-test-aks.alaskaair.com,aqua-lb.w2.its-test-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d03cead2f4f36153ee23c0a2db9175ec,d2398f63f9dcc723cfbcf0e50e2ce538421a800074fe0ef7da7b2e5c4d1039cf,,ctls,aqua-lb.w2.its-test-aks.alaskaair.com,,443,https://aqua-lb.w2.its-test-aks.alaskaair.com:443,https,Apache/2.4.41 (Ubuntu),text/html,GET,4.246.76.253,/,828207653,4.246.76.253,Ubuntu,3799,False,,,,,,
archpci.alaskaair.com,403 - Forbidden: Access is denied.,403,1233,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.192.0/18,archpci.alaskaair.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-14T05:23:44Z,2023-07-20T05:23:44Z,"CN=archpci.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",archpci.alaskaair.com,www.archpci.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",927c6076010955bc30e84a538ae1f2b1,172ae0fa2d1f61222ac7cef157608455c7b3989a3f9e7ac0f67d76a79a0db2e7,,ctls,archpci.alaskaair.com,,443,https://archpci.alaskaair.com:443,https,,text/html,GET,159.49.253.55,/,1631801191,159.49.253.55,,30,False,,,"Alaska Airlines, Inc.",,,
ascom.bc.alaskaair.com,Forbidden,403,1463,AS29750,ALASKA-AIRGROUP-IGQ,US,159.49.248.0/22,ascom.bc.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2022-08-03T18:35:27Z,2023-08-12T18:35:27Z,"CN=ascom.alaskaair.com, O=Alaska Airlines\, Inc., L=Seattle, ST=Washington, C=US",ascom.alaskaair.com,ascom.alaskaair.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",265b2ca4b827b9753fb20d3e7c515198,3dd19ef5688dc9a47f0a51234ef77d6b96c757ab40594bd671e93df7bd08f904,,ctls,ascom.bc.alaskaair.com,,443,https://ascom.bc.alaskaair.com:443,https,,text/html,GET,159.49.230.53,/,1959552773,159.49.230.53,,52,False,,,"Alaska Airlines, Inc.",,,
asct.alaskaair.com,AircraftSoftwareConfigurationToolUI,200,797,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,,,,,,,,,,,,,,,,,,,,80,http://asct.alaskaair.com:80,http,,text/html,GET,104.212.67.188,/,1115653873,2620:1ec:27::cafe:1759,Azure Front Door,16,False,,,,,,
asct.test.alaskaair.com,AircraftSoftwareConfigurationToolUI,200,797,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.95.80.0/21,asct.test.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-15T00:00:00Z,2024-04-15T23:59:59Z,"CN=asct.test.alaskaair.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",asct.test.alaskaair.com,asct.test.alaskaair.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,b9bb738a443d2bcd50ceb17bc9ebd3cb,62e502cf23178335fee6ef866d5ba5a40d7600b5bdb499eedc3f25fe3656f780,,ctls,asct.test.alaskaair.com,,443,https://asct.test.alaskaair.com:443,https,,text/html,GET,40.90.65.6,/,1115653873,2620:1ec:27::cafe:2277,Azure Front Door,16,False,,,Microsoft Corporation,,,
asctapi.test.webservice.alaskaair.com,,503,401,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.252.0/23,asctapi.test.webservice.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-15T00:00:00Z,2024-04-15T23:59:59Z,"CN=asctapi.test.webservice.alaskaair.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",asctapi.test.webservice.alaskaair.com,asctapi.test.webservice.alaskaair.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2b5446eeab0d06201f20a906feda7433,7d5290c7dc8b03767d6db4be5b8701e54778d0ebae81b1ecf97a79aff0a25081,,ctls,asctapi.test.webservice.alaskaair.com,,443,https://asctapi.test.webservice.alaskaair.com:443,https,,,GET,13.107.237.45,/,85292099,2620:1ec:27::cafe:1746,Azure Front Door,2,False,,,Microsoft Corporation,,,
aurora-ancillary.w2.its-qa-aks.alaskaair.com,403 Forbidden,403,548,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.64.0.0/10,aurora-ancillary.w2.its-qa-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-21T03:11:00Z,2023-06-19T03:10:59Z,CN=aurora-ancillary.w2.its-qa-aks.alaskaair.com,aurora-ancillary.w2.its-qa-aks.alaskaair.com,aurora-ancillary.w2.its-qa-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,33094ed470842b85ea0b1f6191a1e657,e910acb7ba74477922dabec3e6d4cdddf0f1266efe29d374187af7c730b6074e,,ctls,aurora-ancillary.w2.its-qa-aks.alaskaair.com,,443,https://aurora-ancillary.w2.its-qa-aks.alaskaair.com:443,https,,text/html,GET,20.69.133.170,/,586998417,20.69.133.170,HSTS,14,False,,,,,,
avanza-mpactivityui-mpactivity.w2.ecomm-test-aks.alaskaair.com,Mileage Plan Activity - Alaska Airlines,200,3034,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,40.66.0.0/17,avanza-mpactivityui-mpactivity.w2.ecomm-test-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-29T17:04:31Z,2023-06-27T17:04:30Z,CN=avanza-mpactivityui-mpactivity.w2.ecomm-test-aks.alaskaair.com,avanza-mpactivityui-mpactivity.w2.ecomm-test-aks.alaskaair.com,avanza-mpactivityui-mpactivity.w2.ecomm-test-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8fafa0e22b969e8e0b5725a24d5a3ea9,bb8b0c9acb23bb303105834603eca1a463a913c8d608cf586bf8be2e9b7f4781,,ctls,avanza-mpactivityui-mpactivity.w2.ecomm-test-aks.alaskaair.com,azure,443,https://avanza-mpactivityui-mpactivity.w2.ecomm-test-aks.alaskaair.com:443,https,,text/html,GET,40.64.90.136,/,-2009722838,40.64.90.136,HSTS,1,False,True,,,,,
avanza-mpactivityui-mpactivity.wc.ecomm-qa-aks.alaskaair.com,Mileage Plan Activity - Alaska Airlines,200,2976,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.160.0.0/11,avanza-mpactivityui-mpactivity.wc.ecomm-qa-aks.alaskaair.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-29T22:38:01Z,2023-06-27T22:38:00Z,CN=avanza-mpactivityui-mpactivity.wc.ecomm-qa-aks.alaskaair.com,avanza-mpactivityui-mpactivity.wc.ecomm-qa-aks.alaskaair.com,avanza-mpactivityui-mpactivity.wc.ecomm-qa-aks.alaskaair.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,67d0a73e8fe67e56f2e881c865163b2f,d124fb68a79d7451f0d189886ab49318e746b878bb1cd005b06c1783f74f5df5,,ctls,avanza-mpactivityui-mpactivity.wc.ecomm-qa-aks.alaskaair.com,azure,443,https://avanza-mpactivityui-mpactivity.wc.ecomm-qa-aks.alaskaair.com:443,https,,text/html,GET,52.159.16.168,/,-2009722838,52.159.16.168,HSTS,1,False,True,,,,,
aviationday.alaskaair.com,Aviation Day | Alaska Airlines,200,3367,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,13.107.252.0/23,aviationday.alaskaair.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-02T00:00:00Z,2023-11-02T23:59:59Z,CN=aviationday.alaskaair.com,aviationday.alaskaair.com,aviationday.alaskaair.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",e54626c0e97add86590bed350b392cfc,8ae33d20ca522dea1a7bca031441a61a4d17a47d18a780c7a231f58d8928052f,,ctls,aviationday.alaskaair.com,,80,http://aviationday.alaskaair.com:80,http,,text/html,GET,13.107.237.45,/,1115653873,2620:1ec:4f:1::45,HSTS,65,False,,,,https://aviationday.alaskaair.com/,,
