new,host,a,soa,status_code,cname,mx,ns,txt,aaaa
,admin.demo.yeswehack.com,149.202.237.200,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,api.demo.yeswehack.com,149.202.237.200,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,api.yeswehack.com,46.105.167.133,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,apps.demo.yeswehack.com,149.202.237.200,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,autodiscover.yeswehack.com,"52.98.152.168, 40.99.149.216, 40.99.214.40, 52.98.175.8, 52.97.135.104, 52.98.243.24, 40.99.150.8, 52.98.243.40","ns1-ms-acdc.office.com, hostmaster.microsoft.com, ns1-34.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,,,"2603:1026:c0d:81a::8, 2603:1026:c0d:82c::8, 2603:1026:c0d:82e::8, 2603:1026:c0d:c2b::8, 2603:1026:c0d:803::8, 2603:1026:c0d:c02::8, 2603:1026:c0d:807::8, 2603:1026:c0d:82b::8"
,bbjobs.yeswehack.com,137.74.99.150,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,blog.yeswehack.com,164.132.15.54,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,changelog.yeswehack.com,164.132.15.54,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,contact.yeswehack.com,164.132.15.54,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,demo.yeswehack.com,149.202.237.200,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,docs.yeswehack.com,137.74.99.149,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,event.yeswehack.com,46.105.167.133,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,files.demo.yeswehack.com,149.202.237.200,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,internal.demo.yeswehack.com,149.202.237.200,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,jobs.yeswehack.com,46.105.167.130,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,mail.yeswehack.com,87.98.155.117,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,v=spf1 a include:spf.protection.outlook.com -all,
,sip.yeswehack.com,52.112.192.11,"admin.nsatc.net, dns.level3.net",NOERROR,sipdir.online.lync.com,,,,2603:1027:0:48::20
,storage.yeswehack.com,46.105.167.136,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
,vdp.yeswehack.com,46.105.167.134,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,zerodisclo.com,mail.yeswehack.com,"ns-131-a.gandi.net, ns-43-c.gandi.net, ns-115-b.gandi.net","google-site-verification=TcISelvt9EGkMbwWUegRZY6hMeKqZak7sMoR9EykTwU, v=spf1 ip4:176.31.123.127/32 ?all",
,vpn.yeswehack.com,46.105.167.131,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,"gns2.cloudns.net, gns1.cloudns.net, gns3.cloudns.net, gns4.cloudns.net",,
,webmail.yeswehack.com,87.98.155.117,"gns1.cloudns.net, support.cloudns.net",NOERROR,mail.yeswehack.com,,"gns4.cloudns.net, gns1.cloudns.net, gns2.cloudns.net, gns3.cloudns.net",v=spf1 a include:spf.protection.outlook.com -all,
,www.yeswehack.com,164.132.15.54,"gns1.cloudns.net, support.cloudns.net",NOERROR,,,,,
