new,host,a,soa,status_code,mx,ns,txt,cname,cdn,cdn-name,caa,aaaa,has_internal_ips,internal_ips
[x],00000-okta-idp-support-api-administrator.aptest.claiming.com.au,"108.138.64.86, 108.138.64.73, 108.138.64.12, 108.138.64.122","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-api-administrator.web2test.claiming.com.au,"13.32.99.114, 13.32.99.31, 13.32.99.76, 13.32.99.78","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-api.mobile.claiming.com.au,"108.156.60.77, 108.156.60.3, 108.156.60.117, 108.156.60.101","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-api.opspromo.global.claiming.com.au,"13.32.99.78, 13.32.99.76, 13.32.99.31, 13.32.99.114","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-api.promo.home.claiming.com.au,"13.227.173.75, 13.227.173.31, 13.227.173.76, 13.227.173.117","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1342.awsdns-39.org, ns-1708.awsdns-21.co.uk, ns-283.awsdns-35.com, ns-670.awsdns-19.net",,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-api.promo.web.claiming.com.au,"13.32.99.78, 13.32.99.114, 13.32.99.76, 13.32.99.31","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-api.secure.global.claiming.com.au,"13.32.99.114, 13.32.99.31, 13.32.99.76, 13.32.99.78","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1342.awsdns-39.org, ns-1708.awsdns-21.co.uk, ns-283.awsdns-35.com, ns-670.awsdns-19.net",,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-api.support.log.claiming.com.au,"13.32.99.114, 13.32.99.76, 13.32.99.31, 13.32.99.78","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-api.support.production.claiming.com.au,"18.173.233.42, 18.173.233.86, 18.173.233.83, 18.173.233.39","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-api.support.stage.claiming.com.au,"13.32.99.76, 13.32.99.114, 13.32.99.78, 13.32.99.31","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-api.test1.claiming.com.au,"18.244.102.56, 18.244.102.70, 18.244.102.65, 18.244.102.102","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-mail.api.auth.claiming.com.au,"13.32.99.76, 13.32.99.31, 13.32.99.114, 13.32.99.78","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support-net.old.claiming.com.au,"108.138.64.12, 108.138.64.73, 108.138.64.86, 108.138.64.122","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support.api.auth-sandbox-bucket.claiming.com.au,"13.32.99.78, 13.32.99.114, 13.32.99.31, 13.32.99.76","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],00000-okta-idp-support.api.auth.claiming.com.au,"108.156.60.77, 108.156.60.117, 108.156.60.101, 108.156.60.3","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
