new,host,a,soa,status_code,cdn,cdn-name,cname,aaaa,ns,mx,has_internal_ips,internal_ips,caa,txt
,mail1.gcp.bigcommerce.net,34.68.202.102,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,mail11.bigcommerce.com,34.68.202.102,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,mail12.bigcommerce.com,34.68.202.102,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,mail14.bigcommerce.com,34.68.202.102,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,mail2.bigcommerce.com,34.68.202.102,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,mail3.bigcommerce.com,34.68.202.102,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,mail4.bigcommerce.com,34.68.202.102,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,mail5.bigcommerce.com,34.68.202.102,"dns1.p04.nsone.net, hostmaster.nsone.net, ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,mail7.bigcommerce.com,34.68.202.102,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,mail8.bigcommerce.com,34.68.202.102,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,mail9.bigcommerce.com,34.68.202.102,"dns1.p04.nsone.net, hostmaster.nsone.net, ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,mailer.bigcommerce.com,104.195.84.14,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,make-it-big.bigcommerce.com,216.70.116.29,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,manage.bigcommerce.com,35.227.219.245,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,shared-lb-lb1.gcp.bigcommerce.net,,,,,,,
