new,host,a,soa,status_code,cdn,cdn-name,cname,aaaa,ns,mx,has_internal_ips,internal_ips,caa,txt
,cdn8.bigcommerce.com,"192.200.160.253, 63.141.128.3","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,cdn8.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,cdn9.bigcommerce.com,"63.141.128.3, 192.200.160.253","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,cdn9.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,checkout-sdk.bigcommerce.com,"63.141.128.3, 192.200.160.253","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,checkout-sdk.bigcommerce.com.cdn.cloudflare.net,,,,,,,
,clover-int.bigcommerce.com,"54.237.159.171, 52.21.227.162, 23.22.5.68, 3.226.182.14","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,terrestrial-eel-jh33ozw57gtnbzqy9ja26m8t.herokudns.com,,,,,,,
,clover.bigcommerce.com,"52.21.227.162, 23.22.5.68, 3.226.182.14, 54.237.159.171","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,reticulated-meadowlark-fvpmshahuvxo2ryy91fqe27k.herokudns.com,,,,,,,
,cms.bigcommerce.com,"34.98.67.75, 34.107.233.139","ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com, dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,code.bigcommerce.net,10.132.0.20,"dns1.p03.nsone.net, hostmaster.nsone.net, ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,True,10.132.0.20,,v=spf1 a:smtp-out.gcp.bigcommerce.net ~all
,connect.bigcommerce.com,64.183.182.118,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,,
,content.product.bigcommerce.com,,"ns-1541.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"5716810793353216-content.customer.pendo.io, d1xf02cqwx3nw9.cloudfront.net","2600:9000:21f3:5600:13:a5f:2e40:93a1, 2600:9000:21f3:2000:13:a5f:2e40:93a1, 2600:9000:21f3:7e00:13:a5f:2e40:93a1, 2600:9000:21f3:3800:13:a5f:2e40:93a1, 2600:9000:21f3:7400:13:a5f:2e40:93a1, 2600:9000:21f3:1c00:13:a5f:2e40:93a1, 2600:9000:21f3:3c00:13:a5f:2e40:93a1, 2600:9000:21f3:ec00:13:a5f:2e40:93a1","ns-217.awsdns-27.com, ns-597.awsdns-10.net, ns-1282.awsdns-32.org, ns-1541.awsdns-00.co.uk",,,,,
,cp-pattern-lab.bigcommerce.net,"185.199.111.153, 185.199.110.153, 185.199.109.153, 185.199.108.153","dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,data.product.bigcommerce.com,142.250.179.147,"ns1.google.com, dns-admin.google.com",NOERROR,,,"5716810793353216-data.customer.pendo.io, ghs.googlehosted.com",2a00:1450:400e:802::2013,,,,,,
,design.bigcommerce.com,,,NOERROR,True,google,bcdesign1.wpengine.com,,,,,,,
,dev-center-lb.gcp.bigcommerce.net,34.117.233.34,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
,dev.bigcommerce.com,34.102.196.0,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,True,google,,,,,,,,
,developer-beta.bigcommerce.com,34.117.233.34,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,dev-center-lb.gcp.bigcommerce.net,,,,,,,
,developer-changelog.bigcommerce.com,"151.101.1.195, 151.101.65.195","dns1.p04.nsone.net, hostmaster.nsone.net, ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,fastly,,,,,,,,
,developer.bigcommerce.com,34.117.233.34,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,dev-center-lb.gcp.bigcommerce.net,,,,,,,
