new,host,a,cname,soa,ns,status_code,cdn,cdn-name,txt,aaaa,has_internal_ips,internal_ips,mx
[x],05a40c0402cc4e2bb8dca7a9e85bf760.waf.huaweicloud.com,"122.112.208.225, 122.112.208.226, 122.112.208.35, 122.112.208.36",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],078dda04fc284058940039ebb5d0de25.apigw.cn-north-4.huaweicloud.com,"49.4.112.58, 49.4.112.59",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],1b0844ddfa4c40f68228c7648b20e991.waf.huaweicloud.com,"117.78.24.43, 117.78.24.42, 117.78.24.41",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],21fe2c4aa566422b9f2b9e9779fbd0fe.apigw.cn-south-1.huaweicloud.com,139.159.208.120,,"ns1.hwclouds-dns.com, fei\.zuo.huawei.com",,NOERROR,,,,,,,
[x],2215-cn-north-4.cdn-vod.huaweicloud.com,122.228.91.87,"2215-cn-north-4.cdn-vod.huaweicloud.com.c.cdnhwc1.com, 2215-cn-north-4.cdn-vod.huaweicloud.com.cdn20.com","dns1.cdn20.org, webmaster.glb0.lxdns.com",,NOERROR,,,,,,,
[x],2935063cb5b0430698ba6fa1f38dd040.waf.huaweicloud.com,49.4.92.207,,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],2a77b638c0de4b6993b2f933608018fc.waf.huaweicloud.com,"121.36.69.250, 119.3.224.159",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],2d581488340b48d18796da01c52e5b64.apigw.cn-north-4.huaweicloud.com,"49.4.112.58, 49.4.112.59",,"ns1.hwclouds-dns.com, hwclouds\.cs.huawei.com",,NOERROR,,,,,,,
[x],360b4ac59a96469895a54927e2593c85.apigw.cn-north-1.huaweicloud.com,43.254.0.94,,"ns1.hwclouds-dns.com, fei\.zuo.huawei.com",,NOERROR,,,,,,,
[x],3cloud.huawei.com,14.137.135.17,"3cloud.web01.huawei.akadns99.net, 3cloud-lhr.failover.web01.huawei.akadns99.net","internal.akadns.net, hostmaster.akamai.com",,NOERROR,,,,,,,
