input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_
api.gate.io,"Buy/Sell Bitcoin, Ethereum | Cryptocurrency Exchange | Gate.io",200,517376,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,api.gate.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-25T00:00:00Z,2023-06-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,api.gate.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",401b50617380023d564d642b65af963b,001a7ed748426e11612320b938b38e1fe4bbaf64d041ef4ce83c4a0a90783e4c,ctls,api.gate.io,cloudflare,443,https://api.gate.io:443,https,cloudflare,text/html,GET,104.18.18.156,/,-11012347,,104.18.19.156,HTTP/3,8783,False,True,https:,"Cloudflare, Inc."
support.gate.io,Security check,403,7735,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,support.gate.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-29T23:40:14Z,2023-06-27T23:40:13Z,CN=support.gate.io,support.gate.io,support.gate.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ea2fb5e824c9f8ce16d572fc83510870,2743458acb538bdb174749b6e30e70c41c31d339e208216d815c78d3efc24acc,ctls,support.gate.io,cloudflare,443,https://support.gate.io:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,https://support.gate.io/hc/zh-cn,104.16.51.111,Cloudflare,103,False,True,,
www.gate.io,"Buy/Sell Bitcoin, Ethereum | Cryptocurrency Exchange | Gate.io",200,517158,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,,,,,,,,,,,,,,,,,,cloudflare,80,http://www.gate.io:80,http,cloudflare,text/html,GET,104.18.19.156,/,-11012347,,104.18.18.156,HTTP/3,8783,False,True,https:,
