input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,content_type,tls_subject_org_,final_url,tls_self_signed,tls_mismatched,csp_domains_
https://122e4e-mapbox.global.ssl.fastly.net,"Maps, geocoding, and navigation APIs & SDKs | Mapbox",200,223817,122e4e-mapbox.global.ssl.fastly.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-05T22:59:56Z,2024-03-08T22:59:55Z,CN=*.freetls.fastly.net,*.freetls.fastly.net,*.global.ssl.fastly.net,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,993a84a8fb4f1873e709375523d7452c,8f2f0af6bc753255be44ba6f259eaabc168cae6f8c07398b5678be4936874155,ctls,122e4e-mapbox.global.ssl.fastly.net,fastly,443,https://122e4e-mapbox.global.ssl.fastly.net:443,https,,GET,151.101.1.194,/,2140160603,151.101.193.194,Webflow,2201,False,True,True,text/html,,,,,https://*.webflow.com
https://ads.yahoo.com,,204,,ads.yahoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T00:00:00Z,2023-05-31T23:59:59Z,"CN=*.pubgw.ads.yahoo.com, O=Oath Holdings Inc., L=Sunnyvale, ST=California, C=US",*.pubgw.ads.yahoo.com,prod-visitor-bf1.gemini.yahoo.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,63f97db3acce5c1e480c99487514d345,49d665ba0dcd31feb54b75a0049e5d266d07b41beb2e7c89f0fd76170b055ad8,ctls,ads.yahoo.com,,443,https://ads.yahoo.com:443,https,ATS,GET,87.248.119.251,/,1523284537,2a00:1288:80:807::2,HSTS,1,False,,True,,Oath Holdings Inc.,,,,
https://analytics.twitter.com,Twitter Analytics,200,6346,analytics.twitter.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-01T00:00:00Z,2023-10-01T23:59:59Z,"CN=*.twitter.com, O=Twitter\, Inc., L=San Francisco, ST=California, C=US",*.twitter.com,twitter.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3a47bf19dcf3c39f2258bb6ae44eaaac,46fe842999eda1d32a2df40c28da7735bb58ddda34e2efc763475d0bb5de81e1,ctls,analytics.twitter.com,,443,https://analytics.twitter.com:443,https,tsa_f,GET,104.244.42.195,/,-1831547740,104.244.42.195,HSTS,129,False,,True,text/html,"Twitter, Inc.",https://analytics.twitter.com/about,,,https://analytics.twitter.com
https://api-gl-staging.tilestream.net,,200,16,api-gl-staging.tilestream.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2024-01-05T23:59:59Z,CN=*.tilestream.net,*.tilestream.net,tilestream.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e7113cc4cc14e6b9f8061126af7ea150,6d2489a3a02180a9f2f9d329fa79cfc4df018609f0068b644f88855de7822e62,ctls,api-gl-staging.tilestream.net,,443,https://api-gl-staging.tilestream.net:443,https,,GET,34.233.252.91,/,71544021,44.205.180.205,Node.js,1,False,,True,application/json,,,,,
https://api.segment.io,,404,,api.segment.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-10T23:59:59Z,CN=*.segment.io,*.segment.io,segment.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3fb1eb635b3daf3aa0089de7d39b7b99,71a21a5375123c800827ed5abfbfed0d8fa7f6f9ddd36da877c6d02599a87f59,ctls,api.segment.io,,443,https://api.segment.io:443,https,awselb/2.0,GET,44.227.42.46,/,-1840324437,44.236.20.144,,1,False,,True,text/plain,,,,,
https://app.launchdarkly.com,Sign in,200,55892,app.launchdarkly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-28T00:42:14Z,2023-10-30T00:42:13Z,CN=app.launchdarkly.com,app.launchdarkly.com,app.launchdarkly.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,5fe4d438c1c19a9406258cab05e0f3b5,26458281fd7021ae3db7c38ffd999e7e5ce79df9e4a5e216ae4646b7ae6589a3,ctls,app.launchdarkly.com,fastly,443,https://app.launchdarkly.com:443,https,,GET,146.75.122.217,/,566392824,146.75.122.217,Varnish,209,False,True,,text/html,,,,,
https://assets.customer.io,,403,243,assets.customer.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2023-12-17T23:59:59Z,CN=*.customer.io,*.customer.io,customer.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1a59ceebb38c24b2d935f4c722ea7b27,148c5134689db8115baa8fa1b5c6d0fb11732e75d273d8582a029adec6642a11,ctls,assets.customer.io,cloudfront,443,https://assets.customer.io:443,https,AmazonS3,GET,143.204.191.2,/,717018646,2600:9000:25a2:7400:11:9cfd:9400:93a1,Amazon Web Services,2,False,True,True,application/xml,,,,,
https://cdn.madkudu.com,My Website Home Page,200,189,cdn.madkudu.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-19T23:59:59Z,CN=*.madkudu.com,*.madkudu.com,*.madkudu.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f80e3959c29122db042d108084ffe665,81138dc5b7b8b94862154c6b1180e8a99b27e96847f339131208698c0d9bb3cd,ctls,cdn.madkudu.com,cloudfront,443,https://cdn.madkudu.com:443,https,AmazonS3,GET,13.32.121.74,/,-2127574450,13.32.121.114,Amazon Web Services,9,False,True,True,text/html,,,,,
https://cdn.segment.com,,404,49,cdn.segment.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-12T23:59:59Z,CN=*.segment.com,*.segment.com,*.segment.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,60f87df08a4d0f4a95226e9a7147ac4c,6d2bc915033d7449a20ea8a52326dec0dcb65d96778138fc2baab203f6bf25a0,ctls,cdn.segment.com,cloudfront,443,https://cdn.segment.com:443,https,AmazonS3,GET,99.86.8.175,/,138222360,99.86.8.175,Amazon Web Services,2,False,True,True,text/plain,,,,,
https://clientstream.launchdarkly.com,,404,,clientstream.launchdarkly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-10-07T23:59:59Z,CN=clientstream.launchdarkly.com,clientstream.launchdarkly.com,clientstream-euw1.launchdarkly.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,783a68d65f59c421b32258621e706d47,80bc0c4d15f180e83bc7e9d237fa9a17ded39d9b4e92966116f2f099d4003b68,ctls,clientstream.launchdarkly.com,,443,https://clientstream.launchdarkly.com:443,https,,GET,15.197.213.252,/,-1840324437,3.33.235.18,,1,False,,,,,,,,
https://cloudfront-staging.tilestream.net,,200,16,cloudfront-staging.tilestream.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2024-01-05T23:59:59Z,CN=*.tilestream.net,*.tilestream.net,tilestream.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e7113cc4cc14e6b9f8061126af7ea150,6d2489a3a02180a9f2f9d329fa79cfc4df018609f0068b644f88855de7822e62,ctls,cloudfront-staging.tilestream.net,cloudfront,443,https://cloudfront-staging.tilestream.net:443,https,CloudFront,GET,18.66.112.115,/,-1840324437,18.66.112.35,Amazon Web Services,1,False,True,True,,,,,,
https://connect.facebook.net,Facebook - log in or sign up,200,62749,www.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-18T00:00:00Z,2023-05-19T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,63e07ca5d96aee3775b2c28046eff557,e76425a78a595dd7d06572359e47b21d1d20ab4527fac974be7b8748593eed6d,ctls,www.facebook.com,,443,https://connect.facebook.net:443,https,,GET,157.240.251.9,/,-821010533,2a03:2880:f083:9:face:b00c:0:3,HTTP/3,29,False,,True,text/html,"Meta Platforms, Inc.",https://www.facebook.com/,,,https://sandbox.paywithmybank.com
https://d.adroll.com,,404,10,d.adroll.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-08T00:00:00Z,2023-12-07T23:59:59Z,CN=d.adroll.com,d.adroll.com,*.adroll.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2de12a85c556fc7dec9a4e190f666aa6,798d6211909a841def0900477edde4a424c9ee0ad7dad4873f7cd7d1b27066ec,ctls,d.adroll.com,,443,https://d.adroll.com:443,https,nginx/1.22.1,GET,54.220.153.139,/,-1840324437,2a05:d018:cc3:fe05:874d:be21:ce9c:a3c6,Nginx:1.22.1,1,False,,True,text/plain,,,,,
https://dsum-sec.casalemedia.com,,200,,dsum-sec.casalemedia.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-13T15:44:22Z,2024-01-13T15:16:26Z,CN=casalemedia.com,casalemedia.com,www.casalemedia.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",374e89f60fe126f03f13ebf911213f3a,068ed7bee2d51717fd173b17740d45304c104c915f5b24d3146c55be4d4b372f,ctls,dsum-sec.casalemedia.com,,443,https://dsum-sec.casalemedia.com:443,https,Apache,GET,185.80.39.216,/,-1840324437,185.80.39.216,Apache,1,False,,True,text/html,,,,,
