new,host,a,soa,status_code,aaaa,txt,cname,mx,ns,cdn,cdn-name
[x],aio-testing.nextcloud.com,65.108.215.1,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:c010:6870::1,,,,,,
[x],amxtestenv.nextcloud.com,,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:c012:88dd::1,,,,,,
[x],antitrust.nextcloud.com,95.217.53.145,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::145,,,,,,
[x],apps.nextcloud.com,176.9.217.53,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:130:32f1::53,,,,,,
[x],auth.nextcloud.com,176.9.217.50,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:130:32f1::50,,,,,,
[x],backup.nextcloud.com,54.144.128.85,,NOERROR,,,,,,,
[x],bounces.nextcloud.com,,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"v=spf1 exists:%{i}._spf.sparkpostmail.com ~all, 202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr, google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs",sparkpostmail.com,smtp.sparkpostmail.com,"ns-1855.awsdns-39.co.uk, ns-304.awsdns-38.com, ns-775.awsdns-32.net, ns-1361.awsdns-42.org",,
[x],build.nextcloud.com,88.198.160.134,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],c0003.customerpush.nextcloud.com,95.217.53.156,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::156,,,,,,
[x],c0004.customerpush.nextcloud.com,95.217.53.157,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::157,,,,,,
[x],c0005.customerpush.nextcloud.com,95.217.53.153,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::153,,,,,,
[x],ci-assets.nextcloud.com,88.198.19.60,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:130:32f1::2,,,,,,
[x],cloud.nextcloud.com,116.202.53.135,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:231:37ef::2,,,,,,
[x],collabora-test.nextcloud.com,176.9.217.58,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:130:32f1::58,,,,,,
[x],collabora.cloud.nextcloud.com,116.202.53.135,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:231:37ef::2,,,,,,
[x],collabora.nebula.nextcloud.com,95.217.64.178,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2a:3119::178,,,,,,
[x],collabora.nextcloud.com,116.202.53.135,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:231:37ef::2,,,,,,
[x],collabora.perftesting.nextcloud.com,135.181.115.41,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:4b:1b1f::2,,,,,,
[x],conf.nextcloud.com,95.217.53.153,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::153,,,,,,
[x],cool.amxtestenv.nextcloud.com,65.109.229.144,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:c012:88dd::1,,,,,,
[x],crm.nextcloud.com,95.217.53.150,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::150,,,,,,
[x],customerpush.nextcloud.com,176.9.217.61,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:130:32f1::161,,,,,,
[x],customerupdates.nextcloud.com,176.9.217.59,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:130:32f1::59,v=spf1 -all,,,,,
[x],demo-push-notifications.nextcloud.com,176.9.217.61,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],demo.nextcloud.com,95.217.64.182,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2a:3119::182,v=spf1 a -all,,,,,
[x],demo1.nextcloud.com,95.216.226.156,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:1fe3::2,,,,,,
[x],demo2.nextcloud.com,95.216.98.232,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:122a::2,,,,,,
[x],docs.nextcloud.com,95.217.64.181,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2a:3119::181,,,,,,
[x],download.nextcloud.com,95.217.64.181,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2a:3119::181,,,,,,
[x],drone-worker1.nextcloud.com,,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2a:25d0::2,,,,,,
[x],drone-worker3.nextcloud.com,,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:4b:3a48::2,,,,,,
[x],drone-worker5.nextcloud.com,135.181.73.210,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:4b:11ec::2,,,,,,
[x],drone.nextcloud.com,135.181.131.24,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:4b:2227::2,,,,,,
[x],garm.nextcloud.com,65.109.20.140,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:5a:1299::2,,,,,,
[x],go.nextcloud.com,35.205.136.228,"ns0.odoo.com, admin.odoo.com",NOERROR,,v=spf1 include:_spf.odoo.com -all,"odoo.nextcloud.com, nextcloud-crm-odoo.odoo.com",eupp90.odoo.com,,True,google
[x],help.nextcloud.com,95.217.53.158,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::146,,,,,,
[x],knowledge.nextcloud.com,88.198.160.138,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],ldap.nextcloud.com,176.9.217.54,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:130:32f1::54,,,,,,
[x],mail.nextcloud.com,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,v=spf1 include:sendgrid.net ~all,u3520013.wl014.sendgrid.net,mx.sendgrid.net,,,
[x],monitoring.nextcloud.com,88.198.19.60,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:130:32f1::2,,,,,,
[x],mx.nextcloud.com,176.9.217.52,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:130:32f1::52,,,,,,
[x],nebula.nextcloud.com,95.217.64.177,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2a:3119::177,,,,,,
[x],newsletter.nextcloud.com,95.217.53.155,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::155,,,,,,
[x],odoo.nextcloud.com,35.205.136.228,"ns0.odoo.com, admin.odoo.com",NOERROR,,,nextcloud-crm-odoo.odoo.com,,,True,google
[x],perftesting.nextcloud.com,135.181.115.41,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:4b:1b1f::2,,,,,,
[x],portal.nextcloud.com,176.9.217.49,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f8:130:32f1::49,,,,,,
[x],projects.nextcloud.com,135.181.142.32,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:3a:161f::2,,,,,,
[x],push-notifications.nextcloud.com,95.217.53.153,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:2b:29dc::153,,,,,,
[x],push.amxtestenv.nextcloud.com,65.109.229.144,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:c012:88dd::1,,,,,,
[x],push.cloud.nextcloud.com,,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],push.perftesting.nextcloud.com,135.181.115.41,"ns.inwx.de, hostmaster.inwx.de",NOERROR,2a01:4f9:4b:1b1f::2,,,,,,
[x],pushfeed.nextcloud.com,95.217.64.181,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],s1.nextcloud.com,78.46.116.89,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],s2.nextcloud.com,88.198.19.60,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
[x],s3.nextcloud.com,159.69.137.183,"ns.inwx.de, hostmaster.inwx.de",NOERROR,,,,,,,
