new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,txt,mx
,billpay.ovo.id,"143.204.215.111, 143.204.215.69, 143.204.215.73, 143.204.215.123","ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,d1ecds5n7rfmz9.cloudfront.net,True,cloudfront,,"ns-1631.awsdns-11.co.uk, ns-261.awsdns-32.com, ns-828.awsdns-39.net, ns-1097.awsdns-09.org",,,,
,bugbounty.ovo.id,35.219.35.230,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,True,google,,,,,,
,cb.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,cb.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",,,,,
,cdn01.ovo.id,"18.66.147.82, 18.66.147.12, 18.66.147.4, 18.66.147.3","ns-545.awsdns-04.net, awsdns-hostmaster.amazon.com",NOERROR,d3dixv18w22a0b.cloudfront.net,True,cloudfront,"2600:9000:225e:ee00:c:90c8:4ac0:93a1, 2600:9000:225e:9400:c:90c8:4ac0:93a1, 2600:9000:225e:aa00:c:90c8:4ac0:93a1, 2600:9000:225e:1600:c:90c8:4ac0:93a1, 2600:9000:225e:7200:c:90c8:4ac0:93a1, 2600:9000:225e:6600:c:90c8:4ac0:93a1, 2600:9000:225e:a600:c:90c8:4ac0:93a1, 2600:9000:225e:7c00:c:90c8:4ac0:93a1","ns-1423.awsdns-49.org, ns-1992.awsdns-57.co.uk, ns-545.awsdns-04.net, ns-69.awsdns-08.com",,,,
,cellblockui.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,cellblockui.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",,,,,
,commander.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,commander.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",,,,,
,consul01.aws.ovo.id,"10.46.7.216, 10.46.6.44","ns-2018.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.46.7.216, 10.46.6.44",,
,cp1.ovo.id,,"ns-1815.awsdns-34.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1245.awsdns-27.org, ns-1815.awsdns-34.co.uk, ns-292.awsdns-36.com, ns-831.awsdns-39.net",,,,
,cp3.ovo.id,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,"ns-cloud-a3.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a4.googledomains.com",,,,
,cp6.ovo.id,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,"ns-cloud-a2.googledomains.com, ns-cloud-a3.googledomains.com, ns-cloud-a1.googledomains.com, ns-cloud-a4.googledomains.com",,,,
,cybvpn20.ovo.id,172.65.207.41,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"cybvpn20.ovo.id.cdn.cloudflare.net, d400a30a92d44e71b9d1c081e817bd10.pacloudflare.com",True,cloudflare,,,,,,
,dax-app.taralite.com,149.129.192.185,"elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
