new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,txt,mx
,sandbox.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,,
,settlement.ovo.id,,"chelsea.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:269b, 2606:4700:4400::ac40:9565","chelsea.ns.cloudflare.com, lennox.ns.cloudflare.com",,,,
,simon.ovo.id,139.255.74.219,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,smtp01.smtpcorp.ovo.id,139.255.74.234,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,smtp02.smtpcorp.ovo.id,139.255.74.235,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,smtp04.smtpcorp.ovo.id,139.255.74.237,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,smtp05.smtpcorp.ovo.id,139.255.74.238,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1270.awsdns-30.org, ns-1779.awsdns-30.co.uk, ns-344.awsdns-43.com, ns-752.awsdns-30.net",,,,
,spring-gw-pub01.cp6.ovo.id,34.149.75.187,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,True,google,,,,,,
,spring7.sg.aws.ovo.id,10.46.48.122,"ns-1731.awsdns-24.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.46.48.122,,
,staging.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::ac40:9169, 2606:4700:4400::6812:2a97",,,,,
,static.ovo.id,35.219.91.83,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,True,google,,,,,,
,stg-api.cp1.ovo.id,"104.18.37.155, 172.64.150.101","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,stg-api.cp1.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700:4400::ac40:9665, 2606:4700:4400::6812:259b",,,,,
,stg-apigw01.aws.ovo.id,"172.64.144.20, 104.18.43.236","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,stg-apigw01.aws.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700:4400::ac40:9014, 2606:4700:4400::6812:2bec",,,,,
,stg-verification.aws.ovo.id,"104.18.43.236, 172.64.144.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,stg-verification.aws.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700:4400::ac40:9014, 2606:4700:4400::6812:2bec",,,,,
,storage-dududev.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,storage-dududev.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",,,,,
,storage2-loyalty-image.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,storage2-loyalty-image.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",,,,,
,stream.ovo.id,103.85.66.4,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,summary.ovo.id,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,summary.ovo.id.cdn.cloudflare.net,,,,,,,,
,taralite.com,"172.64.145.105, 104.18.42.151, 108.162.192.136, 172.64.32.136, 173.245.58.136, 108.162.193.162, 172.64.33.162, 173.245.59.162","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169, 2606:4700:50::adf5:3a88, 2803:f800:50::6ca2:c088, 2a06:98c1:50::ac40:2088, 2606:4700:58::adf5:3ba2, 2803:f800:50::6ca2:c1a2, 2a06:98c1:50::ac40:21a2","nina.ns.cloudflare.com, elliot.ns.cloudflare.com",,,"google-site-verification=jnuO14qtLPFTDZznsYgxPMgYHYiONYBrth0SMsY7YTk, google-site-verification=VEJsJ7wXbGYRqCDPytE4nPx4YuKG-lD4sQfmk4i8_Xk, google-site-verification=4VZo7L-ieI2GCPV3b9HNMi88S0rvQsn4qByoZpW06sI, google-site-verification=Hnzwv4yJ20bUU8sQQr64eXgd3n8Vqw1qIh8S8pVBszg, v=spf1 a mx include:_spf.google.com include:spf.mandrillapp.com include:_spf.elasticemail.com ~all, atlassian-domain-verification=00wUdeMGfaC3KOVDKPVrhDoQ8DxSQ73ynhwLhg8WNdE1ZMX7ou3xrpWDmtUh65al","aspmx.l.google.com, aspmx2.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com"
,test.aws.ovo.id,13.251.93.95,"ns-2018.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,tracker.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,tracker.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",,,,,
,tracking.taralite.com,"188.165.1.80, 164.132.95.123, 46.105.88.234, 54.38.226.140, 94.23.161.19","ns-270.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,api.elasticemail.com,,,,,,,,
,user.taralite.com,"172.64.145.105, 104.18.42.151","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,"2606:4700:4400::6812:2a97, 2606:4700:4400::ac40:9169",,,,,
,vcc.taralite.com,"104.18.42.151, 172.64.145.105","elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
,web-dududev.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,web-dududev.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",,,,,
,webview.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,webview.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3914, 2606:4700::6811:3a14",,,,,
,www.dev-borrowerv2.taralite.com,216.58.212.176,"ns1.google.com, dns-admin.google.com",NOERROR,c.storage.googleapis.com,,,2a00:1450:4001:802::2010,,,,,
