input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,location,scheme,webserver,content_type,method,host,path,favicon,tech_,lines,failed,cdn,csp_domains_,tls_mismatched,final_url,chain_status_codes_,tls_subject_org_
academy.image.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://academy.image.jfrog.com:80,,http,CloudFront,text/html,GET,143.204.89.78,/,1073362989,Amazon Web Services,20,False,True,,,,,
academy.jfrog.com,JFrog Academy,200,360700,academy.jfrog.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,CN=*.jfrog.com,*.jfrog.com,jfrog.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2b635c942074773c3c4eddfeaa5c6225,50baee5ea3b5f87a55eb0a7524bade1b7987920c624e4970e348629540539a83,True,ctls,academy.jfrog.com,cloudfront,443,https://academy.jfrog.com:443,,https,gunicorn,text/html,GET,18.66.122.10,/,-286035390,gunicorn,5737,False,True,https://*.force.com,,,,
academycontent.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://academycontent.jfrog.com:80,,http,CloudFront,text/html,GET,143.204.89.102,/,-1514078418,Amazon Web Services,20,False,True,,,,,
administrator.jfrogtshirt.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://administrator.jfrogtshirt.jfrog.com:80,,http,CloudFront,text/html,GET,143.204.89.112,/,-1073843269,Amazon Web Services,20,False,True,,,,,
advocacy.jfrog.com,JFrog - Sign In,200,21230,jfrog.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,jfrog.okta.com,,443,https://advocacy.jfrog.com:443,,https,nginx,text/html,GET,52.204.233.198,/,-647468766,Nginx,501,False,,fonts.gstatic.com,,https://jfrog.okta.com/app/jfrog_influitive_2/exk1323wy1yz1pXSj5d7/sso/saml?SAMLRequest=fZJfT4MwFMW%2FCm99YtAOXNYACdliJJnGbGqML0spxXWDFnvL5vz08ifqfNDXm9855%2FbcRsDqqqFpa3dqLd5aAdZJAYSxUquFVtDWwmyEOUouHterGO2sbYB6HiuOmjN%2BnuxLo18nXNdeb%2BXxUYOcZWclFet9flQjrA%2BWDQrWNONoK1VZtdLKo9gST7wf8JRMT2d8%2FsDN82YfFjMPQA8JyMmWMdoWBZvlmBRuGMxLN8hz7DIuQjck%2FjTkhGGfBB0K0IpMgWXKxoj4ZOr6oevPH%2FAVDTH1gxfkPAkDw5Jk4iPnva4U0D4oRq1RVDOQQBWrBVDL6Sa9XdEOpOyrpEtJ87%2BmMdpqriuURD1Nh%2B1Mkn2%2F3U2HVq24afPIu2Si8U53nWe2vNeV5GcnrSp9WhjR8TGypu1Kv9amZvbvLfAEDxNZuOWAUlEzWaVFYQQA8pIx9feHSD4B,200,"Okta, Inc."
andersonnujiang.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://andersonnujiang.jfrog.com:80,,http,CloudFront,text/html,GET,143.204.89.102,/,-537452130,Amazon Web Services,20,False,True,,,,,
apacroadshow.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://apacroadshow.jfrog.com:80,,http,CloudFront,text/html,GET,143.204.89.112,/,-489548746,Amazon Web Services,20,False,True,,,,,
argamesifacgamesory-service-algamesiscale-com.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://argamesifacgamesory-service-algamesiscale-com.jfrog.com:80,,http,CloudFront,text/html,GET,143.204.89.78,/,810642169,Amazon Web Services,20,False,True,,,,,
artifactory.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://artifactory.jfrog.com:80,,http,CloudFront,text/html,GET,143.204.89.112,/,2109900165,Amazon Web Services,20,False,True,,,,,
artifactory.tesla-demo.jfrog.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,,cloudfront,80,http://artifactory.tesla-demo.jfrog.com:80,,http,CloudFront,text/html,GET,143.204.89.102,/,2020671073,Amazon Web Services,20,False,True,,,,,
