new,host,a,aaaa,soa,txt,status_code,cdn,cdn-name,ns,cname,caa,mx,has_internal_ips,internal_ips
[x],000.0-0hread318bt3a7q4-tw-okta-0.canva-apps.com,"104.18.31.3, 104.18.30.3","2606:4700::6812:1e03, 2606:4700::6812:1f03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-cfg.01-urlscheme.canva-apps.com,"104.18.30.3, 104.18.31.3","2606:4700::6812:1e03, 2606:4700::6812:1f03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-cfg.ci.0dev1.canva-apps.com,"104.18.31.3, 104.18.30.3","2606:4700::6812:1f03, 2606:4700::6812:1e03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-idp-633c81740a35795cb10dc799b93c4137.frontpage.sso.app-west.canva-apps.com,"104.18.30.3, 104.18.31.3","2606:4700::6812:1e03, 2606:4700::6812:1f03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-idp-ids.frontpage.sso.app-west.canva-apps.com,"104.18.31.3, 104.18.30.3","2606:4700::6812:1f03, 2606:4700::6812:1e03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-idp.adilike.marina.sso.app-west.canva-apps.cn,175.6.13.45,240e:c2:1800:12a:3c8e:fc17:e3ca:fffe,"ns125.dns.cf-ns.net, dns.cloudflare.com",,NOERROR,,,,,,,,
[x],00000-okta-idp.app-west.sso.app-west.canva-apps.com,"104.18.30.3, 104.18.31.3","2606:4700::6812:1e03, 2606:4700::6812:1f03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-idp.conttoolbartappfrontpage.sso.app-west.canva-apps.com,"104.18.30.3, 104.18.31.3","2606:4700::6812:1e03, 2606:4700::6812:1f03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-idp.frontapi.sso.app-west.canva-apps.com,"104.18.30.3, 104.18.31.3","2606:4700::6812:1f03, 2606:4700::6812:1e03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-idp.frontgcfc-201604121520.sso.app-west.canva-apps.com,"104.18.31.3, 104.18.30.3","2606:4700::6812:1f03, 2606:4700::6812:1e03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-idp.frontpage-ci.sso.app-west.canva-apps.com,"104.18.31.3, 104.18.30.3","2606:4700::6812:1e03, 2606:4700::6812:1f03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-idp.frontpage-iad.sso.app-west.canva-apps.com,"104.18.31.3, 104.18.30.3","2606:4700::6812:1f03, 2606:4700::6812:1e03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-idp.frontpage-train.sso.app-west.canva-apps.com,"104.18.31.3, 104.18.30.3","2606:4700::6812:1e03, 2606:4700::6812:1f03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
[x],00000-okta-idp.frontpage-us.sso.app-west.canva-apps.com,"104.18.30.3, 104.18.31.3","2606:4700::6812:1e03, 2606:4700::6812:1f03","damon.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,,,
