input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_expired
00000-okta-idp.frontpage.sso.v22016021534431641.app-west.canva-apps.com,400 The plain HTTP request was sent to HTTPS port,,655,,,,,,,,,,,,,,443,http://00000-okta-idp.frontpage.sso.v22016021534431641.app-west.canva-apps.com:443,http,cloudflare,text/html,GET,104.18.30.3,Cloudflare,15,True,
107-okta-network-metrics-preview-sbsgcustomer.test.canva-apps.com,,,16,,,,,,,,,,,,,,80,http://107-okta-network-metrics-preview-sbsgcustomer.test.canva-apps.com:80,http,cloudflare,text/plain,GET,104.18.30.3,Cloudflare,1,True,
1p-sc.canva.com,1Password SCIM bridge,,559,1p-sc.canva.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T01:37:32Z,CN=1p-sc.canva.com,1p-sc.canva.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,1p-sc.canva.com,443,https://1p-sc.canva.com:443,https,,text/html,GET,34.83.150.148,,1,True,
about.canva.cn,Just a moment...,,6806,www.canva.cn,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,CN=*.canva.cn,*.canva.cn,,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ctls,www.canva.cn,80,http://about.canva.cn:80,http,cloudflare,text/html,GET,124.225.84.77,HTTP/3,87,,
about.canva.com,Attention Required! | Cloudflare,,4510,about.canva.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,"CN=canva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",canva.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,about.canva.com,443,https://about.canva.com:443,https,cloudflare,text/html,GET,104.16.227.10,HTTP/3,94,True,
advocates.canva.com,,,,advocates.canva.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-09T18:27:10Z,CN=advocates.canva.com,advocates.canva.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,advocates.canva.com,443,https://advocates.canva.com:443,https,,,GET,54.185.21.100,HSTS,1,,
affiliates.canva.com,Just a moment...,,7196,www.canva.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,"CN=canva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",canva.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.canva.com,443,https://affiliates.canva.com:443,https,cloudflare,text/html,GET,35.167.2.78,HTTP/3,87,,
api.canva.cn,,,58,api.canva.cn,443,tls13,TLS_AES_128_GCM_SHA256,2022-06-17T00:00:00Z,CN=*.canva.cn,*.canva.cn,,"CN=Gandi Standard SSL CA 2, O=Gandi, L=Paris, ST=Paris, C=FR",Gandi Standard SSL CA 2,Gandi,ctls,api.canva.cn,443,https://api.canva.cn:443,https,cloudflare,text/javascript,GET,183.204.41.179,HTTP/3,1,,
api.canva.com,,,58,api.canva.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,"CN=canva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",canva.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,api.canva.com,443,https://api.canva.com:443,https,cloudflare,text/javascript,GET,104.16.226.10,HTTP/3,1,True,
app-resources.canva.com,,,243,app-resources.canva.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,"CN=canva.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",canva.com,"Cloudflare, Inc.","CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,app-resources.canva.com,443,https://app-resources.canva.com:443,https,cloudflare,application/xml,GET,104.16.227.10,HTTP/3,2,True,
