new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,txt
,login.dushu.xiaomi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,logout.account.xiaomi.com,20.47.96.104,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,logout.miui.com,20.47.96.104,,logout.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,logout.miwifi.com,20.47.96.104,,logout.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,logout.xiaomi.com,161.117.97.69,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,logs.open-staging.cloud.mi.com,120.92.85.96,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,logupdate.avlyun.sec.miui.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,lp.account.xiaomi.com,20.47.97.125,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,"ns3.dnsv5.com, ns4.dnsv5.com",,,,
,m.beehive.in.intl.miui.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,m.buy.mi.com,"161.117.97.242, 161.117.95.164",,sgp.ali.i18n.lb.mi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,m.hk.mibi.mi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,m.hk.mibi.xiaomi.com,161.117.73.242,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,m.jr.mi.com,161.117.71.70,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,m.mi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,"ns3.dnsv5.com, ns4.dnsv5.com",,,,
,m.mibi.mi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,m.mibi.xiaomi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,m.one.mi.com,60.205.203.189,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,m.pay.xiaomi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,m.staging.mibi.n.xiaomi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,m.store.mi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,"ns3.dnsv5.com, ns4.dnsv5.com",,,,
,m.track.ad.xiaomi.com,"183.84.6.79, 120.133.33.65",,track.ad.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,m.video.xiaomi.com,"124.251.101.3, 183.84.5.56",,mvl7.pandora.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,m.xiaomi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,m.xiaomiyoupin.com,"183.84.6.228, 58.83.177.231",2403:a200:a200:14f1::e,"cname.xiaomiyoupin.com, bgp.cname.xiaomiyoupin.com","ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,maiba.sys.tv.mi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,mail.global.shop,,,,"april.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,mail.miui.com,180.186.32.196,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mail.s.miui.com,180.186.32.250,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,mail.xiaomi.com,"47.241.23.212, 118.143.206.94, 207.226.244.125",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,mail.xiaomi.com,v=spf1 include:spf_bj.mxmail.xiaomi.com include:spf_hk.mxmail.xiaomi.com  -all
,mail1.xiaomi.com,,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,"ns3.dnsv5.com, ns4.dnsv5.com",,,mail.xiaomi.com,
,maizhenapi.ad.xiaomi.com,,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,mall.10046.mi.com,58.83.177.131,,5-c3.mishop.bgp.neo.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,market.mi.com,"124.251.100.130, 183.84.7.86",,matrix-pub-c3-c4.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,market.xiaomi.com,47.241.108.132,,extranet.ap-southeast-1.miui-l7-thm.6fmqonsxq3.elb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,"ns4.dnsv5.com, ns3.dnsv5.com",,,,
,matrix-pri-alisgp.alb.xiaomi.com,"8.219.246.161, 8.219.247.27, 47.241.97.200",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,matrix-pri-ksmos-epc.alb.xiaomi.com,"107.155.53.1, 107.155.51.204",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
,matrix-pub-c3-c4.alb.xiaomi.com,"124.251.100.130, 183.84.7.86",,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,,,,,
