input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,lines,webserver,tech_,tls_self_signed,tls_subject_org_,tls_expired,cdn
5-c3.i18n.bgp.neo.xiaomi.com,,,21,5-c3.i18n.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-06T02:07:44Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.i18n.bgp.neo.xiaomi.com,443,https://5-c3.i18n.bgp.neo.xiaomi.com:443,https,text/html,GET,124.251.58.227,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.infoarch.bgp.neo.xiaomi.com,,,21,5-c3.infoarch.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-23T08:26:56Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.infoarch.bgp.neo.xiaomi.com,443,https://5-c3.infoarch.bgp.neo.xiaomi.com:443,https,text/html,GET,124.251.58.228,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.internation.bgp.neo.xiaomi.com,,,21,5-c3.internation.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-28T10:06:50Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.internation.bgp.neo.xiaomi.com,443,https://5-c3.internation.bgp.neo.xiaomi.com:443,https,text/html,GET,124.251.100.96,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.mici.bgp.neo.xiaomi.com,,,21,5-c3.mici.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-23T08:37:08Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.mici.bgp.neo.xiaomi.com,443,https://5-c3.mici.bgp.neo.xiaomi.com:443,https,text/html,GET,120.133.33.45,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.mici.ctc.neo.xiaomi.com,,,21,5-c3.mici.ctc.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-23T08:37:08Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.mici.ctc.neo.xiaomi.com,443,https://5-c3.mici.ctc.neo.xiaomi.com:443,https,text/html,GET,203.100.92.218,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.mikfs.bgp.neo.xiaomi.com,,,21,5-c3.mikfs.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-14T08:14:43Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.mikfs.bgp.neo.xiaomi.com,443,https://5-c3.mikfs.bgp.neo.xiaomi.com:443,https,text/html,GET,58.83.177.36,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.mikfs.cnc.neo.xiaomi.com,,,21,5-c3.mikfs.cnc.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-14T08:14:43Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.mikfs.cnc.neo.xiaomi.com,443,https://5-c3.mikfs.cnc.neo.xiaomi.com:443,https,text/html,GET,111.206.101.151,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.mikfs.ctc.neo.xiaomi.com,,,21,5-c3.mikfs.ctc.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-14T08:14:43Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.mikfs.ctc.neo.xiaomi.com,443,https://5-c3.mikfs.ctc.neo.xiaomi.com:443,https,text/html,GET,203.100.92.168,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.mikfs.mob.neo.xiaomi.com,,,21,5-c3.mikfs.mob.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-14T08:14:43Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.mikfs.mob.neo.xiaomi.com,443,https://5-c3.mikfs.mob.neo.xiaomi.com:443,https,text/html,GET,111.13.213.179,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
5-c3.mims.bgp.neo.xiaomi.com,,,21,5-c3.mims.bgp.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-14T08:17:43Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,5-c3.mims.bgp.neo.xiaomi.com,443,https://5-c3.mims.bgp.neo.xiaomi.com:443,https,text/html,GET,124.251.58.231,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
