new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,mx,ns,txt,caa,has_internal_ips,internal_ips
[x],dtl.my.onetrust.com,"172.64.144.98, 104.18.43.158","2606:4700:4400::6812:2b9e, 2606:4700:4400::ac40:9062","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],ebooks.onetrust.com,54.144.161.188,,"ns-264.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,,,online.flippingbook.com,,,"google-site-verification=XKEcHVSZD_ObhHDNe_CDjmkCPZf2je2_iCwvfFnl5qU, google-site-verification=ySqGKv9GzVRsyFVS1G6k6uHasbV2KGZfNppNzBs-4rU, google-site-verification=yC3Wj3BU3ozSpEMN9Hcf-6pZbFpJLfDg0-BPbVf9fH8",,,
[x],echelonfit.my.onetrust.com,"172.64.144.98, 104.18.43.158","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],ect.my.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::6812:2b9e, 2606:4700:4400::ac40:9062",,NOERROR,True,cloudflare,,,,,,,
[x],edreamsodigeo-privacy.my.onetrust.com,"172.64.144.98, 104.18.43.158","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],edreamsodigeo.my.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],ehs.my.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],elq.onetrust.com,,,"bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],elv-privacidade.my.onetrust.com,"172.64.144.98, 104.18.43.158","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],elv.my.onetrust.com,"172.64.144.98, 104.18.43.158","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],email.onetrust.com,34.102.239.211,,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,mailgun.org,"mxa.mailgun.org, mxb.mailgun.org","ns-133.awsdns-16.com, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net","google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds","digicert.com, letsencrypt.org, ;",,
[x],emeraldx.my.onetrust.com,"172.64.144.98, 104.18.43.158","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],ems-privacy.my.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],ems.my.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],engieimpact-privacy.my.onetrust.com,"104.18.43.158, 172.64.144.98","2606:4700:4400::ac40:9062, 2606:4700:4400::6812:2b9e","bob.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
