new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,txt,mx,has_internal_ips,internal_ips,caa
[x],fiori-test.corp.fitbit.com,34.94.40.239,fiori-test.webproxy-fitbit-corpit-us-west2.fitbit.googleacquisitionmigration.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],fiori.corp.fitbit.com,34.94.40.239,fiori.webproxy-fitbit-corpit-us-west2.fitbit.googleacquisitionmigration.com,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],fiori.extqa.corp.fitbit.com,35.219.153.171,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],firmwareci.fitbit.com,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,"ns-cloud-a1.googledomains.com, ns-cloud-a2.googledomains.com, ns-cloud-a4.googledomains.com, ns-cloud-a3.googledomains.com",,,,,
[x],fitbit.com,"34.149.183.214, 216.239.32.108, 216.239.34.108, 216.239.36.108, 216.239.38.108",,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,"2001:4860:4802:32::6c, 2001:4860:4802:34::6c, 2001:4860:4802:36::6c, 2001:4860:4802:38::6c","ns-cloud-c3.googledomains.com, ns-cloud-c1.googledomains.com, ns-cloud-c2.googledomains.com, ns-cloud-c4.googledomains.com","google-site-verification=Y7GptzokuVshksNAWZED8PW3S3Xr5sfebeuMTalqhCo, google-site-verification=1EUreHjvfTPdM92mEDaBlh5Jf1hessrNpHEq55-IgyA, google-site-verification=uUaI8PRbQduOXOU8-MnYKpgwCC96GCehelu_Ak-_NIM, google-site-verification=PkxmgWQ_adG11A7VvrV9A116snIoKoDrHETiqA3EENU, v=spf1 ip4:169.45.146.28 ip4:209.249.223.128/26 ip4:167.89.100.142 ip4:167.89.100.139 ip4:167.89.18.128 ip4:198.21.0.21 ip4:198.61.141.233 ip4:34.215.113.156 ip4:149.72.229.152 ip4:168.245.93.230 include:_spf.salesforce.com include:pr.highradius.com inclu, de:_spf.google.com include:spf.protection.outlook.com -all, google-site-verification=-zj5fbsDCwi0LB7tCuiRy63kbzz9FbEGbzIyC1quHRc, MS=ms87091858, teamviewer-sso-verification=f0be8088517c46e1a3f25187a80ea3be, 1515e6bddbdf460888c0eb11976b917c, apple-domain-verification=52Sm0A7aDmBkPrCs, google-site-verification=4M90OLfRaLCXaOUitbRk_DSRDs0XIsQKYcOUvUv8RHI, google-site-verification=7Cz3l28I3wSpNQsEvgbWzXSDpeFRx9a_vDYLnKl6wKE, google-site-verification=UEPZ83OxuqAf4-OKukgWdquH_la9QtFIIBC3qESr1Pg, google-site-verification=tEQkcvcuVdA57tlIAsM46eEta36sDIakPZenSOLNVkY, smartsheet-site-validation=UVRhNxt2fbi6C3dPzauGVz7zrokmC8fk, _globalsign-domain-verification=9UioyPO0_F2Epyd3gGV5_VklXzoibTukD_jkbZPw43",fitbit-com.mail.protection.outlook.com,,,"pki.goog, digicert.com, amazon.com"
[x],fitbit2google.site-ops.fitbit.com,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],fitforgood.fitbit.com,,d1oupdtaptptwn.cloudfront.net,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,,,,,,
[x],fitstar.com,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,"ns-cloud-b1.googledomains.com, ns-cloud-b2.googledomains.com, ns-cloud-b3.googledomains.com, ns-cloud-b4.googledomains.com","MS=ms20215880, 4k16pkfj280fd2gqsf4s9l80408cf22t, 8f3x4s000ywcldrdq4vz5hpgzph7sryj, google-site-verification=Yjgz-_9834cy-pwOFN367MLGn88ew2Bv-2wKp0Br10c, v=spf1 ip4:13.111.15.117 ip4:13.111.15.118 include:spf.protection.outlook.com include:_spf.google.com include:_spf.salesforce.com -all",fitstar-com.mail.protection.outlook.com,,,pki.goog
[x],fsc-gcp.fitbit.com,34.102.155.183,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],fsc.fitbit.com,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,
[x],fw.fitbit.com,"104.16.65.50, 104.16.66.50",fw.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],g2f.site-ops.fitbit.com,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,,,,
[x],gallery.fitbit.com,"104.16.65.50, 104.16.66.50",gallery.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
