input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,tech_,lines,failed,cdn,content_type,csp_domains_,tls_subject_org_,tls_mismatched,tls_wildcard_certificate,final_url,chain_status_codes_
1.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,ctls,alt.staging-airtableblocks.com,,443,https://1.staging-airtableblocks.com:443,https,nginx,GET,34.192.12.35,/,-304007040,Nginx,29,False,,text/html,,,True,True,https://alt.staging-airtableblocks.com:443/,406
109143-20-6.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,ctls,alt.staging-airtableblocks.com,,443,https://109143-20-6.staging-airtableblocks.com:443,https,nginx,GET,54.173.163.126,/,-304007040,Nginx,29,False,,text/html,,,True,True,https://alt.staging-airtableblocks.com:443/,406
111enterprise-bundlesks-vendingtransactions-mq2-okta.data.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,ctls,alt.staging-airtableblocks.com,,443,https://111enterprise-bundlesks-vendingtransactions-mq2-okta.data.staging-airtableblocks.com:443,https,nginx,GET,184.73.80.41,/,-304007040,Nginx,29,False,,text/html,,,True,True,https://alt.staging-airtableblocks.com:443/,406
1debit.4ba16751-dreambt-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-dreambt-bcc738dc-this-exist.panel.okta.staging-airtableblocks.com:443,https,nginx,GET,34.192.12.35,/,-304007040,Nginx,29,False,,text/html,,,True,True,https://alt.staging-airtableblocks.com:443/,406
1debit.4ba16751-testnoblogsdomain-bcc738dc-this-blogs.panel.okta.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-testnoblogsdomain-bcc738dc-this-blogs.panel.okta.staging-airtableblocks.com:443,https,nginx,GET,34.192.12.35,/,-304007040,Nginx,29,False,,text/html,,,True,True,https://alt.staging-airtableblocks.com:443/,406
1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist-us-east-1.panel.okta.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist-us-east-1.panel.okta.staging-airtableblocks.com:443,https,nginx,GET,54.173.163.126,/,-304007040,Nginx,29,False,,text/html,,,True,True,https://alt.staging-airtableblocks.com:443/,406
1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.beta-panel.okta.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.beta-panel.okta.staging-airtableblocks.com:443,https,nginx,GET,184.73.80.41,/,-304007040,Nginx,29,False,,text/html,,,True,True,https://alt.staging-airtableblocks.com:443/,406
1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.metrics.panel.okta.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.metrics.panel.okta.staging-airtableblocks.com:443,https,nginx,GET,184.73.80.41,/,-304007040,Nginx,29,False,,text/html,,,True,True,https://alt.staging-airtableblocks.com:443/,406
1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.ns2-panel.okta.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.ns2-panel.okta.staging-airtableblocks.com:443,https,nginx,GET,34.192.12.35,/,-304007040,Nginx,29,False,,text/html,,,True,True,https://alt.staging-airtableblocks.com:443/,406
1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel-miggaiowski.okta.staging-airtableblocks.com,Airtable,406,1265,alt.staging-airtableblocks.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-07-12T23:59:59Z,CN=*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,*.alt.staging-airtableblocks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9b6d0fc3405ce64657abda68fbe34096,16d5eb6e121711bb1c2f01c19bbd60da2a6a0f324a6e825c964f6e65b14f88b7,ctls,alt.staging-airtableblocks.com,,443,https://1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel-miggaiowski.okta.staging-airtableblocks.com:443,https,nginx,GET,34.192.12.35,/,-304007040,Nginx,29,False,,text/html,,,True,True,https://alt.staging-airtableblocks.com:443/,406
