input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,final_url,csp_domains_,cdn_name,cdn
aamk.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://aamk.site.amitree.com:443,https,nginx,text/html,GET,54.162.128.250,/,418802797,18.205.36.100,WordPress,251,False,,https://www.amitree.com/,,,
access-polar.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://access-polar.site.amitree.com:443,https,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
access-tpicollection.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://access-tpicollection.site.amitree.com:443,https,nginx,text/html,GET,18.205.36.100,/,418802797,54.162.128.250,WordPress,251,False,,https://www.amitree.com/,,,
accessjenkinsv2.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,80,http://accessjenkinsv2.site.amitree.com:80,http,nginx,text/html,GET,18.205.36.100,/,418802797,54.162.128.250,WordPress,251,False,,https://www.amitree.com/,,,
aft01.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,80,http://aft01.site.amitree.com:80,http,nginx,text/html,GET,54.162.128.250,/,418802797,18.205.36.100,WordPress,251,False,,https://www.amitree.com/,,,
alias-api-au-oidc.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://alias-api-au-oidc.site.amitree.com:443,https,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
alpha-alpha-s3-chef-status-stagingdefaultproduction.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://alpha-alpha-s3-chef-status-stagingdefaultproduction.site.amitree.com:443,https,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
alpha-new-relay.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://alpha-new-relay.site.amitree.com:443,https,nginx,text/html,GET,18.205.36.100,/,418802797,54.162.128.250,WordPress,251,False,,https://www.amitree.com/,,,
amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://amitree.com:443,https,nginx,text/html,GET,54.162.128.250,/,418802797,18.205.36.100,WordPress,251,False,,https://www.amitree.com/,,,
ampmember-forum.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://ampmember-forum.amitree.com:443,https,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
