input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,final_url,csp_domains_,cdn_name,cdn
antedated.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://antedated.site.amitree.com:443,https,nginx,text/html,GET,54.162.128.250,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
apiadmin-s8.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://apiadmin-s8.site.amitree.com:443,https,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
apiartiproxyb.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://apiartiproxyb.site.amitree.com:443,https,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
apisysteminternal.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,80,http://apisysteminternal.site.amitree.com:80,http,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
appsinternalglobal.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://appsinternalglobal.amitree.com:443,https,nginx,text/html,GET,54.162.128.250,/,418802797,18.205.36.100,WordPress,251,False,,https://www.amitree.com/,,,
archiveedtech.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://archiveedtech.site.amitree.com:443,https,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
ash2-gaboheliosagent-a4.bankrate.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://ash2-gaboheliosagent-a4.bankrate.amitree.com:443,https,nginx,text/html,GET,52.204.242.176,/,418802797,18.205.36.100,WordPress,251,False,,https://www.amitree.com/,,,
assets-customersimg-site.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,80,http://assets-customersimg-site.site.amitree.com:80,http,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
assets-teamalpha-portal.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://assets-teamalpha-portal.site.amitree.com:443,https,nginx,text/html,GET,54.162.128.250,/,,18.205.36.100,WordPress,251,False,,https://www.amitree.com/,,,
atl-prd-esmasdata-02a.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://atl-prd-esmasdata-02a.site.amitree.com:443,https,nginx,text/html,GET,54.162.128.250,/,418802797,54.157.58.70,WordPress,251,False,,https://www.amitree.com/,,,
atl-prd-sus-02a.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,80,http://atl-prd-sus-02a.site.amitree.com:80,http,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
atl-stg-rpsvcs-01b.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://atl-stg-rpsvcs-01b.site.amitree.com:443,https,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
auth-researchbackups-www-test.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://auth-researchbackups-www-test.site.amitree.com:443,https,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
axe-7-1-2.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,80,http://axe-7-1-2.site.amitree.com:80,http,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
backupbucketauthteamregister.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://backupbucketauthteamregister.site.amitree.com:443,https,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
bankrate.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://bankrate.amitree.com:443,https,nginx,text/html,GET,54.162.128.250,/,418802797,54.157.58.70,WordPress,251,False,,https://www.amitree.com/,,,
bas3-2-con.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,80,http://bas3-2-con.site.amitree.com:80,http,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
beta-img6.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://beta-img6.site.amitree.com:443,https,nginx,text/html,GET,54.162.128.250,/,418802797,18.205.36.100,WordPress,251,False,,https://www.amitree.com/,,,
bid46dx.site.amitree.com,Folio by Amitree,200,350832,www.amitree.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-16T20:56:23Z,2023-07-15T20:56:22Z,CN=*.amitree.com,*.amitree.com,*.amitree.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,acb861ef8bd349565c4154e0569ed588,6b6abe603764ccf6cec68f74474c21d13c1137a32ef91ceae0993a5b5d3c8bc1,True,ctls,www.amitree.com,443,https://bid46dx.site.amitree.com:443,https,nginx,text/html,GET,54.157.58.70,/,418802797,52.204.242.176,WordPress,251,False,,https://www.amitree.com/,,,
