new,host,a,cname,soa,status_code,mx,ns,txt
[x],bmc.nl,"18.202.82.163, 176.34.132.79",,"ns-1697.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"alt4.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-708.awsdns-24.net, ns-1444.awsdns-52.org, ns-100.awsdns-12.com, ns-1697.awsdns-20.co.uk","bw+i/t3MjrReHCTVVaBbgWs23sLbvhjqvFfeCDUD1Sdw91oGNopbFNtzz1sQKWiRXEt7Xgsfr4HBAXmS98nUUw==, onetrust-domain-verification=6233bdadbc674076886a91a1b23fd133, google-site-verification=IMDp3qOb9XyejyzwsVuObJ_HcCGbZCxHM84esd4pJ9E, v=spf1 include:spf.formdesk.com include:servers.mcsv.net include:_spf.google.com include:spf.viper365.nl a:c.spf.service-now.com ip4:54.240.90.157 ip4:54.240.90.158 ip4:185.2.25.42/32 ip4:145.131.174.99/32 ~all, MS=25E506741EB3F62F063C2E1B781E77F47B89DF15, SFMC-ApANKmozIO1utH5c35CHC9Octf39S7a1Sgle9pDH, google-site-verification=D5wUmtP5y0uBe_xuf5nQxebUqLd_bYP-QoS3l5qGH8Q, MS=ms86770196, atlassian-domain-verification=k68y70oNgJC4eZeAmJIHZ2aO4iWqzW5JtiXbnPgOhgTgab/RxiEWAfW1etrnw0qy"
[x],loon.bmc.nl,,,,NOERROR,,,
[x],mailfilter1.bmc.nl,,,,NOERROR,,,
[x],www.bmc.nl,"18.202.82.163, 176.34.132.79",,"ns-1697.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,
[x],zzp.bmc.nl,"52.51.240.221, 52.212.163.77","zzp-app.bmc.nl, alb-nl-prd-ext-bmcweb-zzpapp-135260609.eu-west-1.elb.amazonaws.com","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,
