new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns
[x],api.bkex.com,"104.18.7.109, 104.18.6.109","2606:4700::6812:76d, 2606:4700::6812:66d",api.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,
[x],bkk.fun,,,,"dns21.hichina.com, hostmaster.hichina.com",NOERROR,,,"dns22.hichina.com, dns21.hichina.com"
[x],broker.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:76d, 2606:4700::6812:66d",broker.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,
[x],c2c.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:76d, 2606:4700::6812:66d",c2c.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,
[x],download.bkk.fun,47.56.33.36,,oss-hk-pub-read.oss-cn-hongkong.aliyuncs.com,"hidden-master.aliyun.com, hostmaster.aliyun-inc.com",NOERROR,,,
[x],fapi.bkex.com,"104.18.7.109, 104.18.6.109","2606:4700::6812:76d, 2606:4700::6812:66d",fapi.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,
[x],follow.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:76d, 2606:4700::6812:66d",follow.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,
[x],h5.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:76d, 2606:4700::6812:66d",h5.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,
[x],m.bkex.com,,,m.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,
[x],otc.bkex.com,"104.18.6.109, 104.18.7.109","2606:4700::6812:76d, 2606:4700::6812:66d",otc.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,
[x],swap.bkex.com,"104.18.7.109, 104.18.6.109","2606:4700::6812:66d, 2606:4700::6812:76d",swap.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,
[x],www.bkex.com,"104.18.7.109, 104.18.6.109","2606:4700::6812:76d, 2606:4700::6812:66d",www.bkex.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,
[x],www.google.com.channel.signin.verification.attachment.bkk.fun,162.125.17.131,,,"dns21.hichina.com, hostmaster.hichina.com",NOERROR,,,
[x],www.google.com.developers.signin.verification.attachment.bkk.fun,104.244.43.52,2a03:2880:f129:83:face:b00c:0:25de,,,NOERROR,,,
[x],www.google.com.domtest.signin.verification.attachment.bkk.fun,,2a03:2880:f12c:183:face:b00c:0:25de,,"dns21.hichina.com, hostmaster.hichina.com",NOERROR,,,
[x],www.google.com.googledocs.signin.verification.admin.bkk.fun,128.242.240.29,2a03:2880:f131:83:face:b00c:0:25de,,,NOERROR,,,
[x],www.google.com.googledocs.signin.verification.applications.bkk.fun,108.160.166.62,2a03:2880:f11b:83:face:b00c:0:25de,,,NOERROR,,,
[x],www.google.com.googledocs.signin.verification.comlwww.bkk.fun,128.242.245.253,2a03:2880:f129:83:face:b00c:0:25de,,,NOERROR,,,
[x],www.google.com.googledocs.signin.verification.dev.bkk.fun,179.60.193.16,2a03:2880:f136:83:face:b00c:0:25de,,,NOERROR,,,
[x],www.google.com.googledocs.signin.verification.platform.bkk.fun,59.24.3.173,2a03:2880:f130:83:face:b00c:0:25de,,,NOERROR,,,
[x],www.google.com.googledocs.signin.verification.secure.bkk.fun,199.59.148.106,2a03:2880:f11f:83:face:b00c:0:25de,,,NOERROR,,,
[x],www.google.com.signin.signin.verification.attachment.bkk.fun,,,,,NOERROR,,,
[x],www.google.com.svc.signin.verification.attachment.bkk.fun,74.86.142.55,,,,NOERROR,,,
