input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,csp_domains_,tls_wildcard_certificate,webserver,cdn_name,cdn
accounts.letsbuild.com,,404,,accounts.letsbuild.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-11-07T23:59:59Z,CN=*.letsbuild.com,*.letsbuild.com,*.letsbuild.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,3e2290a9f7a2b27995a9c1a932b8999f,eff7fe956ed118d6dfc3f1b08ee1b616bd5045089c8f7576a625015d1bb1aee6,ctls,accounts.letsbuild.com,80,http://accounts.letsbuild.com:80,http,,GET,34.242.142.238,/,-1840324437,34.255.88.88,Microsoft ASP.NET,1,False,https://accounts.letsbuild.com:443/,,True,Kestrel,,
admin-dev.site-diary.letsbuild.com,Site Diary Admin,200,504,admin-dev.site-diary.letsbuild.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-18T22:14:36Z,2023-06-16T22:14:35Z,CN=www.appikorn.com,www.appikorn.com,xn--santogrocorretora-eqb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3df0f6f47af9326f9ae8246c8cf4706c,906aa0f9cb106f92239bbf45f1be4452bca2e4409d2edf0ffe8df17b06b7471a,ctls,admin-dev.site-diary.letsbuild.com,443,https://admin-dev.site-diary.letsbuild.com:443,https,text/html,GET,199.36.158.100,/,773242669,199.36.158.100,HTTP/3,17,False,,,,,,
admin.site-diary.letsbuild.com,Site Diary Admin,200,504,admin.site-diary.letsbuild.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-18T22:14:36Z,2023-06-16T22:14:35Z,CN=www.appikorn.com,www.appikorn.com,xn--santogrocorretora-eqb.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3df0f6f47af9326f9ae8246c8cf4706c,906aa0f9cb106f92239bbf45f1be4452bca2e4409d2edf0ffe8df17b06b7471a,ctls,admin.site-diary.letsbuild.com,80,http://admin.site-diary.letsbuild.com:80,http,text/html,GET,199.36.158.100,/,747144707,199.36.158.100,HTTP/3,17,False,https://admin.site-diary.letsbuild.com/,,,,,
app.letsbuild.com,- LetsBuild Accounts,200,9481,myaccount.app.letsbuild.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-09T08:49:07Z,2023-08-07T08:49:06Z,CN=*.production.prod1.eu-west-1.aws.prod.lb4.co,*.production.prod1.eu-west-1.aws.prod.lb4.co,production.prod1.eu-west-1.aws.prod.lb4.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f08e800bd204c9afb29d81193a5442b6,2a0636fbf144b5b4e3f749d50af259674704fac7b4c7ab55f6a864179cc34fa0,ctls,myaccount.app.letsbuild.com,443,https://app.letsbuild.com:443,https,text/html,GET,34.243.66.103,/,1512782414,52.215.151.93,Microsoft ASP.NET,103,False,https://myaccount.app.letsbuild.com/login?ReturnUrl=%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3DNGVkZDUyMWMtZDMwNi00OWUxLWJjYTItNjQ5MTE3MTc4OGE4%26redirect_uri%3Dhttps%253A%252F%252Fapp.letsbuild.com%252Fsignin-oidc%26response_type%3Dcode%26scope%3Dopenid%2520profile%2520lbbackend%2520email%2520comments.read%2520comments.write%2520documents.read%2520documents.write%2520audit-trail.read%2520phone%2520offline_access%26code_challenge%3DWoioT2OJBqNY9uJvWQz0cK8UVsGIdP1BX-CByvgbBoA%26code_challenge_method%3DS256%26response_mode%3Dform_post%26nonce%3D638194001807098995.ZTUzZDYzYzEtZGRkNi00NGM2LWI0ZTMtMTI2NTlhNGFiMDgzM2ExZDllNTQtZGNmMi00MDE2LWIwYzktODM0NjNhMjUxYTMz%26state%3DCfDJ8ButRlV_-O9EpuFrH-OAcfKdjua_nx58ObrFEyHqpIseY8-OA-Gdz8oyFdapoQCuAZ1sXuhkB4UkU8RT4LcTQlufRJuuYxYmZJYSe5zmckSpGe7ZpogsK8O9ug_-JNn3v1GRnhEPYS94H97VkIwWOskxi6xyqicNNebO0veKllLOpXmqZu0Xve2xKjgiXeLUR-j_lSfrAlk3TSCCpVOXh20bAUx1MLx-ZYByPch4Xy7OvoHlYMUKrrTz66kKqa4TxpCHga2HB6HDvRXKk-T03M8I-YKHVRx7xotdR1W2s-yC48E_iRRG5QOltRkP5dsTyw08kzBtPFccfMgRqZznHvCfuiX91xP3R9eOEaQGy07AlECpI7Zgypbl0JeRnn9liQ,https://lh3.googleusercontent.com,True,,,
dev.site-diary.letsbuild.com,LB Site Diary,200,462,dev.site-diary.letsbuild.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-23T00:56:42Z,2023-06-21T00:56:41Z,CN=site-diary.letsbuild.com,site-diary.letsbuild.com,site-diary.letsbuild.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1aefdcf96e7756e6a4cf064a4e9ec85f,f9cfc1201879fb3fb2799ec5707b65bebab86624c67041f7c5070e7817ab4665,ctls,dev.site-diary.letsbuild.com,443,https://dev.site-diary.letsbuild.com:443,https,text/html,GET,199.36.158.100,/,-343057121,199.36.158.100,HTTP/3,16,False,,,,,,
help.letsbuild.com,Help Center,200,43269,help.letsbuild.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-12-24T23:59:59Z,CN=*.letsbuild.com,*.letsbuild.com,*.letsbuild.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,eecb63e1ddb0223951397b800200b458,a08b6497a85c85a0087dd1d1b58dd9d216827d4336c62c4cf6cba939aa020777,ctls,help.letsbuild.com,443,https://help.letsbuild.com:443,https,text/html,GET,13.32.99.9,/,-1840324437,13.32.99.43,Nginx,22,False,https://help.letsbuild.com/en/,https://marketing.intercomassets.com,True,nginx,cloudfront,True
https://lh3.googleusercontent.com,Error 400 (Bad Request)!!1,400,1555,lh3.googleusercontent.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:35Z,2023-07-17T12:00:34Z,CN=*.googleusercontent.com,*.googleusercontent.com,*.cloudshell.googleusercontent.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,6461eaaf691819771d7ccad1bae69fa4,9488d7f1fb756a9e7a23a0335176ab7e3d5a5589112d18d822385b74c4711e82,ctls,lh3.googleusercontent.com,443,https://lh3.googleusercontent.com:443,https,text/html,GET,142.250.181.225,/,1427279934,2a00:1450:4001:82f::2001,HTTP/3,12,False,,,True,fife,,
https://s3-eu-west-1.amazonaws.com/accounts-production-prod1-letsbuild-prod-eu-west-1/,,403,243,s3-eu-west-1.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-23T23:59:59Z,CN=*.s3-eu-west-1.amazonaws.com,*.s3-eu-west-1.amazonaws.com,s3-deprecated.eu-west-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dba3bcc77feab1ffec648cb31369669c,91394148d95c68f2025f01cd351e5417fcae30a7a1538465a84f6fc036f41ccc,ctls,s3-eu-west-1.amazonaws.com,443,https://s3-eu-west-1.amazonaws.com:443/accounts-production-prod1-letsbuild-prod-eu-west-1/,https,application/xml,GET,52.92.2.16,/accounts-production-prod1-letsbuild-prod-eu-west-1/,-1919051792,52.218.112.139,Amazon Web Services,2,False,,,True,AmazonS3,,
myaccount.app.letsbuild.com,- LetsBuild Accounts,200,5364,myaccount.app.letsbuild.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-09T08:49:07Z,2023-08-07T08:49:06Z,CN=*.production.prod1.eu-west-1.aws.prod.lb4.co,*.production.prod1.eu-west-1.aws.prod.lb4.co,production.prod1.eu-west-1.aws.prod.lb4.co,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f08e800bd204c9afb29d81193a5442b6,2a0636fbf144b5b4e3f749d50af259674704fac7b4c7ab55f6a864179cc34fa0,ctls,myaccount.app.letsbuild.com,443,https://myaccount.app.letsbuild.com:443,https,text/html,GET,54.74.184.246,/,-1632981164,34.243.66.103,Microsoft ASP.NET,103,False,,https://lh3.googleusercontent.com,True,,,
superset.letsbuild.com,Superset,200,114017,superset.letsbuild.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-08-11T23:59:59Z,CN=superset.letsbuild.com,superset.letsbuild.com,superset.letsbuild.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,8f7fd81cafe1bbc2a58e7f31d248cbbd,58504e381a78019ec46a11005074ee813a606c7812b9091a0258106e4714b717,ctls,superset.letsbuild.com,443,https://superset.letsbuild.com:443,https,text/html,GET,108.138.17.83,/,-134366226,108.138.17.122,HSTS,267,False,https://superset.letsbuild.com/login/?next=https%3A%2F%2Fsuperset.letsbuild.com%2Fdashboard%2Flist%2F,https://events.mapbox.com,,,cloudfront,True
