new,host,a,aaaa,cname,soa,status_code,mx,ns,txt,cdn,cdn-name
[x],0-15-okta.webofknowledge.com.biblio.kinepolis.fr,"95.101.74.200, 95.101.74.196","2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a6-66.akam.net, a4-67.akam.net, a1-67.akam.net, a13-66.akam.net, a5-66.akam.net, a24-67.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
[x],0-4-okta.jisc.ac.uk.pugwash.lib.kinepolis.fr,"104.126.119.106, 104.126.119.91, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66, 2.16.130.67","2600:1408:7400::17c7:4758, 2600:1408:7400::17c7:4733, 2600:1401:2::43, 2600:1401:1::42",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a5-66.akam.net, a13-66.akam.net, a6-66.akam.net, a4-67.akam.net, a24-67.akam.net","google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
[x],0-558.meineimmowelt.15-okta.kinepolis.fr,"2.16.186.17, 2.16.186.9","2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
[x],0-558.okta.com.employee-specialsurvey.kinepolis.ch,"23.76.204.145, 23.76.204.149","2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a13-66.akam.net, a5-66.akam.net, a4-67.akam.net, a24-67.akam.net, a6-66.akam.net, a1-67.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all",,
[x],0-accounts.mjrtheatres.com,216.41.219.209,,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,
[x],0-aleagamingltd.mjrtheatres.com,216.41.219.209,,,"ns1-05.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,
[x],0-checkpoint-okta.com.employee-specialsurvey.kinepolis.ch,"2.19.205.26, 2.19.204.233","2a02:26f0:4600::213:cce9, 2a02:26f0:4600::213:cd1a",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a6-66.akam.net, a5-66.akam.net, a1-67.akam.net, a4-67.akam.net, a24-67.akam.net, a13-66.akam.net","MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28",,
[x],0-checkpoint.tho15-oktasonreuters.co15-okta.olinkserver.kinepolis.fr,"2.16.186.17, 2.16.186.9","2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a5-66.akam.net, a4-67.akam.net, a1-67.akam.net, a13-66.akam.net, a6-66.akam.net, a24-67.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3",,
[x],0-checkpoint.thomsonreuters-github-okta.com.olinkserver.kinepolis.fr,"2.19.198.170, 2.19.198.178","2a02:26f0:7100::1720:ee52, 2a02:26f0:7100::1720:ee48",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a13-66.akam.net, a24-67.akam.net, a1-67.akam.net, a5-66.akam.net, a4-67.akam.net, a6-66.akam.net","v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, MS=ms46281805",,
[x],0-checkpoint.thomsonreuters.15-okta-com.olinkserver.kinepolis.fr,"2.16.238.23, 2.16.238.24","2a02:26f0:480:3::210:ee94, 2a02:26f0:480:3::210:ee8d",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a24-67.akam.net, a1-67.akam.net, a5-66.akam.net, a6-66.akam.net, a4-67.akam.net, a13-66.akam.net","MS=ms46281805, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
