new,host,a,aaaa,cname,soa,status_code,txt,caa,cdn,cdn-name,ns,mx,ptr,has_internal_ips,internal_ips
[x],013.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns111373.ztomy.com, ns211373.ztomy.com",,ns111373.ztomy.com,,
[x],020212.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns111373.ztomy.com, ns211373.ztomy.com",,ns111373.ztomy.com,,
[x],040.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns211373.ztomy.com, ns111373.ztomy.com",,ns111373.ztomy.com,,
[x],080220.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns211373.ztomy.com, ns111373.ztomy.com",,ns111373.ztomy.com,,
[x],101.krytonitelock.com,"199.191.50.73, 162.251.87.73",,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns111373.ztomy.com, ns211373.ztomy.com",,ns111373.ztomy.com,,
[x],1028.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,,,,,,,,,
[x],10centscolorprinting1.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns111373.ztomy.com, ns211373.ztomy.com",,ns111373.ztomy.com,,
[x],10centsdigitalprinting.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns111373.ztomy.com, ns211373.ztomy.com",,ns111373.ztomy.com,,
[x],110219.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns111373.ztomy.com, ns211373.ztomy.com",,ns111373.ztomy.com,,
[x],119.141.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns111373.ztomy.com, ns211373.ztomy.com",,ns111373.ztomy.com,,
[x],120938.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns111373.ztomy.com, ns211373.ztomy.com",,ns111373.ztomy.com,,
[x],120films.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns211373.ztomy.com, ns111373.ztomy.com",,ns111373.ztomy.com,,
[x],121-36.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns211373.ztomy.com, ns111373.ztomy.com",,ns111373.ztomy.com,,
[x],121-homell.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,,,,,"ns211373.ztomy.com, ns111373.ztomy.com",,,,
[x],121.151.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns111373.ztomy.com, ns211373.ztomy.com",,ns111373.ztomy.com,,
[x],121.157.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns111373.ztomy.com, ns211373.ztomy.com",,ns111373.ztomy.com,,
[x],122.119.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns111373.ztomy.com, ns211373.ztomy.com",,ns111373.ztomy.com,,
[x],122.175.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns211373.ztomy.com, ns111373.ztomy.com",,ns111373.ztomy.com,,
[x],169.112.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns211373.ztomy.com, ns111373.ztomy.com",,ns111373.ztomy.com,,
[x],253.166.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns211373.ztomy.com, ns111373.ztomy.com",,ns111373.ztomy.com,,
[x],253.181.krytonitelock.com,199.191.50.73,,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns211373.ztomy.com, ns111373.ztomy.com",,ns111373.ztomy.com,,
[x],360portal-api.allegion.com,52.176.6.37,,"alle-portal-api.azurewebsites.net, waws-prod-dm1-021.vip.azurewebsites.windows.net, waws-prod-dm1-021.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
[x],360portal-cmsapi.allegion.com,52.176.6.37,,"alle-portal-cms-api.azurewebsites.net, waws-prod-dm1-021.vip.azurewebsites.windows.net, waws-prod-dm1-021.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
[x],360portal-test.allegion.com,52.224.188.59,,portal-ag1-test.eastus.cloudapp.azure.com,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,,,,,
[x],38.110.krytonitelock.com,"199.191.50.73, 162.251.87.73",,,"ns111373.ztomy.com, abuse.opticaljungle.com",NOERROR,v=spf1 a -all,,,,"ns211373.ztomy.com, ns111373.ztomy.com",,ns111373.ztomy.com,,
[x],4040xptips.allegion.com,198.102.127.8,,,"ns3.allegion.com, name\.services.allegion.com, ns4.allegion.com",NOERROR,,,,,,,,,
