input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_subject_org_
hls.dt.caffeine.tv,,,28,hls.dt.caffeine.tv,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-23T21:04:09Z,CN=hls.dt.caffeine.tv,hls.dt.caffeine.tv,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,hls.dt.caffeine.tv,443,https://hls.dt.caffeine.tv:443,https,,application/x-amz-json-1.1,GET,151.101.2.133,Varnish,1,True,
https://w3.org,World Wide Web Consortium (W3C),,28571,www.w3.org,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-01T00:00:00Z,"CN=w3.org, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",w3.org,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ctls,www.w3.org,443,https://w3.org:443,https,cloudflare,text/html,GET,104.18.23.19,HTTP/3,391,True,"Cloudflare, Inc."
images.caffeine.tv,STATIC,,295,images.caffeine.tv,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-09T22:42:11Z,CN=*.caffeine.tv,*.caffeine.tv,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ctls,images.caffeine.tv,443,https://images.caffeine.tv:443,https,AmazonS3,text/html,GET,151.101.2.49,Varnish,14,True,
images.staging.caffeine.tv,,,243,images.staging.caffeine.tv,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-09T22:45:13Z,CN=*.staging.caffeine.tv,*.staging.caffeine.tv,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ctls,images.staging.caffeine.tv,443,https://images.staging.caffeine.tv:443,https,AmazonS3,application/xml,GET,146.75.122.49,Varnish,2,True,
ios-build-output.caffeine.tv,Sign in - Google Accounts,,593304,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://ios-build-output.caffeine.tv:443,https,ESF,text/html,GET,142.250.184.211,HTTP/3,46,,
junkrat.caffeine.tv,Anmelden – Google Konten,,104871,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://junkrat.caffeine.tv:443,https,GSE,text/html,GET,142.250.184.243,OpenGSE,1885,,
junkrat.staging.caffeine.tv,Sign in - Google Accounts,,595285,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://junkrat.staging.caffeine.tv:443,https,ESF,text/html,GET,142.250.184.243,HTTP/3,46,,
lakitu.rtcdn.caffeine.tv,,,23,lakitu.rtcdn.caffeine.tv,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,CN=*.rtcdn.caffeine.tv,*.rtcdn.caffeine.tv,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,lakitu.rtcdn.caffeine.tv,443,https://lakitu.rtcdn.caffeine.tv:443,https,,application/json,GET,18.66.147.99,Amazon Web Services,1,True,
lakitu.staging.caffeine.tv,,,23,lakitu.staging.caffeine.tv,443,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,CN=staging.caffeine.tv,staging.caffeine.tv,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,lakitu.staging.caffeine.tv,443,https://lakitu.staging.caffeine.tv:443,https,,application/json,GET,108.139.15.79,Amazon Web Services,1,True,
link.caffeine.tv,,,22787,www.caffeine.tv,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-09T22:42:11Z,CN=*.caffeine.tv,*.caffeine.tv,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ctls,www.caffeine.tv,443,https://link.caffeine.tv:443,https,AmazonS3,text/html,GET,151.101.2.49,Varnish,257,True,
magnus.caffeine.tv,Sign in - Google Accounts,,595075,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://magnus.caffeine.tv:443,https,ESF,text/html,GET,142.250.184.243,HTTP/3,46,,
magnus.staging.caffeine.tv,Anmelden – Google Konten,,115911,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://magnus.staging.caffeine.tv:443,https,GSE,text/html,GET,142.250.184.243,OpenGSE,1925,,
mercy-recordings.caffeine.tv,Sign in - Google Accounts,,595435,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://mercy-recordings.caffeine.tv:443,https,ESF,text/html,GET,172.217.18.19,HTTP/3,46,,
mercy.caffeine.tv,401 Authorization Required,,574,mercy.caffeine.tv,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,CN=caffeine.tv,caffeine.tv,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,mercy.caffeine.tv,443,https://mercy.caffeine.tv:443,https,nginx,text/html,GET,54.149.235.19,Nginx,14,,
multivac.caffeine.tv,Sign in - Google Accounts,,595160,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://multivac.caffeine.tv:443,https,ESF,text/html,GET,142.250.184.243,HTTP/3,46,,
multivac.staging.caffeine.tv,Sign in - Google Accounts,,594422,accounts.google.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:26:19Z,CN=accounts.google.com,accounts.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ctls,accounts.google.com,443,https://multivac.staging.caffeine.tv:443,https,ESF,text/html,GET,142.250.184.243,HTTP/3,46,,
navi.caffeine.tv,Sign In,,8193,navi.caffeine.tv,443,tls13,TLS_AES_256_GCM_SHA384,2023-05-08T22:46:45Z,CN=navi.caffeine.tv,navi.caffeine.tv,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,navi.caffeine.tv,443,https://navi.caffeine.tv:443,https,istio-envoy,text/html,GET,52.42.167.40,Envoy,76,,
navi.staging.caffeine.tv,Sign In,,8193,navi.staging.caffeine.tv,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-18T16:42:14Z,CN=navi.staging.caffeine.tv,navi.staging.caffeine.tv,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,navi.staging.caffeine.tv,443,https://navi.staging.caffeine.tv:443,https,istio-envoy,text/html,GET,44.233.158.63,Envoy,76,,
new-www.caffeine.tv,,,22021,new-www.caffeine.tv,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-09T22:42:11Z,CN=*.caffeine.tv,*.caffeine.tv,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,ctls,new-www.caffeine.tv,443,https://new-www.caffeine.tv:443,https,AmazonS3,text/html,GET,146.75.118.49,Varnish,248,True,
payments.staging.caffeine.tv,401 Authorization Required,,172,payments.staging.caffeine.tv,443,tls13,TLS_AES_256_GCM_SHA384,2023-03-24T15:59:10Z,CN=payments.staging.caffeine.tv,payments.staging.caffeine.tv,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,payments.staging.caffeine.tv,443,https://payments.staging.caffeine.tv:443,https,istio-envoy,text/html,GET,54.214.77.53,Envoy,8,,
