new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,caa
,fremont-19-3.rtcdn.caffeine.tv,173.237.56.156,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-19-4.rtcdn.caffeine.tv,173.237.56.60,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-19-5.rtcdn.caffeine.tv,173.237.56.164,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-19-6.rtcdn.caffeine.tv,173.237.56.180,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-19-7.rtcdn.caffeine.tv,173.237.56.12,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1515.awsdns-61.org, ns-2007.awsdns-58.co.uk, ns-292.awsdns-36.com, ns-785.awsdns-34.net",
,fremont-19-8.rtcdn.caffeine.tv,173.237.59.92,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-19.rtcdn.caffeine.tv,"173.237.56.60, 173.237.56.156, 173.237.59.92, 173.237.59.100, 173.237.56.12, 173.237.56.92, 173.237.56.164, 173.237.56.180, 173.237.56.52",,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-2-0.rtcdn.caffeine.tv,34.216.199.114,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1515.awsdns-61.org, ns-2007.awsdns-58.co.uk, ns-292.awsdns-36.com, ns-785.awsdns-34.net",
,fremont-2-11.rtcdn.caffeine.tv,,,,NOERROR,,,,,,,
,fremont-2-17.rtcdn.caffeine.tv,,,,NOERROR,,,,,,,
,fremont-21-13.rtcdn.caffeine.tv,,,,NOERROR,,,,,,,
,fremont-23-0.rtcdn.caffeine.tv,173.237.14.76,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-23-1.rtcdn.caffeine.tv,173.237.19.60,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-23-2.rtcdn.caffeine.tv,173.237.14.20,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-23-3.rtcdn.caffeine.tv,,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-23-4.rtcdn.caffeine.tv,173.237.15.100,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-23-5.rtcdn.caffeine.tv,173.237.14.172,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-23-6.rtcdn.caffeine.tv,173.237.15.92,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-23-7.rtcdn.caffeine.tv,173.237.14.28,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-23-8.rtcdn.caffeine.tv,,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-23-9.rtcdn.caffeine.tv,173.237.14.68,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-23.rtcdn.caffeine.tv,"173.237.14.92, 173.237.15.92, 173.237.15.100, 173.237.14.20, 173.237.14.172, 173.237.14.28, 173.237.14.68, 173.237.19.60, 173.237.20.100",,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-24-6.rtcdn.caffeine.tv,,,,NOERROR,,,,,,,
,fremont-24-8.rtcdn.caffeine.tv,,,,NOERROR,,,2602:fcbc:0:3::11,,,,
,fremont-26-18.rtcdn.caffeine.tv,,,,NOERROR,,,,,,,
,fremont-28-0.rtcdn.caffeine.tv,,,,NOERROR,,,,,,,
,fremont-3-0.rtcdn.caffeine.tv,52.43.244.58,,"ns-785.awsdns-34.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,fremont-3-10.rtcdn.caffeine.tv,,,,NOERROR,,,,,,,
,fremont-3-25.rtcdn.caffeine.tv,,,,NOERROR,,,,,,,
