new,host,a,aaaa,soa,txt,status_code,cdn,cdn-name,mx,cname,ns,caa
[x],community.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],continuing-education-institute.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],cybacybersecuritycenter.eccouncil.org,"162.159.135.42, 162.159.134.42","2606:4700:7::a29f:872a, 2606:4700:7::a29f:862a","jerry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,cybacybersecuritycenter.hosting.kinsta.cloud,,
[x],cyberbrief.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],cyberresearch.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com","ca3-bcc6f7ffe1524bdc9529f2041bdace29, ca3-e62ba6325e0e4aa49fb9dffbf167d79a, v=spf1 include:spf.protection.outlook.com -all",NOERROR,True,cloudflare,cyberresearch-eccouncil-org.mail.protection.outlook.com,,,
[x],dev-cert.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],drm.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],ebooks.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],eccouncil.org,"104.18.9.180, 104.18.8.180, 108.162.193.176, 172.64.33.176, 173.245.59.176, 108.162.192.242, 172.64.32.242, 173.245.58.242","2606:4700::6812:9b4, 2606:4700::6812:8b4, 2606:4700:58::adf5:3bb0, 2803:f800:50::6ca2:c1b0, 2a06:98c1:50::ac40:21b0, 2606:4700:50::adf5:3af2, 2803:f800:50::6ca2:c0f2, 2a06:98c1:50::ac40:20f2","henry.ns.cloudflare.com, dns.cloudflare.com","ca3-01bd3386b35244d48669eea5bfafd97d, MS=ms45500976, v=spf1 mx a include:transmail.net include:ccsend.com include:sendgrid.net include:spf.protection.outlook.com include:mail.zendesk.com include:zcsend.net ip4:52.15.139.151 -all, ca3-cc5832809cd14ad2af0560b0d95355bd",NOERROR,True,cloudflare,eccouncil-org.mail.protection.outlook.com,,"henry.ns.cloudflare.com, zelda.ns.cloudflare.com","letsencrypt.org, digicert.com; cansignhttpexchanges=yes, comodoca.com, pki.goog; cansignhttpexchanges=yes"
[x],egs.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com","ca3-80207f5c1ab6426f93ac5d58869010d0, ca3-f94f09a0c7d047738a8d01dfb3b3bfcc",NOERROR,True,cloudflare,egs-eccouncil-org.mail.protection.outlook.com,,,
[x],enterpriseregistration.eccouncil.org,20.190.137.40,,"tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",,NOERROR,True,azure,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net, www.tm.prd.adrs.akadns.net",,
[x],ferrotechnicsinc.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],fndtst.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],foundation.eccouncil.org,"104.18.9.180, 104.18.8.180","2606:4700::6812:9b4, 2606:4700::6812:8b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],frank.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,,
[x],greencircle.eccouncil.org,,,"henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
[x],hidt.eccouncil.org,"104.18.8.180, 104.18.9.180","2606:4700::6812:8b4, 2606:4700::6812:9b4","henry.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,,,,
